### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
Paracentrotus	AAT	N	K	0.0	0.230769230769	0.25	0.0769230769231	0.846153846154	0.464285714286	0.0357142857143	1351.0	0.325396825397	1.0	0.0	0.0
Fasciola	AAT	N	K	0.0	0.533333333333	0.125	0.037037037037	0.481481481481	0.964285714286	0.0357142857143	1332.0	0.197318007663	1.0	0.0	0.0
Patiria	AAT	N	K	0.0	0.75	0.2	0.1	0.9	0.37037037037	0.0740740740741	1351.0	0.29262086514	1.0	0.0	0.0
Patiria	AAC	N	K	0.0	0.75	0.125	0.0588235294118	0.823529411765	0.62962962963	0.0740740740741	1351.0	0.105182926829	3.0	0.0	0.0
Lumbricus	AAT	N	K	0.0	0.24358974359	0.125	0.0454545454545	0.818181818182	0.511627906977	0.0232558139535	1350.0	0.28337236534	1.0	0.0	0.0
Echinococcus_equinus	AAT	N	K	0.0	0.000215981190054	0.285714285714	0.0555555555556	0.416666666667	1.0	0.0555555555556	1331.0	0.265379113019	1.0	0.0	0.118
Taenia_crassiceps	AAT	N	K	0.0	0.0138621970388	0.166666666667	0.0434782608696	0.434782608696	0.958333333333	0.0416666666667	1333.0	0.179255918828	1.0	0.0	0.0
Drosophila	AAT	N	K	0.0	0.538461538462	0.111111111111	0.0277777777778	0.972222222222	0.923076923077	0.025641025641	1351.0	0.17153024911	1.0	0.0	0.0
Caenorhabditis	AAT	N	K	0.0	0.538461538462	0.1	0.0294117647059	0.676470588235	0.944444444444	0.0277777777778	1346.0	-0.0987091875475	1.0	0.0	0.0
Homo	AAC	N	K	0.0	0.605263157895	0.111111111111	0.0294117647059	0.852941176471	0.809523809524	0.0238095238095	1351.0	0.0322580645161	3.0	0.0	0.0
