### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
LmeyeA	ATG	M	I	0.0	0.0476666780942	0.333333333333	0.046511627907	0.883720930233	1.0	0.046511627907	1429.0	1.13468840742	6.0	0.0	0.0
SpombA	ATG	M	I	0.0	8.64190311517e-05	0.666666666667	0.1	0.575	1.0	0.1	1424.0	1.47817836812	6.0	0.0	0.241
WmucoA	ATG	M	I	0.0	0.365817593698	0.111111111111	0.0172413793103	0.879310344828	1.0	0.0172413793103	2246.0	1.23983372492	6.0	0.0	0.0
AacerA	ATG	M	I	0.0	0.153295032532	0.5	0.0322580645161	0.58064516129	1.0	0.0322580645161	630.0	1.47600479904	6.0	0.0	0.112
CgallA	ATG	M	I	0.0	3.94046796488e-06	0.454545454545	0.0983606557377	0.688524590164	1.0	0.0983606557377	2247.0	1.37019648757	6.0	0.0	0.127
CgigaA	ATG	M	I	0.0	0.348934160167	0.111111111111	0.0181818181818	0.872727272727	1.0	0.0181818181818	2002.0	1.10910087719	6.0	0.0	0.0
CsantA	ATG	M	I	0.0	0.00514866380634	0.181818181818	0.051724137931	0.637931034483	1.0	0.051724137931	2220.0	1.1172112462	6.0	0.0	0.004
CtropB	ATG	M	I	0.0	0.0156831258916	0.3	0.047619047619	0.904761904762	1.0	0.047619047619	2250.0	1.17618731318	6.0	0.0	0.0
CtropA	ATG	M	I	0.0	0.0156831258916	0.3	0.047619047619	0.904761904762	1.0	0.047619047619	2250.0	1.17618731318	6.0	0.0	0.0
WpijpA	ATG	M	I	0.0	0.00551941286008	0.333333333333	0.0666666666667	0.844444444444	1.0	0.0666666666667	1429.0	1.37955271565	6.0	0.0	0.003
BarxA	ATG	M	I	0.0	0.0918435036682	1.0	0.0769230769231	0.769230769231	1.0	0.0769230769231	434.0	1.4993006993	6.0	0.0	0.109
CoxycA	ATG	M	I	0.0	0.0106027210454	1.0	0.111111111111	0.888888888889	1.0	0.111111111111	434.0	1.24570273003	6.0	0.0	0.251
CsubhA	ATG	M	I	0.0	0.00158040588352	0.181818181818	0.0588235294118	0.779411764706	1.0	0.0588235294118	2244.0	1.34220472441	6.0	0.0	0.004
CsubhB	ATG	M	I	0.0	0.00158040588352	0.181818181818	0.0588235294118	0.779411764706	1.0	0.0588235294118	2244.0	1.34220472441	6.0	0.0	0.004
OanguA	ATG	M	I	0.0	0.00856061732061	0.272727272727	0.0555555555556	0.833333333333	1.0	0.0555555555556	2248.0	1.13079922027	6.0	0.0	0.003
SarboA	ATG	M	I	0.0	0.00297483042989	0.333333333333	0.0714285714286	0.714285714286	1.0	0.0714285714286	1429.0	1.27564102564	6.0	0.0	0.005
CalaiA	ATG	M	I	0.0	0.0757306488431	0.222222222222	0.0338983050847	0.847457627119	1.0	0.0338983050847	2056.0	1.26195732156	6.0	0.0	0.0
KtherA	ATG	M	I	0.0	0.0476666780942	0.333333333333	0.046511627907	0.883720930233	1.0	0.046511627907	1429.0	1.13848559303	6.0	0.0	0.0
CnorvA	ATG	M	I	0.0	0.371347544496	0.1	0.0169491525424	0.881355932203	1.0	0.0169491525424	2249.0	1.23436941765	6.0	0.0	0.0
CviswA	ATG	M	I	0.0	0.0886333594279	0.2	0.0307692307692	0.846153846154	1.0	0.0307692307692	2249.0	1.15474452555	6.0	0.0	0.0
MstarA	ATG	M	I	0.0	0.0498280763114	0.2	0.0357142857143	0.696428571429	1.0	0.0357142857143	2249.0	1.11602938406	6.0	0.0	0.0
