### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
Metaseiulus_occidentalis	AAT	N	H	0.0	0.702702702703	0.125	0.0333333333333	0.7	0.63829787234	0.0212765957447	1280.0	0.0930828351836	1.0	0.0	0.0
Paracentrotus	AAT	N	H	0.0	0.230769230769	0.25	0.0769230769231	0.846153846154	0.464285714286	0.0357142857143	1351.0	0.597222222222	1.0	0.0	0.0
Aphrocallistes_vastus	AAC	N	H	0.0	0.102102102102	0.25	0.1	0.75	0.47619047619	0.047619047619	1349.0	0.891443167305	3.0	0.0	0.0
Schistosoma	AAT	N	H	0.0	0.541666666667	0.125	0.0454545454545	0.454545454545	0.916666666667	0.0416666666667	1325.0	0.0644783118406	1.0	0.0	0.0
Fasciola	AAT	N	H	0.0	0.5625	0.25	0.0740740740741	0.481481481481	0.964285714286	0.0714285714286	1332.0	0.403256704981	1.0	0.0	0.0
Echinococcus_equinus	AAT	N	H	0.0	0.0584467095311	0.142857142857	0.0277777777778	0.416666666667	1.0	0.0277777777778	1331.0	-0.0336194563662	1.0	0.0	0.0
Taenia_crassiceps	AAT	N	H	0.0	0.0405587809159	0.166666666667	0.0434782608696	0.434782608696	0.958333333333	0.0416666666667	1333.0	0.147688838782	1.0	0.0	0.0
Trichinella	AAT	N	H	0.0	0.752645502646	0.125	0.0588235294118	0.588235294118	0.404761904762	0.047619047619	1343.0	0.279635258359	1.0	0.0	0.0
Trichinella	AAC	N	H	0.0	0.752645502646	0.142857142857	0.04	0.64	0.595238095238	0.047619047619	1343.0	0.181818181818	3.0	0.0	0.0
Pseudogarypus_banksi	AAT	N	H	0.0	0.65625	0.1	0.0344827586207	0.724137931034	0.674418604651	0.0232558139535	1347.0	0.33984028394	1.0	0.0	0.0
Ciona	AAT	N	H	0.0	0.554054054054	0.111111111111	0.0243902439024	0.780487804878	0.872340425532	0.0212765957447	1348.0	0.352756892231	1.0	0.0	0.0
Ascidiella_aspersa	AAT	N	H	0.0	0.602941176471	0.125	0.0333333333333	0.866666666667	0.769230769231	0.025641025641	1350.0	0.488412017167	1.0	0.0	0.0
