### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
Schistosoma	ATA	I	G	0.0	0.496662616326	0.166666666667	0.0576923076923	0.403846153846	0.509803921569	0.0294117647059	1325.0	-3.13135802469	4.0	0.0	0.11
Trichobilharzia_regenti	ATT	I	G	0.0	0.227272727273	0.1	0.0243902439024	0.341463414634	0.482352941176	0.0117647058824	1324.0	-3.251875	5.0	0.0	0.0
Versteria_mustelae	ATA	I	G	0.0	0.260869482657	0.0909090909091	0.0161290322581	0.338709677419	0.574074074074	0.00925925925926	1328.0	-3.15515101365	4.0	0.0	0.212
Euseius_nicholsi	ATT	I	G	0.0	0.57272712521	0.0909090909091	0.0128205128205	0.589743589744	0.604651162791	0.0077519379845	1296.0	-3.47084019769	5.0	0.0	0.0
Limulus	ATC	I	G	0.0	0.176923031774	0.125	0.0416666666667	0.666666666667	0.2	0.00833333333333	1351.0	-3.32545649839	7.0	0.0	0.0
Echinococcus_equinus	ATA	I	G	0.0	0.166666666667	0.125	0.0416666666667	0.541666666667	0.3	0.0125	1331.0	-3.2376344086	4.0	0.0	0.22
Taenia_crassiceps	ATT	I	G	0.0	0.25	0.111111111111	0.0212765957447	0.425531914894	0.479591836735	0.0102040816327	1333.0	-3.1882546652	5.0	0.0	0.0
Terebratulina	ATA	I	G	0.0	0.0277777681874	0.111111111111	0.037037037037	0.0740740740741	0.228813559322	0.00847457627119	1351.0	-3.14461247637	4.0	0.0	0.063
Tetrancistrum_nebulosi	ATC	I	G	0.0	0.019914644618	0.25	0.166666666667	0.5	0.125	0.0208333333333	1333.0	-2.31545064378	7.0	0.0	0.0
Trichinella	ATA	I	G	0.0	0.102564067153	0.0909090909091	0.0178571428571	0.125	0.408759124088	0.00729927007299	1343.0	-2.99447768063	4.0	0.0	0.208
Pseudogarypus_banksi	ATA	I	G	0.0	0.0666666436497	0.0909090909091	0.0196078431373	0.137254901961	0.303571428571	0.00595238095238	1347.0	-3.24497991968	4.0	0.0	0.132
Benedenia_hoshinai	ATT	I	G	0.0	0.725	0.1	0.015625	0.328125	0.547008547009	0.00854700854701	1333.0	-3.23752012882	5.0	0.0	0.0
Myxine	ATA	I	G	0.0	0.030769220146	0.125	0.027027027027	0.0810810810811	0.278195488722	0.00751879699248	1350.0	-3.2154163799	4.0	0.0	0.065
Ciona	ATA	I	G	0.0	0.0677965926142	0.0909090909091	0.0204081632653	0.102040816327	0.35	0.00714285714286	1348.0	-3.27011494253	4.0	0.0	0.155
Caenorhabditis	ATA	I	G	0.0	0.0348837088865	0.0909090909091	0.030303030303	0.0606060606061	0.27731092437	0.00840336134454	1346.0	-3.04758190328	4.0	0.0	0.065
