### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
Paracentrotus	ATG	M	L	0.0	0.0117647058824	0.571428571429	0.272727272727	0.5	1.0	0.272727272727	1436.0	2.21484375	6.0	0.0
Schistosoma	ATG	M	L	0.0	0.00307692307692	0.625	0.189189189189	0.162162162162	1.0	0.189189189189	1278.0	1.11085972851	6.0	0.0
Fasciola	ATG	M	L	0.0	0.01	0.833333333333	0.27027027027	0.162162162162	1.0	0.27027027027	1341.0	1.49483352468	6.0	0.0
Patiria	ATG	M	L	0.0	0.00631578947368	0.714285714286	0.32	0.44	1.0	0.32	1534.0	2.37606837607	6.0	0.0
Lumbricus	ATG	M	L	0.0	0.0133333333333	0.4	0.25	0.5	1.0	0.25	1525.0	1.98324022346	6.0	0.0
Halocynthia	ATG	M	L	0.0	0.00266666666667	0.875	0.444444444444	0.388888888889	1.0	0.444444444444	1418.0	2.57692307692	6.0	0.0
Limulus	ATG	M	L	0.0	0.008	1.0	0.5	0.333333333333	1.0	0.5	1521.0	2.26206896552	6.0	0.0
Caenorhabditis	ATG	M	L	0.0	0.0	0.6	0.230769230769	0.230769230769	1.0	0.230769230769	1433.0	1.20317460317	6.0	0.0
Axinella	ATG	M	L	0.0	0.0186666666667	0.333333333333	0.148148148148	0.407407407407	1.0	0.148148148148	1523.0	1.55591054313	6.0	0.0
Terebratulina	ATG	M	L	0.0	0.008	0.666666666667	0.333333333333	0.5	1.0	0.333333333333	1487.0	2.34042553191	6.0	0.0
Bfloridae	ATG	M	L	2.0	0.0133333333333	0.5	0.333333333333	0.166666666667	1.0	0.333333333333	875.0	1.46206896552	6.0	0.0
Katharina	ATG	M	L	0.0	0.0285714285714	0.5	0.142857142857	0.857142857143	1.0	0.142857142857	1515.0	2.17391304348	6.0	0.0
Geodia	ATG	M	L	0.0	0.0276923076923	0.222222222222	0.1	0.55	1.0	0.1	1524.0	1.63870967742	6.0	0.0
Metridium	ATG	M	L	0.0	0.015	0.571428571429	0.185185185185	0.407407407407	1.0	0.185185185185	1534.0	1.80445151033	6.0	0.0
Acropora	ATG	M	L	0.0	0.0186666666667	0.428571428571	0.16	0.44	1.0	0.16	1532.0	1.72931034483	6.0	0.0
Trichinella	ATG	M	L	0.0	0.0133333333333	0.5	0.5	0.25	1.0	0.5	1259.0	1.49823321555	6.0	0.0
Balanoglossus	ATG	M	L	0.0	0.0186666666667	0.571428571429	0.173913043478	0.478260869565	1.0	0.173913043478	1534.0	2.18011257036	6.0	0.0
Myxine	ATG	M	L	0.0	0.0	0.666666666667	0.5	0.5	1.0	0.5	1533.0	2.45833333333	6.0	0.0
Ciona	ATG	M	L	0.0	0.024	0.333333333333	0.2	0.8	1.0	0.2	1411.0	2.17948717949	6.0	0.0
Saccoglossus	ATG	M	L	0.0	0.015	0.571428571429	0.217391304348	0.478260869565	1.0	0.217391304348	1532.0	2.21308411215	6.0	0.0
Daphnia	ATG	M	L	0.0	0.03	0.2	0.111111111111	0.777777777778	1.0	0.111111111111	1517.0	2.17391304348	6.0	0.0
Homo	ATG	M	L	0.0	0.0	0.4	0.285714285714	0.285714285714	1.0	0.285714285714	1533.0	1.7125748503	6.0	0.0
Blanceolatum	ATG	M	L	2.0	0.008	0.75	0.428571428571	0.285714285714	1.0	0.428571428571	839.0	2.23952095808	6.0	0.0
Epigonichthys	ATG	M	L	0.0	0.02	0.333333333333	0.222222222222	0.666666666667	1.0	0.222222222222	1522.0	1.79710144928	6.0	0.0

### Alignment improvement:
