### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
Aphrocallistes_vastus	ATT	I	R	0.0	0.27049175517	0.1	0.03125	0.5	0.231884057971	0.00724637681159	1349.0	-2.41365461847	5.0	0.0	0.0
Trichobilharzia_regenti	ATA	I	R	0.0	0.712121212121	0.1	0.0238095238095	0.428571428571	0.494117647059	0.0117647058824	1324.0	-2.36053593179	4.0	0.0	0.248
Versteria_mustelae	ATA	I	R	0.0	0.260869482657	0.0909090909091	0.0161290322581	0.338709677419	0.574074074074	0.00925925925926	1328.0	-2.41042614812	4.0	0.0	0.212
Halocynthia	ATA	I	R	0.0	0.188679219226	0.166666666667	0.037037037037	0.259259259259	0.303370786517	0.0112359550562	1348.0	-2.11848341232	4.0	0.0	0.175
Taenia_crassiceps	ATT	I	R	0.0	0.25	0.111111111111	0.0212765957447	0.425531914894	0.479591836735	0.0102040816327	1333.0	-2.39077936334	5.0	0.0	0.0
Suberites_domuncula	ATA	I	R	0.0	0.696721311475	0.1	0.0175438596491	0.631578947368	0.612903225806	0.010752688172	1351.0	-2.57155675191	4.0	0.0	0.255
Geodia	ATA	I	R	0.0	0.233333258528	0.1	0.0212765957447	0.531914893617	0.494736842105	0.0105263157895	1350.0	-2.48617886179	4.0	0.0	0.255
Metridium	ATA	I	R	0.0	0.322033857343	0.1	0.0416666666667	0.541666666667	0.272727272727	0.0113636363636	1351.0	-2.39297124601	4.0	0.0	0.212
Tetrancistrum_nebulosi	ATA	I	R	0.0	0.729729636418	0.0909090909091	0.0181818181818	0.345454545455	0.572916666667	0.0104166666667	1333.0	-2.34079254079	4.0	0.0	0.254
Pseudogarypus_banksi	ATT	I	R	0.0	0.185245869944	0.0833333333333	0.0106382978723	0.436170212766	0.559523809524	0.0119047619048	1347.0	-2.46688470973	5.0	0.0	0.0
Pseudogarypus_banksi	ATA	I	R	0.0	0.185245869944	0.0909090909091	0.0196078431373	0.137254901961	0.303571428571	0.0119047619048	1347.0	-2.08032128514	4.0	0.0	0.168
Benedenia_hoshinai	ATT	I	R	0.0	0.461761607649	0.3	0.046875	0.328125	0.547008547009	0.034188034188	1333.0	-2.24154589372	5.0	0.0	0.0
Benedenia_hoshinai	ATA	I	R	0.0	0.461761607649	0.1	0.0204081632653	0.367346938776	0.418803418803	0.034188034188	1333.0	-2.37794040774	4.0	0.0	0.043
Caenorhabditis	ATT	I	R	7.0	0.027413668899	0.0833333333333	0.0131578947368	0.473684210526	0.638655462185	0.0252100840336	1346.0	-2.45433097405	5.0	0.0	0.055
Caenorhabditis	ATA	I	R	7.0	0.027413668899	0.181818181818	0.0606060606061	0.0606060606061	0.27731092437	0.0252100840336	1346.0	-1.65210608424	4.0	0.0	0.088
Ascidiella_aspersa	ATT	I	R	0.0	0.616071296019	0.0909090909091	0.0147058823529	0.617647058824	0.612612612613	0.00900900900901	1350.0	-2.54435636089	5.0	0.0	0.0
