### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
SpombA	AAA	K	G	0.0	0.583333333333	0.166666666667	0.0625	0.5625	0.888888888889	0.0555555555556	1424.0	-1.86779866586	0.0	0.0	0.116
CsantA	AAA	K	G	0.0	0.635135135135	0.0833333333333	0.0294117647059	0.764705882353	0.739130434783	0.0217391304348	2220.0	-1.78416557162	0.0	0.0	0.116
OanguA	AAA	K	G	0.0	0.52380952381	0.153846153846	0.0444444444444	0.866666666667	0.978260869565	0.0434782608696	2248.0	-1.66430073607	0.0	0.0	0.116
CalaiA	AAA	K	G	0.0	0.5125	0.111111111111	0.0243902439024	0.926829268293	0.97619047619	0.0238095238095	2056.0	-1.7507082153	0.0	0.0	0.116
MstarA	AAA	K	G	0.0	0.0156690896451	0.0909090909091	0.0238095238095	0.904761904762	1.0	0.0238095238095	2249.0	-1.76040805073	0.0	0.0	0.208
LstarA	AAA	K	G	0.0	0.518518518519	0.125	0.0357142857143	0.892857142857	0.965517241379	0.0344827586207	1834.0	-1.53839801817	0.0	0.0	0.116
MfariA	AAA	K	G	0.0	0.017262228053	0.0909090909091	0.0222222222222	0.933333333333	1.0	0.0222222222222	2248.0	-1.79902713774	0.0	0.0	0.208
MfariB	AAA	K	G	0.0	0.0168641853479	0.0833333333333	0.0232558139535	0.953488372093	1.0	0.0232558139535	2250.0	-1.80626857606	0.0	0.0	0.208
ScryoA	AAA	K	G	0.0	1.89232471122e-08	0.333333333333	0.15	0.5	1.0	0.15	1424.0	-1.22815533981	0.0	0.0	0.153
HuvarA	AAA	K	G	0.0	0.665441176471	0.333333333333	0.1	0.6	0.833333333333	0.0833333333333	1361.0	-1.44567307692	0.0	0.0	0.344
CzempA	AAA	K	G	0.0	0.00605587629444	0.142857142857	0.0526315789474	0.736842105263	1.0	0.0526315789474	1428.0	-1.56709511568	0.0	0.0	0.21
PpastA	AAA	K	G	0.0	0.0168641853479	0.0833333333333	0.0227272727273	0.931818181818	1.0	0.0227272727273	2248.0	-1.76409574468	0.0	0.0	0.208
MmagnB	AAA	K	G	0.0	0.631578947368	0.0909090909091	0.0333333333333	0.9	0.731707317073	0.0243902439024	2249.0	-1.67256304102	0.0	0.0	0.116
MmagnA	AAA	K	G	0.0	0.631578947368	0.0909090909091	0.0333333333333	0.9	0.731707317073	0.0243902439024	2249.0	-1.67256304102	0.0	0.0	0.116
MtetrA	AAG	K	G	0.0	0.197368421053	0.125	0.0625	0.875	0.4	0.025	2248.0	-1.48182521268	2.0	0.0	0.0
PkluyA	AAA	K	G	0.0	0.0160676162092	0.0769230769231	0.0222222222222	0.866666666667	1.0	0.0222222222222	2247.0	-1.80352057986	0.0	0.0	0.208
PcanaA	AAA	K	G	0.0	0.523255813953	0.0909090909091	0.0232558139535	0.93023255814	0.955555555556	0.0222222222222	2250.0	-1.86497657757	0.0	0.0	0.116
SoctoA	AAA	K	G	0.0	1.89232471122e-08	0.333333333333	0.142857142857	0.47619047619	1.0	0.142857142857	1425.0	-1.26401111626	0.0	0.0	0.153
CsalmA	AAA	K	G	0.0	0.0136740342612	0.0909090909091	0.025641025641	0.846153846154	1.0	0.025641025641	2153.0	-1.74765533411	0.0	0.0	0.209
BcustA	AAA	K	G	0.0	0.0164659814217	0.0833333333333	0.0212765957447	0.851063829787	1.0	0.0212765957447	2247.0	-1.8534290666	0.0	0.0	0.208
MingeA	AAA	K	G	0.0	0.513157894737	0.0909090909091	0.025	0.9	0.975609756098	0.0243902439024	2249.0	-1.74796983759	0.0	0.0	0.116
ScastA	AAA	K	G	0.0	0.00766457367677	0.142857142857	0.05	0.9	1.0	0.05	1426.0	-1.6350048216	0.0	0.0	0.21
