### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
Fsolani	TTC	F	L	3.0	0.22322938571	0.0714285714286	0.00980392156863	0.980392156863	0.32380952381	0.00952380952381	3599.0	0.060773480663	23.0	0.0
Fsolani	TTT	F	L	3.0	0.22322938571	0.142857142857	0.0093896713615	0.971830985915	0.67619047619	0.00952380952381	3599.0	0.148148148148	21.0	0.0
Fusarium	TTC	F	L	4.0	0.222938277732	0.0714285714286	0.00909090909091	0.981818181818	0.347003154574	0.00946372239748	3599.0	0.0911917098446	23.0	0.0
Fusarium	TTT	F	L	4.0	0.222938277732	0.142857142857	0.00966183574879	0.975845410628	0.652996845426	0.00946372239748	3599.0	0.144017325393	21.0	0.0
Aniger	TTC	F	L	2.0	0.00495712464213	0.3	0.0309278350515	0.917525773196	0.341549295775	0.080985915493	3322.0	0.210103329506	23.0	0.0
Aniger	TTT	F	L	2.0	0.00495712464213	0.769230769231	0.106951871658	0.786096256684	0.658450704225	0.080985915493	3322.0	0.289300657501	21.0	0.0
Trichoderma	TTC	F	L	0.0	0.145952549019	0.272727272727	0.0283018867925	0.952830188679	0.41568627451	0.0235294117647	2910.0	0.0921187308086	23.0	0.0
Trichoderma	TTT	F	L	0.0	0.145952549019	0.272727272727	0.0201342281879	0.946308724832	0.58431372549	0.0235294117647	2910.0	0.195477753465	21.0	0.0
Aoryzae	TTC	F	L	2.0	0.378310954577	0.25	0.0298507462687	0.955223880597	0.411042944785	0.0490797546012	1979.0	0.132569558101	23.0	0.0
Aoryzae	TTT	F	L	2.0	0.378310954577	0.625	0.0625	0.854166666667	0.588957055215	0.0490797546012	1979.0	0.14466130884	21.0	0.0
Paracoccidioides	TTC	F	L	0.0	0.00741293674489	0.0769230769231	0.0135135135135	0.891891891892	0.223564954683	0.0664652567976	3509.0	0.134848484848	23.0	0.0
Paracoccidioides	TTT	F	L	0.0	0.00741293674489	0.714285714286	0.0817120622568	0.75486381323	0.776435045317	0.0664652567976	3509.0	0.318661971831	21.0	0.0
Cordyceps	TTC	F	L	1.0	0.0891822397076	0.0714285714286	0.0103092783505	0.979381443299	0.310897435897	0.025641025641	3597.0	0.0434272300469	23.0	0.0
Cordyceps	TTT	F	L	1.0	0.0891822397076	0.285714285714	0.0325581395349	0.944186046512	0.689102564103	0.025641025641	3597.0	0.1921875	21.0	0.0
Foxysporum	TTC	F	L	4.0	0.199787997253	0.0714285714286	0.00980392156863	0.980392156863	0.329032258065	0.0129032258065	3599.0	0.103910614525	23.0	0.0
Foxysporum	TTT	F	L	4.0	0.199787997253	0.214285714286	0.0144230769231	0.975961538462	0.670967741935	0.0129032258065	3599.0	0.14455231931	21.0	0.0
Phaeosparia	TTC	F	L	0.0	0.125709864158	0.333333333333	0.116279069767	0.813953488372	0.248554913295	0.0693641618497	2073.0	0.532828282828	23.0	0.0
Phaeosparia	TTT	F	L	0.0	0.125709864158	0.428571428571	0.0538461538462	0.869230769231	0.751445086705	0.0693641618497	2073.0	0.177648040033	21.0	0.0
Trychophyton	TTC	F	L	0.0	0.112770754131	0.181818181818	0.0425531914894	0.851063829787	0.145510835913	0.061919504644	3593.0	0.205882352941	23.0	0.0
Trychophyton	TTT	F	L	0.0	0.112770754131	0.571428571429	0.0652173913043	0.775362318841	0.854489164087	0.061919504644	3593.0	0.215390879479	21.0	0.0

### Alignment improvement:
