### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
LmeyeA	GCT	A	M	0.0	0.690476083612	0.166666666667	0.016393442623	0.83606557377	0.61	0.01	1429.0	-0.88961851157	45.0	0.0	0.0
CgallA	GCA	A	M	0.0	0.280952316834	0.0769230769231	0.0172413793103	0.655172413793	0.367088607595	0.00632911392405	2247.0	-0.89452257587	44.0	0.0	0.0
OanguA	GCA	A	M	0.0	0.222222160254	0.111111111111	0.0204081632653	0.836734693878	0.355072463768	0.00724637681159	2248.0	-0.809262000423	44.0	0.0	0.0
KtherA	GCT	A	M	0.0	0.682926719797	0.166666666667	0.0172413793103	0.879310344828	0.574257425743	0.00990099009901	1429.0	-0.916748768473	45.0	0.0	0.0
MfariB	GCA	A	M	6.0	0.18595035473	0.1	0.0204081632653	0.816326530612	0.362962962963	0.00740740740741	2250.0	-0.871127366609	44.0	0.0	0.055
LanspB	GCT	A	M	0.0	0.702380849627	0.166666666667	0.0172413793103	0.844827586207	0.58	0.01	1429.0	-0.893847415915	45.0	0.0	0.0
CphanA	GCA	A	M	0.0	0.182242937414	0.0833333333333	0.0204081632653	0.65306122449	0.302469135802	0.00617283950617	2247.0	-0.860623353819	44.0	0.0	0.0
LanspA	GCA	A	M	0.0	0.216867411644	0.2	0.0285714285714	0.771428571429	0.353535353535	0.010101010101	1429.0	-0.818895506226	44.0	0.0	0.0
HuvarA	GCT	A	M	8.0	0.655172413793	0.166666666667	0.0169491525424	0.661016949153	0.67816091954	0.0114942528736	1361.0	-1.0440749112	45.0	0.0	0.046
KlactA	GCT	A	M	2.0	0.713333234361	0.166666666667	0.0185185185185	0.777777777778	0.586956521739	0.0108695652174	1408.0	-0.889853019302	45.0	0.0	0.0
YlipoB	GCA	A	M	0.0	0.233644798506	0.0909090909091	0.0185185185185	0.685185185185	0.3375	0.00625	2247.0	-0.905955484259	44.0	0.0	0.0
YlipoA	GCA	A	M	0.0	0.233644798506	0.0909090909091	0.0185185185185	0.685185185185	0.3375	0.00625	2247.0	-0.905955484259	44.0	0.0	0.0
LelonA	GCT	A	M	0.0	0.657692189509	0.0769230769231	0.010752688172	0.94623655914	0.673913043478	0.00724637681159	2249.0	-0.965005931198	45.0	0.0	0.0
CalimA	GCC	A	M	0.0	0.0566037605565	0.166666666667	0.125	0.875	0.0496894409938	0.00621118012422	2247.0	-0.0885714285714	47.0	0.0	0.0
CdefoA	GCA	A	M	0.0	0.268867861015	0.0769230769231	0.016393442623	0.622950819672	0.38125	0.00625	2247.0	-0.880141843972	44.0	0.0	0.0
LdasiA	GCT	A	M	0.0	0.703703601406	0.166666666667	0.0175438596491	0.824561403509	0.581632653061	0.0102040816327	1429.0	-0.851270053476	45.0	0.0	0.0
LkluyF	GCT	A	M	0.0	0.259036063464	0.142857142857	0.0212765957447	0.808510638298	0.465346534653	0.00990099009901	1429.0	-0.924524484015	45.0	0.0	0.0
LkluyE	GCT	A	M	0.0	0.253011969159	0.142857142857	0.0208333333333	0.770833333333	0.475247524752	0.00990099009901	1429.0	-0.947869177403	45.0	0.0	0.0
LkluyD	GCT	A	M	0.0	0.249999917897	0.142857142857	0.0208333333333	0.791666666667	0.484848484848	0.010101010101	1429.0	-0.934390485629	45.0	0.0	0.0
LkluyC	GCT	A	M	0.0	0.259036063464	0.142857142857	0.0212765957447	0.808510638298	0.465346534653	0.00990099009901	1429.0	-0.924524484015	45.0	0.0	0.0
LkluyA	GCT	A	M	0.0	0.259036063464	0.142857142857	0.0212765957447	0.808510638298	0.465346534653	0.00990099009901	1429.0	-0.924524484015	45.0	0.0	0.0
ClusiA	GCA	A	M	0.0	0.206349146067	0.0909090909091	0.0217391304348	0.934782608696	0.340740740741	0.00740740740741	2250.0	-0.935453695042	44.0	0.0	0.0
LnothA	GCT	A	M	0.0	0.692770978265	0.166666666667	0.0161290322581	0.806451612903	0.613861386139	0.00990099009901	1429.0	-0.892423543876	45.0	0.0	0.0
BcustA	GCT	A	M	0.0	0.72916657316	0.0909090909091	0.0151515151515	0.772727272727	0.540983606557	0.00819672131148	2247.0	-1.08252506987	45.0	0.0	0.0
