### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
Dunaliella_salina	TGT	C	T	0.0	0.666666666667	0.2	0.0666666666667	0.0666666666667	0.882352941176	0.0588235294118	1954.0	-0.0913580246914	25.0	0.0
Chaetosphaeridium_globosum	TGT	C	T	4.0	0.574074074074	0.0833333333333	0.0357142857143	0.785714285714	0.848484848485	0.030303030303	3858.0	-0.530726256983	25.0	0.0
Pseudendoclonium_akinetum	TGT	C	T	0.0	0.169472394221	0.4	0.151515151515	0.30303030303	0.717391304348	0.108695652174	3709.0	0.312646370023	25.0	0.0
Bracteacoccus_aerius	TGC	C	T	0.0	0.722222222222	0.142857142857	0.0666666666667	0.266666666667	0.555555555556	0.0740740740741	2729.0	-0.359903381643	27.0	0.0
Bracteacoccus_aerius	TGT	C	T	0.0	0.722222222222	0.166666666667	0.0833333333333	0.25	0.444444444444	0.0740740740741	2729.0	-0.232198142415	25.0	0.0
Pycnococcus_provasolii	TGT	C	T	0.0	0.332142857143	0.333333333333	0.153846153846	0.346153846154	0.787878787879	0.121212121212	2964.0	0.142469470828	25.0	0.0
Polytoma_uvella	TGC	C	T	0.0	0.7	0.333333333333	0.1	0.05	0.909090909091	0.136363636364	1951.0	0.185661764706	27.0	0.0
Polytoma_uvella	TGT	C	T	0.0	0.7	1.0	0.5	0.5	0.0909090909091	0.136363636364	1951.0	1.48387096774	25.0	0.0
Chlamydomonas_reinhardtii	TGC	C	T	0.0	0.3	0.166666666667	0.0769230769231	0.230769230769	0.722222222222	0.166666666667	1935.0	-0.394666666667	27.0	0.0
Chlamydomonas_reinhardtii	TGT	C	T	0.0	0.3	0.333333333333	0.4	0.0	0.277777777778	0.166666666667	1935.0	1.40397350993	25.0	0.0
Prototheca_wickerhamii	TGC	C	T	0.0	0.0505675954592	1.0	0.5	0.25	0.102564102564	0.102564102564	3819.0	1.67	27.0	0.0
Prototheca_wickerhamii	TGT	C	T	0.0	0.0505675954592	0.125	0.0571428571429	0.4	0.897435897436	0.102564102564	3819.0	-0.477151965994	25.0	0.0
Bracteacoccus_minor	TGC	C	T	0.0	0.0416666666667	0.285714285714	0.125	0.0	0.551724137931	0.103448275862	2519.0	0.0835214446953	27.0	0.0
Bracteacoccus_minor	TGT	C	T	0.0	0.0416666666667	0.142857142857	0.0769230769231	0.461538461538	0.448275862069	0.103448275862	2519.0	-0.212885154062	25.0	0.0
Chromochloris_zofingiensis	TGT	C	T	0.0	0.75	0.444444444444	0.111111111111	0.0833333333333	0.818181818182	0.0909090909091	2378.0	-0.11512195122	25.0	0.0
Nephroselmis_olivacea	TGC	C	T	0.0	0.238095238095	0.166666666667	0.142857142857	0.571428571429	0.212121212121	0.0606060606061	3857.0	-0.0983606557377	27.0	0.0
Nephroselmis_olivacea	TGT	C	T	0.0	0.238095238095	0.1	0.0384615384615	0.576923076923	0.787878787879	0.0606060606061	3857.0	-0.510574018127	25.0	0.0

### Alignment improvement:
