### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
Paracentrotus	ATT	I	L	0.0	0.546674828335	0.636363636364	0.230769230769	0.653846153846	0.426229508197	0.270491803279	1784.0	2.02587923026	5.0	0.0
Paracentrotus	ATC	I	L	0.0	0.546674828335	0.428571428571	0.214285714286	0.714285714286	0.114754098361	0.270491803279	1784.0	1.91625615764	7.0	0.0
Paracentrotus	ATA	I	L	0.0	0.546674828335	0.636363636364	0.321428571429	0.571428571429	0.459016393443	0.270491803279	1784.0	2.11865443425	4.0	0.0
Andalucia	ATT	I	L	0.0	0.719997759566	0.818181818182	0.240506329114	0.582278481013	0.663865546218	0.226890756303	1783.0	1.87647315583	5.0	0.0
Andalucia	ATC	I	L	0.0	0.719997759566	0.6	0.2	0.575	0.336134453782	0.226890756303	1783.0	1.78547008547	7.0	0.0
Seculomonas	ATT	I	L	0.0	0.710780738661	0.909090909091	0.320987654321	0.530864197531	0.60447761194	0.291044776119	1784.0	2.04427415922	5.0	0.0
Seculomonas	ATC	I	L	0.0	0.710780738661	0.555555555556	0.259259259259	0.592592592593	0.201492537313	0.291044776119	1784.0	2.08066581306	7.0	0.0
Seculomonas	ATA	I	L	0.0	0.710780738661	0.5	0.230769230769	0.576923076923	0.194029850746	0.291044776119	1784.0	1.87046632124	4.0	0.0
Schistosoma	ATT	I	L	0.0	0.388594468673	1.0	0.306451612903	0.225806451613	0.427586206897	0.28275862069	1688.0	1.13388429752	5.0	0.0
Schistosoma	ATC	I	L	0.0	0.388594468673	0.333333333333	0.25	0.5	0.0551724137931	0.28275862069	1688.0	1.69915254237	7.0	0.0
Schistosoma	ATA	I	L	0.0	0.388594468673	1.0	0.266666666667	0.32	0.51724137931	0.28275862069	1688.0	1.23459607485	4.0	0.0
Fasciola	ATT	I	L	0.0	0.174281444816	0.636363636364	0.153846153846	0.323076923077	0.70652173913	0.20652173913	1701.0	1.11287758347	5.0	0.0
Fasciola	ATC	I	L	0.0	0.174281444816	0.6	0.6	0.2	0.054347826087	0.20652173913	1701.0	1.7397260274	7.0	0.0
Fasciola	ATA	I	L	0.0	0.174281444816	0.714285714286	0.272727272727	0.272727272727	0.239130434783	0.20652173913	1701.0	1.06259780908	4.0	0.0
Patiria	ATT	I	L	0.0	0.107452106349	0.6	0.19512195122	0.658536585366	0.308270676692	0.293233082707	1784.0	1.9898904802	5.0	0.0
Patiria	ATC	I	L	0.0	0.107452106349	0.285714285714	0.208333333333	0.625	0.18045112782	0.293233082707	1784.0	1.89466089466	7.0	0.0
Patiria	ATA	I	L	0.0	0.107452106349	0.833333333333	0.382352941176	0.514705882353	0.511278195489	0.293233082707	1784.0	2.18712273642	4.0	0.0
Lumbricus	ATT	I	L	0.0	3.82489620402e-05	0.583333333333	0.20253164557	0.620253164557	0.464705882353	0.276470588235	1781.0	1.91444783937	5.0	0.0
Lumbricus	ATC	I	L	0.0	3.82489620402e-05	0.454545454545	0.292682926829	0.512195121951	0.241176470588	0.276470588235	1781.0	1.87239366138	7.0	0.0
Lumbricus	ATA	I	L	0.0	3.82489620402e-05	0.7	0.38	0.12	0.294117647059	0.276470588235	1781.0	1.82397260274	4.0	0.0
Halocynthia	ATT	I	L	0.0	0.0102877402219	0.636363636364	0.135135135135	0.594594594595	0.611570247934	0.165289256198	1746.0	1.33255705636	5.0	0.0
Halocynthia	ATA	I	L	0.0	0.0102877402219	0.555555555556	0.25641025641	0.25641025641	0.322314049587	0.165289256198	1746.0	1.56239015817	4.0	0.0
Limulus	ATT	I	L	0.0	0.000131592565613	0.583333333333	0.22	0.58	0.515463917526	0.273195876289	1781.0	1.94589937974	5.0	0.0
Limulus	ATC	I	L	0.0	0.000131592565613	0.714285714286	0.27027027027	0.459459459459	0.190721649485	0.273195876289	1781.0	1.78484565014	7.0	0.0
Limulus	ATA	I	L	0.0	0.000131592565613	0.909090909091	0.368421052632	0.140350877193	0.29381443299	0.273195876289	1781.0	1.92961165049	4.0	0.0
Caenorhabditis	ATT	I	L	0.0	6.51603997475e-05	0.833333333333	0.271929824561	0.377192982456	0.626373626374	0.324175824176	1755.0	1.54142814101	5.0	0.0
Caenorhabditis	ATC	I	L	0.0	6.51603997475e-05	0.333333333333	0.272727272727	0.454545454545	0.0604395604396	0.324175824176	1755.0	1.65432098765	7.0	0.0
Caenorhabditis	ATA	I	L	0.0	6.51603997475e-05	0.909090909091	0.438596491228	0.0701754385965	0.313186813187	0.324175824176	1755.0	1.42413381123	4.0	0.0
Axinella	ATT	I	L	0.0	0.468024415885	0.75	0.318181818182	0.575757575758	0.485294117647	0.264705882353	1777.0	2.01252609603	5.0	0.0
Axinella	ATC	I	L	0.0	0.468024415885	0.5	0.2	0.733333333333	0.110294117647	0.264705882353	1777.0	2.23787528868	7.0	0.0
Axinella	ATA	I	L	0.0	0.468024415885	0.636363636364	0.218181818182	0.618181818182	0.404411764706	0.264705882353	1777.0	1.94537554314	4.0	0.0
Terebratulina	ATT	I	L	0.0	0.00507326019353	0.909090909091	0.354838709677	0.451612903226	0.366863905325	0.301775147929	1783.0	1.98898678414	5.0	0.0
Terebratulina	ATC	I	L	0.0	0.00507326019353	0.909090909091	0.261538461538	0.538461538462	0.384615384615	0.301775147929	1783.0	1.82846521508	7.0	0.0
