### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
Paracentrotus	TGC	C	S	0.0	0.732142857143	0.5	0.2	0.4	0.625	0.1875	1926.0	-0.503875968992	27.0	0.0
Paracentrotus	TGT	C	S	0.0	0.732142857143	0.166666666667	0.166666666667	0.166666666667	0.375	0.1875	1926.0	0.120253164557	25.0	0.0
Caenorhabditis	TGT	C	S	0.0	0.00892857142857	0.0909090909091	0.0384615384615	0.115384615385	0.962962962963	0.037037037037	1865.0	-0.333082140166	25.0	0.0
Schistosoma	TGT	C	S	0.0	0.25	0.2	0.0555555555556	0.0277777777778	0.857142857143	0.047619047619	1800.0	-0.162995594714	25.0	0.0
Fasciola	TGC	C	S	0.0	0.681818181818	0.333333333333	0.2	0.0	0.0833333333333	0.116666666667	1825.0	0.393822393822	27.0	0.0
Fasciola	TGT	C	S	0.0	0.681818181818	0.416666666667	0.109090909091	0.0727272727273	0.916666666667	0.116666666667	1825.0	-0.48490360131	25.0	0.0
Dunaliella_salina	TGT	C	S	0.0	0.00595238095238	0.5	0.25	0.125	1.0	0.25	1392.0	0.405	25.0	0.0
Patiria	TGC	C	S	0.0	0.330357142857	0.166666666667	0.0833333333333	0.333333333333	0.666666666667	0.166666666667	1926.0	-0.842271293375	27.0	0.0
Patiria	TGT	C	S	0.0	0.330357142857	0.333333333333	0.333333333333	0.166666666667	0.333333333333	0.166666666667	1926.0	0.470967741935	25.0	0.0
Pseudendoclonium_akinetum	TGT	C	S	1.0	0.116666666667	0.428571428571	0.176470588235	0.176470588235	0.772727272727	0.136363636364	1930.0	0.148603351955	25.0	0.0
Lumbricus	TGT	C	S	0.0	0.0714285714286	0.285714285714	0.2	0.1	0.555555555556	0.111111111111	1920.0	0.170588235294	25.0	0.0
Halocynthia	TGC	C	S	0.0	0.75	0.5	0.5	0.0	0.0666666666667	0.133333333333	1893.0	0.415094339623	27.0	0.0
Halocynthia	TGT	C	S	0.0	0.75	0.3	0.107142857143	0.142857142857	0.933333333333	0.133333333333	1893.0	-0.0503189227498	25.0	0.0
Bracteacoccus_aerius	TGT	C	S	0.0	0.7	0.2	0.111111111111	0.222222222222	0.6	0.0666666666667	1789.0	-0.236323851204	25.0	0.0
Pycnococcus_provasolii	TGC	C	S	0.0	0.1875	0.25	0.2	0.4	0.384615384615	0.0769230769231	1930.0	-0.0629921259843	27.0	0.0
Polytoma_uvella	TGC	C	S	1.0	0.1	0.8	0.307692307692	0.0	0.866666666667	0.266666666667	1394.0	0.536953242836	27.0	0.0
Prototheca_wickerhamii	TGT	C	S	0.0	0.00992063492063	0.285714285714	0.125	0.4375	1.0	0.125	1924.0	-0.530393325387	25.0	0.0
Terebratulina	TGC	C	S	0.0	0.0833333333333	0.2	0.111111111111	0.277777777778	0.75	0.166666666667	1915.0	-0.613390928726	27.0	0.0
