### Random Forest prediction
genome	codon	ori_aa	rea_aa	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
Schistosoma	ATT	I	W	0.8058320809	0.111111111111	0.0227272727273	0.272727272727	0.423076923077	0.0192307692308	1212.0	-2.25511811024	5.0	0
Schistosoma	ATA	I	W	0.8058320809	0.125	0.0185185185185	0.37037037037	0.519230769231	0.0192307692308	1212.0	-2.13744380218	4.0	0
Limulus	ATA	I	W	0.0486110943279	0.1	0.025	0.15	0.268456375839	0.00671140939597	1439.0	-1.62309758281	4.0	0
Caenorhabditis	ATC	I	W	0.0760869377579	0.25	0.111111111111	0.444444444444	0.0692307692308	0.00769230769231	1322.0	-1.05747126437	7.0	0
Geodia	ATA	I	W	0.246268581997	0.111111111111	0.0185185185185	0.518518518519	0.504672897196	0.00934579439252	1451.0	-2.34465086483	4.0	0
Acropora	ATC	I	W	0.0735293863784	0.142857142857	0.0833333333333	0.75	0.127659574468	0.0106382978723	1452.0	-1.83139534884	7.0	0
Trichinella	ATT	I	W	0.0131668193544	0.111111111111	0.0232558139535	0.441860465116	0.300699300699	0.027972027972	1246.0	-2.26790024135	5.0	0
Trichinella	ATA	I	W	0.0131668193544	0.375	0.051724137931	0.103448275862	0.405594405594	0.027972027972	1246.0	-1.31798909752	4.0	0
Myxine	ATA	I	W	0.0597014719251	0.111111111111	0.0217391304348	0.152173913043	0.326241134752	0.00709219858156	1409.0	-1.71385083714	4.0	0

### Alignment improvement:
