### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
SpombA	GCT	A	Q	2.0	0.620370239302	0.166666666667	0.0147058823529	0.588235294118	0.686868686869	0.010101010101	1424.0	-0.927241962775	45.0	0.0	0.0
CsantA	GCA	A	Q	0.0	0.428571375139	0.111111111111	0.027027027027	0.675675675676	0.318965517241	0.00862068965517	2220.0	-0.9078613694	44.0	0.0	0.0
OanguA	GCA	A	Q	0.0	0.222222160254	0.111111111111	0.0204081632653	0.836734693878	0.355072463768	0.00724637681159	2248.0	-0.997673926834	44.0	0.0	0.0
SarboA	GCA	A	Q	0.0	0.253333259679	0.166666666667	0.0263157894737	0.815789473684	0.413043478261	0.0108695652174	1429.0	-0.872795031056	44.0	0.0	0.0
LstarA	GCT	A	Q	0.0	0.713414535202	0.1	0.0140845070423	0.647887323944	0.601694915254	0.00847457627119	1834.0	-1.02777344359	45.0	0.0	0.0
ScryoA	GCA	A	Q	1.0	0.305555488423	0.166666666667	0.03125	0.625	0.333333333333	0.0104166666667	1424.0	-1.02162811655	44.0	0.0	0.0
CzempA	GCA	A	Q	0.0	0.740740740741	0.166666666667	0.0285714285714	0.771428571429	0.4375	0.0125	1428.0	-0.892244897959	44.0	0.0	0.0
SjapoA	GCT	A	Q	0.0	0.604166530004	0.166666666667	0.016393442623	0.606557377049	0.782051282051	0.0128205128205	1423.0	-0.983404457089	45.0	0.0	0.0
CalbiD	GCT	A	Q	0.0	0.698347003291	0.1	0.0131578947368	0.947368421053	0.603174603175	0.00793650793651	2058.0	-0.943163922691	45.0	0.0	0.0
CalbiC	GCT	A	Q	3.0	0.711538361946	0.0909090909091	0.0128205128205	0.948717948718	0.573529411765	0.00735294117647	2250.0	-0.947244530601	45.0	0.0	0.046
CalbiB	GCT	A	Q	2.0	0.711538361946	0.0909090909091	0.0128205128205	0.948717948718	0.573529411765	0.00735294117647	2250.0	-0.947244530601	45.0	0.0	0.0
CalbiA	GCT	A	Q	0.0	0.702479236123	0.1	0.0133333333333	0.946666666667	0.595238095238	0.00793650793651	2058.0	-0.947269575267	45.0	0.0	0.0
SoctoA	GCA	A	Q	0.0	0.194444402886	0.2	0.0434782608696	0.521739130435	0.234693877551	0.0102040816327	1425.0	-0.660165975104	44.0	0.0	0.0
CdublA	GCT	A	Q	0.0	0.65573758606	0.0833333333333	0.0113636363636	0.943181818182	0.692913385827	0.00787401574803	2058.0	-0.949107816034	45.0	0.0	0.0
SpastA	GCA	A	Q	0.0	0.753333248171	0.2	0.0222222222222	0.8	0.473684210526	0.0105263157895	1429.0	-0.885696175787	44.0	0.0	0.0
ScereC	GCA	A	Q	0.0	0.225051238861	0.333333333333	0.0526315789474	0.736842105263	0.39175257732	0.020618556701	1429.0	-0.734550913185	44.0	0.0	0.0
ScereA	GCA	A	Q	1.0	0.226273699543	0.333333333333	0.0512820512821	0.74358974359	0.40206185567	0.020618556701	1429.0	-0.735816897979	44.0	0.0	0.0
ScereD	GCA	A	Q	0.0	0.279220709722	0.166666666667	0.0263157894737	0.789473684211	0.4	0.0105263157895	1429.0	-0.854390793095	44.0	0.0	0.0
ScereE	GCA	A	Q	0.0	0.279220709722	0.166666666667	0.025641025641	0.769230769231	0.40625	0.0104166666667	1429.0	-0.872930866602	44.0	0.0	0.0
ScastA	GCC	A	Q	0.0	0.0540540447229	0.25	0.166666666667	0.5	0.0681818181818	0.0113636363636	1426.0	-0.138263665595	47.0	0.0	0.0
