### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
Andalucia	ATT	I	W	0.0	0.664285714286	0.0909090909091	0.0126582278481	0.582278481013	0.663865546218	0.00840336134454	1783.0	-2.36796158883	5.0	0.0
Schistosoma	ATT	I	W	0.0	0.801796971739	0.0909090909091	0.0161290322581	0.225806451613	0.427586206897	0.0137931034483	1688.0	-2.03581267218	5.0	0.0
Schistosoma	ATA	I	W	0.0	0.801796971739	0.0833333333333	0.0133333333333	0.32	0.51724137931	0.0137931034483	1688.0	-2.12231857599	4.0	0.0
Fasciola	ATT	I	W	0.0	0.620689524214	0.0909090909091	0.0153846153846	0.323076923077	0.70652173913	0.0108695652174	1701.0	-2.10969793323	5.0	0.0
Limulus	ATA	I	W	0.0	0.0535714100757	0.0909090909091	0.0175438596491	0.140350877193	0.29381443299	0.00515463917526	1781.0	-1.75242718447	4.0	0.0
Caenorhabditis	ATT	I	W	0.0	0.0733752533689	0.0833333333333	0.00877192982456	0.377192982456	0.626373626374	0.0164835164835	1755.0	-2.23470924977	5.0	0.0
Caenorhabditis	ATC	I	W	0.0	0.0733752533689	0.166666666667	0.0909090909091	0.454545454545	0.0604395604396	0.0164835164835	1755.0	-1.33333333333	7.0	0.0
Caenorhabditis	ATA	I	W	0.0	0.0733752533689	0.0909090909091	0.0175438596491	0.0701754385965	0.313186813187	0.0164835164835	1755.0	-1.8853046595	4.0	0.0
Jbahamiensis	ATC	I	W	0.0	0.211538432767	0.142857142857	0.0625	0.75	0.12213740458	0.00763358778626	1784.0	-2.09207708779	7.0	0.0
Bfloridae	ATT	I	W	4.0	0.675675563701	0.111111111111	0.027027027027	0.621621621622	0.569230769231	0.0153846153846	1085.0	-2.28933092224	5.0	0.0
Katharina	ATC	I	W	0.0	0.139240480107	0.125	0.0384615384615	0.423076923077	0.168831168831	0.00649350649351	1781.0	-1.98563968668	7.0	0.0
Geodia	ATA	I	W	4.0	0.256410181163	0.1	0.0151515151515	0.5	0.507692307692	0.00769230769231	1780.0	-2.36410520887	4.0	0.0
Acropora	ATC	I	W	0.0	0.0743242986635	0.111111111111	0.0666666666667	0.666666666667	0.136363636364	0.00909090909091	1781.0	-1.9798206278	7.0	0.0
Trichinella	ATT	I	W	0.0	0.0110122482765	0.166666666667	0.0350877192982	0.368421052632	0.303191489362	0.031914893617	1759.0	-2.14535585042	5.0	0.0
Trichinella	ATA	I	W	0.0	0.0110122482765	0.25	0.0512820512821	0.102564102564	0.414893617021	0.031914893617	1759.0	-1.36678507993	4.0	0.0
Myxine	ATA	I	W	0.0	0.0624999784216	0.1	0.0161290322581	0.145161290323	0.333333333333	0.00537634408602	1783.0	-1.78866263071	4.0	0.0
Ciona	ATT	I	W	0.0	0.594202758448	0.0833333333333	0.00819672131148	0.450819672131	0.583732057416	0.00478468899522	1767.0	-2.3610411419	5.0	0.0

### Alignment improvement:
