### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
SpombA	GAT	D	N	0.0	0.563440860215	0.2	0.0540540540541	0.72972972973	0.948717948718	0.0512820512821	1424.0	1.02877884366	33.0	0.0	0.0
CgallA	GAT	D	N	0.0	0.554507337526	0.222222222222	0.0377358490566	0.924528301887	0.946428571429	0.0357142857143	2247.0	1.11479073547	33.0	0.0	0.0
CgigaA	GAT	D	N	0.0	0.0493468795356	0.285714285714	0.117647058824	0.882352941176	0.320754716981	0.0377358490566	2002.0	1.43459392436	33.0	0.0	0.0
CoxycA	GAT	D	N	0.0	0.666666666667	1.0	0.111111111111	0.777777777778	0.692307692308	0.0769230769231	434.0	1.39635995956	33.0	0.0	0.038
CsubhA	GAC	D	N	7.0	0.155658028614	0.111111111111	0.0169491525424	0.966101694915	1.0	0.0169491525424	2244.0	1.07416926749	35.0	0.0	0.055
CsubhB	GAC	D	N	7.0	0.155658028614	0.111111111111	0.0169491525424	0.966101694915	1.0	0.0169491525424	2244.0	1.07416926749	35.0	0.0	0.055
OanguA	GAT	D	N	0.0	0.517857142857	0.111111111111	0.0185185185185	0.981481481481	0.964285714286	0.0178571428571	2248.0	1.08607292289	33.0	0.0	0.0
CtetrA	GAT	D	N	0.0	0.568965517241	0.111111111111	0.0196078431373	0.960784313725	0.864406779661	0.0169491525424	2249.0	1.07588532884	33.0	0.0	0.0
MfariA	GAT	D	N	0.0	0.525423728814	0.111111111111	0.0178571428571	0.982142857143	0.949152542373	0.0169491525424	2248.0	1.07252494244	33.0	0.0	0.0
CcastA	GAT	D	N	0.0	0.512820512821	0.2	0.025	0.925	0.975609756098	0.0243902439024	1428.0	1.10199663219	33.0	0.0	0.0
CphanA	GAT	D	N	0.0	0.0555555555556	0.111111111111	0.0188679245283	0.943396226415	0.946428571429	0.0357142857143	2247.0	1.02556701031	33.0	0.0	0.0
CphanA	GAC	D	N	0.0	0.0555555555556	0.5	0.333333333333	0.666666666667	0.0535714285714	0.0357142857143	2247.0	2.38977635783	35.0	0.0	0.017
ScryoA	GAT	D	N	0.0	0.767137096774	0.166666666667	0.037037037037	0.740740740741	0.658536585366	0.0487804878049	1424.0	0.978107344633	33.0	0.0	0.0
ScryoA	GAC	D	N	0.0	0.767137096774	0.333333333333	0.0714285714286	0.714285714286	0.341463414634	0.0487804878049	1424.0	0.980109739369	35.0	0.0	0.0
HuvarA	GAT	D	N	0.0	0.227368220015	0.6	0.0789473684211	0.736842105263	0.904761904762	0.0952380952381	1361.0	0.985097246779	33.0	0.0	0.0
HuvarA	GAC	D	N	0.0	0.227368220015	0.333333333333	0.25	0.75	0.0952380952381	0.0952380952381	1361.0	2.0551558753	35.0	0.0	0.0
PpastA	GAT	D	N	0.0	0.509090909091	0.111111111111	0.0178571428571	0.946428571429	0.982456140351	0.0175438596491	2248.0	1.06334492082	33.0	0.0	0.0
SjapoA	GAT	D	N	0.0	0.533333333333	0.2	0.0263157894737	0.710526315789	0.95	0.025	1423.0	0.867658179985	33.0	0.0	0.0
CparaC	GAT	D	N	0.0	0.549180327869	0.111111111111	0.0181818181818	0.981818181818	0.901639344262	0.016393442623	2250.0	1.0958250497	33.0	0.0	0.0
CparaB	GAT	D	N	0.0	0.549180327869	0.111111111111	0.0181818181818	0.981818181818	0.901639344262	0.016393442623	2250.0	1.0958250497	33.0	0.0	0.0
CparaE	GAT	D	N	0.0	0.549180327869	0.111111111111	0.0181818181818	0.981818181818	0.901639344262	0.016393442623	2250.0	1.0958250497	33.0	0.0	0.0
CparaD	GAT	D	N	0.0	0.549180327869	0.111111111111	0.0181818181818	0.981818181818	0.901639344262	0.016393442623	2250.0	1.0958250497	33.0	0.0	0.0
CparaF	GAT	D	N	0.0	0.549180327869	0.111111111111	0.0181818181818	0.981818181818	0.901639344262	0.016393442623	2250.0	1.0958250497	33.0	0.0	0.0
PkluyA	GAT	D	N	0.0	0.518181818182	0.111111111111	0.0188679245283	0.981132075472	0.963636363636	0.0181818181818	2247.0	1.12446526788	33.0	0.0	0.0
YlipoB	GAT	D	N	0.0	0.527272727273	0.333333333333	0.0535714285714	0.910714285714	0.982456140351	0.0526315789474	2247.0	1.19730510106	33.0	0.0	0.0
YlipoA	GAT	D	N	0.0	0.527272727273	0.333333333333	0.0535714285714	0.910714285714	0.982456140351	0.0526315789474	2247.0	1.19730510106	33.0	0.0	0.0
LelonA	GAT	D	N	0.0	0.580508474576	0.222222222222	0.0363636363636	0.963636363636	0.901639344262	0.0327868852459	2249.0	1.16987497519	33.0	0.0	0.0
CpseuA	GAT	D	N	0.0	0.625	1.0	0.1	0.8	0.769230769231	0.0769230769231	434.0	1.35577797998	33.0	0.0	0.036
