### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
LmeyeA	TTC	F	L	0.0	0.824630046679	0.166666666667	0.04	0.9	0.431034482759	0.0431034482759	1429.0	0.071658158442	23.0	0.0	0.0
LmeyeA	TTT	F	L	0.0	0.824630046679	0.333333333333	0.0454545454545	0.909090909091	0.568965517241	0.0431034482759	1429.0	0.128952353198	21.0	0.0	0.0
SpombA	TTC	F	L	0.0	0.27376430564	0.428571428571	0.0789473684211	0.684210526316	0.638655462185	0.100840336134	1424.0	0.239023776576	23.0	0.0	0.0
SpombA	TTT	F	L	0.0	0.27376430564	0.666666666667	0.139534883721	0.651162790698	0.361344537815	0.100840336134	1424.0	0.22791008235	21.0	0.0	0.0
WmucoA	TTC	F	L	0.0	0.258872137077	0.25	0.0363636363636	0.854545454545	0.345911949686	0.0691823899371	2246.0	0.102108963093	23.0	0.0	0.0
WmucoA	TTT	F	L	0.0	0.258872137077	0.307692307692	0.0865384615385	0.826923076923	0.654088050314	0.0691823899371	2246.0	0.227594339623	21.0	0.0	0.0
AacerA	TTC	F	L	0.0	0.334782608696	0.5	0.0714285714286	0.892857142857	0.56	0.04	630.0	0.121822383625	23.0	0.0	0.013
CgallA	TTC	F	L	0.0	0.685795432692	0.384615384615	0.100917431193	0.825688073394	0.608938547486	0.0893854748603	2247.0	0.322136825126	23.0	0.0	0.0
CgallA	TTT	F	L	0.0	0.685795432692	0.384615384615	0.0714285714286	0.714285714286	0.391061452514	0.0893854748603	2247.0	0.0883663746734	21.0	0.0	0.0
CgigaA	TTC	F	L	0.0	0.681284926403	0.25	0.0322580645161	0.927419354839	0.898550724638	0.0289855072464	2002.0	0.15944931164	23.0	0.0	0.0
CsantA	TTC	F	L	0.0	0.214637937146	0.4	0.133333333333	0.766666666667	0.215827338129	0.0863309352518	2220.0	0.437006522485	23.0	0.0	0.0
CsantA	TTT	F	L	0.0	0.214637937146	0.384615384615	0.0733944954128	0.807339449541	0.784172661871	0.0863309352518	2220.0	0.17703768624	21.0	0.0	0.0
CtropB	TTC	F	L	0.0	0.755661168577	0.153846153846	0.0243902439024	0.918699186992	0.798701298701	0.0194805194805	2250.0	0.0809080822736	23.0	0.0	0.0
CtropA	TTC	F	L	0.0	0.749231199329	0.153846153846	0.0241935483871	0.91935483871	0.805194805195	0.0194805194805	2250.0	0.0703105169642	23.0	0.0	0.0
WpijpA	TTC	F	L	0.0	0.459010022767	0.285714285714	0.027397260274	0.890410958904	0.634782608696	0.0347826086957	1429.0	0.0578284815106	23.0	0.0	0.0
WpijpA	TTT	F	L	0.0	0.459010022767	0.166666666667	0.047619047619	0.880952380952	0.365217391304	0.0347826086957	1429.0	0.146590909091	21.0	0.0	0.0
BarxA	TTC	F	L	0.0	0.747899159664	1.0	0.0588235294118	0.823529411765	0.459459459459	0.0540540540541	434.0	0.0122994652406	23.0	0.0	0.036
BarxA	TTT	F	L	0.0	0.747899159664	1.0	0.05	0.95	0.540540540541	0.0540540540541	434.0	0.379890809827	21.0	0.0	0.036
CsubhA	TTC	F	L	0.0	0.528875053671	0.307692307692	0.0272108843537	0.891156462585	0.986577181208	0.0268456375839	2244.0	0.0691277596815	23.0	0.0	0.0
CsubhB	TTC	F	L	0.0	0.528875053671	0.307692307692	0.0272108843537	0.891156462585	0.986577181208	0.0268456375839	2244.0	0.0691277596815	23.0	0.0	0.0
OanguA	TTC	F	L	0.0	0.891488688479	0.25	0.0909090909091	0.833333333333	0.381502890173	0.0809248554913	2248.0	0.267764562367	23.0	0.0	0.0
OanguA	TTT	F	L	0.0	0.891488688479	0.384615384615	0.0747663551402	0.775700934579	0.618497109827	0.0809248554913	2248.0	0.124859162143	21.0	0.0	0.0
SarboA	TTT	F	L	0.0	0.0548105567941	0.428571428571	0.0833333333333	0.902777777778	0.631578947368	0.0526315789474	1429.0	0.239214638707	21.0	0.0	0.0
CalaiA	TTC	F	L	0.0	0.354432229081	0.125	0.0294117647059	0.911764705882	0.239436619718	0.0211267605634	2056.0	0.0126396237507	23.0	0.0	0.0
CalaiA	TTT	F	L	0.0	0.354432229081	0.181818181818	0.0185185185185	0.916666666667	0.760563380282	0.0211267605634	2056.0	0.0394069061598	21.0	0.0	0.0
KtherA	TTC	F	L	0.0	0.839327053809	0.333333333333	0.051724137931	0.896551724138	0.5	0.0431034482759	1429.0	0.153278688525	23.0	0.0	0.0
