### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
LmeyeA	TTC	F	Y	0.0	0.754075454122	0.166666666667	0.0188679245283	0.88679245283	0.430894308943	0.0162601626016	1456.0	2.77432277757	23.0	0.0
LmeyeA	TTT	F	Y	0.0	0.754075454122	0.166666666667	0.0142857142857	0.928571428571	0.569105691057	0.0162601626016	1456.0	2.80527086384	21.0	0.0
SpombA	TTC	F	Y	1.0	0.574177371223	0.571428571429	0.0779220779221	0.701298701299	0.620967741935	0.0645161290323	1452.0	2.48708780294	23.0	0.0
SpombA	TTT	F	Y	1.0	0.574177371223	0.333333333333	0.0425531914894	0.617021276596	0.379032258065	0.0645161290323	1452.0	1.8908496732	21.0	0.0
SpastA	TTC	F	Y	0.0	0.110332294912	0.333333333333	0.0363636363636	0.890909090909	0.478260869565	0.0173913043478	1456.0	2.70509037256	23.0	0.0
AacerA	TTC	F	Y	0.0	0.71875	0.5	0.0344827586207	0.896551724138	0.557692307692	0.0192307692308	643.0	2.75195911414	23.0	0.0
CmetaD	TTC	F	Y	0.0	0.280407028793	0.4	0.0547945205479	0.917808219178	0.514084507042	0.0352112676056	2101.0	2.93169642857	23.0	0.0
CmetaD	TTT	F	Y	0.0	0.280407028793	0.0909090909091	0.0144927536232	0.927536231884	0.485915492958	0.0352112676056	2101.0	2.7684663796	21.0	0.0
CgigaA	TTC	F	Y	0.0	0.606936795174	0.181818181818	0.0168067226891	0.90756302521	0.894736842105	0.015037593985	1879.0	2.76631733775	23.0	0.0
CsantA	TTC	F	Y	0.0	0.179846761528	0.125	0.0714285714286	0.821428571429	0.207407407407	0.037037037037	2073.0	2.75503095975	23.0	0.0
CsantA	TTT	F	Y	0.0	0.179846761528	0.166666666667	0.0280373831776	0.822429906542	0.792592592593	0.037037037037	2073.0	2.44923884514	21.0	0.0
CtropB	TTC	F	Y	0.0	0.386734681178	0.25	0.0350877192982	0.921052631579	0.797202797203	0.027972027972	2101.0	2.96600951734	23.0	0.0
CtropA	TTC	F	Y	0.0	0.792955550992	0.25	0.0344827586207	0.922413793103	0.811188811189	0.027972027972	2101.0	2.97160552644	23.0	0.0
WpijpA	TTC	F	Y	0.0	0.811348984514	0.428571428571	0.0394736842105	0.894736842105	0.633333333333	0.0333333333333	1456.0	2.92804303968	23.0	0.0
WpijpA	TTT	F	Y	0.0	0.811348984514	0.166666666667	0.0227272727273	0.909090909091	0.366666666667	0.0333333333333	1456.0	2.68689432395	21.0	0.0
BarxA	TTC	F	Y	0.0	0.216216216216	1.0	0.0588235294118	0.882352941176	0.435897435897	0.025641025641	442.0	3.032	23.0	0.0
CoxycA	TTC	F	Y	1.0	0.691176470588	1.0	0.047619047619	0.952380952381	0.6	0.0285714285714	442.0	3.28155339806	23.0	0.0
CsubhA	TTC	F	Y	0.0	0.565618591934	0.5	0.0647482014388	0.877697841727	0.985815602837	0.063829787234	2098.0	2.96405018498	23.0	0.0
CsubhB	TTC	F	Y	0.0	0.565618591934	0.5	0.0647482014388	0.877697841727	0.985815602837	0.063829787234	2098.0	2.96405018498	23.0	0.0
