### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
Aphrocallistes_vastus	ATG	M	F	0.0	0.0275321221531	0.2	0.0625	0.6875	1.0	0.0625	1349.0	0.218649517685	6.0	0.0	0.0
Schistosoma	ATG	M	F	1.0	2.89756426597e-10	0.555555555556	0.128205128205	0.282051282051	1.0	0.128205128205	1325.0	0.10833880499	6.0	0.0	0.143
Fasciola	ATG	M	F	0.0	0.000414093413437	0.25	0.0526315789474	0.289473684211	1.0	0.0526315789474	1332.0	-0.0970149253731	6.0	0.0	0.034
Trichobilharzia_regenti	ATG	M	F	0.0	0.000414093413437	0.2	0.05	0.275	1.0	0.05	1324.0	-0.0109114249037	6.0	0.0	0.033
Versteria_mustelae	ATG	M	F	0.0	0.0252670227521	0.111111111111	0.03125	0.3125	1.0	0.03125	1328.0	-0.226506024096	6.0	0.0	0.0
Haplorchis_taichui	ATG	M	F	0.0	0.000414093413437	0.111111111111	0.05	0.275	1.0	0.05	1320.0	-0.0691661279897	6.0	0.0	0.04
Limulus	ATG	M	F	0.0	2.22044604925e-16	1.0	0.333333333333	0.0	1.0	0.333333333333	1351.0	1.1375	6.0	0.0	0.405
Echinococcus_equinus	ATG	M	F	1.0	0.000350929341849	0.181818181818	0.0555555555556	0.277777777778	1.0	0.0555555555556	1331.0	-0.018544935806	6.0	0.0	0.094
Taenia_crassiceps	ATG	M	F	0.0	0.000350929341849	0.222222222222	0.0588235294118	0.294117647059	1.0	0.0588235294118	1333.0	-0.0703479576399	6.0	0.0	0.085
Axinella	ATG	M	F	1.0	0.0229966474183	0.142857142857	0.0526315789474	0.473684210526	1.0	0.0526315789474	1348.0	0.0353260869565	6.0	0.0	0.0
Suberites_domuncula	ATG	M	F	0.0	0.0275321221531	0.166666666667	0.0526315789474	0.578947368421	1.0	0.0526315789474	1351.0	0.190217391304	6.0	0.0	0.0
Geodia	ATG	M	F	1.0	0.0252670227521	0.166666666667	0.0625	0.625	1.0	0.0625	1350.0	0.229402261712	6.0	0.0	0.0
Metridium	ATG	M	F	1.0	0.0275321221531	0.166666666667	0.047619047619	0.52380952381	1.0	0.047619047619	1351.0	0.196078431373	6.0	0.0	0.0
Amphimedon_queenslandica	ATG	M	F	1.0	0.0275321221531	0.111111111111	0.0416666666667	0.458333333333	1.0	0.0416666666667	1351.0	0.155172413793	6.0	0.0	0.0
Tetrancistrum_nebulosi	ATG	M	F	0.0	0.000292894079664	0.1	0.0588235294118	0.264705882353	1.0	0.0588235294118	1333.0	-0.0128301886792	6.0	0.0	0.1
Trichinella	ATG	M	F	0.0	3.23004016261e-05	0.4	0.105263157895	0.105263157895	1.0	0.105263157895	1343.0	0.439575033201	6.0	0.0	0.067
Acropora	ATG	M	F	0.0	0.0275321221531	0.166666666667	0.05	0.55	1.0	0.05	1350.0	0.217783505155	6.0	0.0	0.0
Pseudogarypus_banksi	ATG	M	F	0.0	2.22044604925e-16	1.0	1.0	0.0	1.0	1.0	1347.0	3.375	6.0	0.0	0.412
Benedenia_hoshinai	ATG	M	F	0.0	0.0275321221531	0.125	0.0344827586207	0.379310344828	1.0	0.0344827586207	1333.0	-0.0660714285714	6.0	0.0	0.0
Epigonichthys	ATG	M	F	0.0	0.0138621405468	0.2	0.125	0.625	1.0	0.125	1351.0	0.397435897436	6.0	0.0	0.0
Ascidiella_aspersa	ATG	M	F	0.0	0.0161537427875	0.125	0.0555555555556	0.333333333333	1.0	0.0555555555556	1350.0	-0.197122302158	6.0	0.0	0.0
Blanceolatum	ATG	M	F	0.0	2.22044604925e-16	0.333333333333	0.25	0.0	1.0	0.25	775.0	1.11875	6.0	0.0	0.393
