### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
LmeyeA	GGA	G	P	0.0	0.180555502808	0.166666666667	0.030303030303	0.969696969697	0.297297297297	0.00900900900901	1429.0	-1.80844907407	40.0	0.0	0.0
WmucoA	GGA	G	P	0.0	0.252941091173	0.0833333333333	0.0113636363636	0.943181818182	0.491620111732	0.00558659217877	2246.0	-1.88765242098	40.0	0.0	0.0
WpijpA	GGA	G	P	0.0	0.662036920354	0.142857142857	0.0133333333333	0.96	0.663716814159	0.00884955752212	1429.0	-1.89358432578	40.0	0.0	0.0
CsubhA	GGC	G	P	0.0	0.0539772540914	0.125	0.0454545454545	0.818181818182	0.117647058824	0.00534759358289	2244.0	-1.67832847425	43.0	0.0	0.0
CsubhB	GGC	G	P	0.0	0.0539772540914	0.125	0.0454545454545	0.818181818182	0.117647058824	0.00534759358289	2244.0	-1.67832847425	43.0	0.0	0.0
OanguA	GGA	G	P	0.0	0.271604870073	0.0769230769231	0.0149253731343	0.940298507463	0.387283236994	0.00578034682081	2248.0	-1.85745682889	40.0	0.0	0.0
KtherA	GGA	G	P	0.0	0.19907400854	0.142857142857	0.0238095238095	0.952380952381	0.378378378378	0.00900900900901	1429.0	-1.832766054	40.0	0.0	0.0
CnorvA	GGA	G	P	0.0	0.192307632041	0.0833333333333	0.0169491525424	0.983050847458	0.325966850829	0.00552486187845	2249.0	-1.87782561895	40.0	0.0	0.0
NbaciA	GGT	G	P	0.0	0.644230769231	0.166666666667	0.0128205128205	0.935897435897	0.709090909091	0.00909090909091	1428.0	-1.8487035225	41.0	0.0	0.0
LstarA	GGT	G	P	0.0	0.381551840961	0.25	0.0208333333333	0.84375	0.596273291925	0.0124223602484	1834.0	-1.73738170347	41.0	0.0	0.0
MfariA	GGT	G	P	0.0	0.417801716496	0.153846153846	0.0194174757282	0.95145631068	0.539267015707	0.0104712041885	2248.0	-1.82142484615	41.0	0.0	0.0
MfariB	GGA	G	P	0.0	0.249999919441	0.0769230769231	0.0114942528736	0.954022988506	0.460317460317	0.00529100529101	2250.0	-1.848062954	40.0	0.0	0.0
LanspB	GGA	G	P	0.0	0.217592539845	0.166666666667	0.0294117647059	0.941176470588	0.306306306306	0.00900900900901	1429.0	-1.79177233023	40.0	0.0	0.0
LanspA	GGT	G	P	0.0	0.657407289126	0.142857142857	0.0133333333333	0.973333333333	0.669642857143	0.00892857142857	1429.0	-1.88808158062	41.0	0.0	0.0
CglabA	GGT	G	P	0.0	0.76055705301	0.142857142857	0.0144927536232	0.927536231884	0.621621621622	0.018018018018	1413.0	-1.84106600387	41.0	0.0	0.0
CglabA	GGA	G	P	0.0	0.76055705301	0.166666666667	0.0238095238095	0.952380952381	0.378378378378	0.018018018018	1413.0	-1.75647432985	40.0	0.0	0.0
CsakeA	GGT	G	P	0.0	0.672316271046	0.0833333333333	0.00819672131148	0.94262295082	0.648936170213	0.00531914893617	2207.0	-1.86762849414	41.0	0.0	0.0
HuvarA	GGT	G	P	0.0	0.785113129576	0.333333333333	0.0266666666667	0.853333333333	0.694444444444	0.0277777777778	1361.0	-1.71175053872	41.0	0.0	0.0
HuvarA	GGA	G	P	0.0	0.785113129576	0.166666666667	0.03125	0.78125	0.296296296296	0.0277777777778	1361.0	-1.68594545999	40.0	0.0	0.0
KlactA	GGT	G	P	0.0	0.699999896424	0.142857142857	0.0149253731343	0.970149253731	0.598214285714	0.00892857142857	1408.0	-1.869310886	41.0	0.0	0.0
PpastA	GGT	G	P	0.0	0.166494630512	0.153846153846	0.0238095238095	0.928571428571	0.466666666667	0.0111111111111	2248.0	-1.78459477562	41.0	0.0	0.0
CsuavA	GGA	G	P	0.0	0.730538829123	0.0833333333333	0.0104166666667	0.927083333333	0.542372881356	0.00564971751412	2250.0	-1.87285340612	40.0	0.0	0.0
PkluyA	GGA	G	P	0.0	0.627218806207	0.0769230769231	0.00699300699301	0.874125874126	0.760638297872	0.00531914893617	2247.0	-1.88485405654	40.0	0.0	0.0
PcanaA	GGA	G	P	0.0	0.231927641169	0.0909090909091	0.0142857142857	0.942857142857	0.395480225989	0.00564971751412	2250.0	-1.85821110152	40.0	0.0	0.0
CjadiA	GGA	G	P	0.0	0.698795076731	0.0769230769231	0.00943396226415	0.933962264151	0.602272727273	0.00568181818182	2250.0	-1.86747843734	40.0	0.0	0.0
AgossB	GGT	G	P	0.0	0.547619047619	0.142857142857	0.01	0.94	0.909090909091	0.00909090909091	1427.0	-1.87648296977	41.0	0.0	0.0
NdelpA	GGT	G	P	0.0	0.283018867925	0.166666666667	0.0123456790123	0.925925925926	0.723214285714	0.0178571428571	1412.0	-1.8490052108	41.0	0.0	0.0
NdelpA	GGA	G	P	0.0	0.283018867925	0.142857142857	0.0322580645161	0.935483870968	0.276785714286	0.0178571428571	1412.0	-1.68515151515	40.0	0.0	0.0
CpseuA	GGA	G	P	0.0	0.287499943896	1.0	0.0666666666667	0.8	0.333333333333	0.0222222222222	434.0	-1.43696969697	40.0	0.0	0.092
BcaliA	GGA	G	P	0.0	0.738235203742	0.0769230769231	0.0105263157895	0.926315789474	0.521978021978	0.00549450549451	2250.0	-1.85287158529	40.0	0.0	0.0
CvartA	GGA	G	P	0.0	0.724550803104	0.0769230769231	0.0104166666667	0.947916666667	0.542372881356	0.00564971751412	2250.0	-1.88101265823	40.0	0.0	0.0
LdasiA	GGA	G	P	0.0	0.19158872858	0.166666666667	0.0277777777778	0.944444444444	0.327272727273	0.00909090909091	1429.0	-1.79365079365	40.0	0.0	0.0
LkluyF	GGT	G	P	0.0	0.646788868878	0.142857142857	0.0128205128205	0.974358974359	0.702702702703	0.00900900900901	1429.0	-1.88593063019	41.0	0.0	0.0
LkluyE	GGT	G	P	0.0	0.646788868878	0.142857142857	0.0128205128205	0.974358974359	0.702702702703	0.00900900900901	1429.0	-1.88632478632	41.0	0.0	0.0
LkluyD	GGT	G	P	0.0	0.646788868878	0.142857142857	0.0128205128205	0.974358974359	0.702702702703	0.00900900900901	1429.0	-1.88688444661	41.0	0.0	0.0
LkluyC	GGT	G	P	0.0	0.646788868878	0.142857142857	0.0128205128205	0.974358974359	0.702702702703	0.00900900900901	1429.0	-1.88593063019	41.0	0.0	0.0
LkluyA	GGT	G	P	0.0	0.646788868878	0.142857142857	0.0128205128205	0.974358974359	0.702702702703	0.00900900900901	1429.0	-1.88593063019	41.0	0.0	0.0
MguilA	GGT	G	P	0.0	0.641304223985	0.0769230769231	0.00729927007299	0.956204379562	0.702564102564	0.00512820512821	2250.0	-1.87035711445	41.0	0.0	0.0
DhansA	GGT	G	P	0.0	0.762902222464	0.0769230769231	0.0104166666667	0.927083333333	0.497409326425	0.0103626943005	2250.0	-1.88389513109	41.0	0.0	0.0
DhansA	GGA	G	P	0.0	0.762902222464	0.0833333333333	0.0108695652174	0.891304347826	0.476683937824	0.0103626943005	2250.0	-1.84417344173	40.0	0.0	0.0
CsalmA	GGT	G	P	0.0	0.288828625103	0.0909090909091	0.00787401574803	0.866141732283	0.738372093023	0.0116279069767	2153.0	-1.81916177992	41.0	0.0	0.0
CsalmA	GGA	G	P	0.0	0.288828625103	0.1	0.0238095238095	0.904761904762	0.244186046512	0.0116279069767	2153.0	-1.750828991	40.0	0.0	0.0
LnothA	GGA	G	P	0.0	0.177570035378	0.166666666667	0.027027027027	0.945945945946	0.336363636364	0.00909090909091	1429.0	-1.81124290872	40.0	0.0	0.0
BcustA	GGT	G	P	0.0	0.242424179651	0.0769230769231	0.015625	0.921875	0.349726775956	0.00546448087432	2247.0	-1.81479510378	41.0	0.0	0.0
AgossA	GGT	G	P	0.0	0.538095238095	0.142857142857	0.00980392156863	0.941176470588	0.927272727273	0.00909090909091	1427.0	-1.87921664168	41.0	0.0	0.0
ScastA	GGT	G	P	0.0	0.64953258928	0.142857142857	0.0131578947368	0.973684210526	0.690909090909	0.00909090909091	1426.0	-1.87721058573	41.0	0.0	0.0
