### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability	clad_valid	trans_valid
Metaseiulus_occidentalis	AGG	R	S	0.0	7.25658339853e-12	0.333333333333	0.2	0.0	0.0833333333333	0.233333333333	1280.0	0.43085106383	10.0	1.0	0.731	1	1
Metaseiulus_occidentalis	AGA	R	S	0.0	7.25658339853e-12	1.0	0.619047619048	0.0	0.35	0.233333333333	1280.0	1.48733413752	8.0	1.0	0.998	1	1
Paracentrotus	AGG	R	S	0.0	1.35903664103e-10	1.0	1.0	0.0	0.037037037037	0.166666666667	1351.0	2.6	10.0	1.0	0.993	1	1
Paracentrotus	AGA	R	S	0.0	1.35903664103e-10	1.0	1.0	0.0	0.12962962963	0.166666666667	1351.0	2.38602941176	8.0	1.0	0.997	1	1
Aphrocallistes_vastus	AGA	R	S	0.0	1.04984598584e-12	0.75	0.40625	0.0	0.444444444444	0.180555555556	1349.0	1.31095123901	8.0	1.0	0.995	1	1
Schistosoma	AGG	R	S	0.0	1.07726435363e-10	0.666666666667	0.470588235294	0.0	0.257575757576	0.212121212121	1325.0	1.36077844311	10.0	1.0	0.996	1	1
Schistosoma	AGA	R	S	0.0	1.07726435363e-10	0.666666666667	0.333333333333	0.0	0.272727272727	0.212121212121	1325.0	1.01566951567	8.0	1.0	0.993	1	1
Fasciola	AGG	R	S	0.0	2.94271605354e-06	0.714285714286	0.416666666667	0.0	0.260869565217	0.108695652174	1332.0	1.30638297872	10.0	1.0	0.743	1	1
Trichobilharzia_regenti	AGG	R	S	0.0	5.85199376827e-07	0.666666666667	0.5	0.0	0.0888888888889	0.155555555556	1324.0	0.582278481013	10.0	1.0	0.643	1	1
Trichobilharzia_regenti	AGA	R	S	0.0	5.85199376827e-07	0.6	0.5	0.0	0.222222222222	0.155555555556	1324.0	1.71536523929	8.0	1.0	0.894	1	1
Versteria_mustelae	AGG	R	S	0.0	1.08036803056e-07	0.75	0.571428571429	0.0	0.142857142857	0.163265306122	1328.0	1.24817518248	10.0	1.0	0.997	1	1
Versteria_mustelae	AGA	R	S	0.0	1.08036803056e-07	0.375	0.307692307692	0.0	0.265306122449	0.163265306122	1328.0	1.09197651663	8.0	1.0	0.992	1	1
Euseius_nicholsi	AGG	R	S	0.0	1.11572700924e-13	1.0	0.6	0.0	0.0724637681159	0.217391304348	1296.0	1.44041450777	10.0	1.0	0.996	1	1
Euseius_nicholsi	AGA	R	S	0.0	1.11572700924e-13	0.666666666667	0.461538461538	0.0	0.376811594203	0.217391304348	1296.0	1.47856430708	8.0	1.0	0.996	1	1
Patiria	AGG	R	S	0.0	1.46002101693e-06	1.0	1.0	0.0	0.0204081632653	0.102040816327	1351.0	2.425	10.0	1.0	0.859	1	1
Patiria	AGA	R	S	0.0	1.46002101693e-06	1.0	1.0	0.0	0.0816326530612	0.102040816327	1351.0	2.50649350649	8.0	1.0	0.909	1	1
Daphnia	AGA	R	S	0.0	9.43948238512e-08	0.666666666667	0.857142857143	0.0	0.137254901961	0.117647058824	1351.0	1.59926470588	8.0	1.0	1.0	1	1
Haplorchis_taichui	AGG	R	S	0.0	2.07118879459e-08	0.75	0.409090909091	0.0454545454545	0.379310344828	0.206896551724	1320.0	1.29534883721	10.0	1.0	0.996	1	1
Haplorchis_taichui	AGA	R	S	0.0	2.07118879459e-08	1.0	1.0	0.0	0.051724137931	0.206896551724	1320.0	2.74137931034	8.0	1.0	0.992	1	1
Lumbricus	AGA	R	S	0.0	5.98698671361e-10	0.857142857143	0.818181818182	0.0	0.207547169811	0.169811320755	1350.0	2.19444444444	8.0	1.0	1.0	1	1
Halocynthia	AGG	R	S	1.0	0.000674763599694	0.222222222222	0.0645161290323	0.0	0.313131313131	0.020202020202	1348.0	0.162139917695	10.0	0.0	0.024	0	1
