### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
Paracentrotus	GAA	E	Q	0.0	0.639534883721	0.0909090909091	0.0322580645161	0.967741935484	0.720930232558	0.0232558139535	1351.0	1.88333333333	32.0	0.0	0.0
Schistosoma	GAA	E	Q	0.0	0.228571428571	0.111111111111	0.0526315789474	0.789473684211	0.431818181818	0.0227272727273	1325.0	1.55376344086	32.0	0.0	0.0
Fasciola	GAA	E	Q	0.0	0.0235294117647	0.5	0.25	0.75	0.186046511628	0.046511627907	1332.0	2.33333333333	32.0	0.0	0.001
Trichobilharzia_regenti	GAG	E	Q	0.0	0.768067226891	0.2	0.0588235294118	0.647058823529	0.755555555556	0.0444444444444	1324.0	1.35457271364	34.0	0.0	0.0
Versteria_mustelae	GAG	E	Q	0.0	0.728571428571	0.0909090909091	0.0454545454545	0.818181818182	0.578947368421	0.0263157894737	1328.0	1.62643678161	34.0	0.0	0.0
Haplorchis_taichui	GAG	E	Q	0.0	0.747899159664	0.222222222222	0.0666666666667	0.766666666667	0.75	0.05	1320.0	1.70178419711	34.0	0.0	0.0
Echinococcus_equinus	GAG	E	Q	0.0	0.614285714286	0.0909090909091	0.0322580645161	0.838709677419	0.794871794872	0.025641025641	1331.0	1.67378800329	34.0	0.0	0.0
Taenia_crassiceps	GAA	E	Q	0.0	0.727272727273	0.125	0.047619047619	0.809523809524	0.583333333333	0.0277777777778	1333.0	1.71065375303	32.0	0.0	0.0
Suberites_domuncula	GAA	E	Q	0.0	0.75	0.111111111111	0.047619047619	0.952380952381	0.5	0.0238095238095	1351.0	1.90651906519	32.0	0.0	0.0
Tetrancistrum_nebulosi	GAG	E	Q	0.0	0.235294117647	0.125	0.0555555555556	0.833333333333	0.45	0.025	1333.0	1.82065997131	34.0	0.0	0.0
Trichinella	GAA	E	Q	4.0	0.645161290323	0.125	0.0384615384615	0.807692307692	0.702702702703	0.027027027027	1343.0	1.69634025717	32.0	0.0	0.051
Benedenia_hoshinai	GAA	E	Q	0.0	0.323529411765	0.222222222222	0.0740740740741	0.740740740741	0.692307692308	0.0512820512821	1333.0	1.59389895138	32.0	0.0	0.0
Epigonichthys	GAA	E	Q	0.0	0.714285714286	0.111111111111	0.0416666666667	0.958333333333	0.571428571429	0.0238095238095	1351.0	1.94307196563	32.0	0.0	0.0
