### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
Schistosoma	AAT	N	T	0.0	0.541666666667	0.125	0.0454545454545	0.454545454545	0.916666666667	0.0416666666667	1325.0	-0.290738569754	1.0	0.0	0.0
Lumbricus	AAT	N	T	7.0	0.24358974359	0.125	0.0454545454545	0.818181818182	0.511627906977	0.0232558139535	1350.0	0.00819672131148	1.0	0.0	0.055
Terebratulina	AAC	N	T	7.0	0.662162162162	0.142857142857	0.04	0.96	0.675675675676	0.027027027027	1351.0	-0.00612870275792	3.0	0.0	0.051
Bfloridae	AAT	N	T	0.0	0.595238095238	0.2	0.0588235294118	0.941176470588	0.809523809524	0.047619047619	777.0	0.133823529412	1.0	0.0	0.003
Trichinella	AAC	N	T	0.0	0.321428571429	0.142857142857	0.08	0.64	0.595238095238	0.047619047619	1343.0	-0.209397344229	3.0	0.0	0.0
Myxine	AAC	N	T	0.0	0.694444444444	0.142857142857	0.0454545454545	0.954545454545	0.594594594595	0.027027027027	1350.0	0.0324825986079	3.0	0.0	0.0
Epigonichthys	AAT	N	T	0.0	0.236842105263	0.142857142857	0.0526315789474	0.894736842105	0.487179487179	0.025641025641	1351.0	-0.0311653116531	1.0	0.0	0.0
Caenorhabditis	AAT	N	T	0.0	0.538461538462	0.1	0.0294117647059	0.676470588235	0.944444444444	0.0277777777778	1346.0	-0.250569476082	1.0	0.0	0.0
Homo	AAC	N	T	1.0	0.605263157895	0.111111111111	0.0294117647059	0.852941176471	0.809523809524	0.0238095238095	1351.0	-0.0840210052513	3.0	0.0	0.0
Blanceolatum	AAC	N	T	0.0	0.142857142857	0.25	0.142857142857	0.714285714286	0.304347826087	0.0434782608696	775.0	0.135714285714	3.0	0.0	0.086
