### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
CsubhA	GAG	E	N	10.0	0.559322033898	0.1	0.0175438596491	0.894736842105	0.890625	0.015625	2244.0	0.0312862108922	34.0	0.0	0.051
CsubhB	GAG	E	N	10.0	0.559322033898	0.1	0.0175438596491	0.894736842105	0.890625	0.015625	2244.0	0.0312862108922	34.0	0.0	0.051
CviswA	GAA	E	N	0.0	0.654545454545	0.1	0.0263157894737	0.973684210526	0.690909090909	0.0181818181818	2249.0	0.140153755174	32.0	0.0	0.0
LstarA	GAG	E	N	3.0	0.0657894736842	0.25	0.2	0.8	0.113636363636	0.0227272727273	1834.0	1.10855949896	34.0	0.0	0.061
CsojaA	GAA	E	N	0.0	0.625	0.166666666667	0.037037037037	0.962962962963	0.75	0.0277777777778	1498.0	0.211723534558	32.0	0.0	0.0
HuvarA	GAA	E	N	0.0	0.557692307692	0.166666666667	0.037037037037	0.814814814815	0.870967741935	0.0322580645161	1361.0	-0.179340028694	32.0	0.0	0.0
CjiufA	GAA	E	N	0.0	0.575471698113	0.0909090909091	0.0208333333333	0.916666666667	0.857142857143	0.0178571428571	2231.0	0.10699881376	32.0	0.0	0.0
CzempA	GAA	E	N	0.0	0.0344018960396	0.166666666667	0.027027027027	0.702702702703	0.973684210526	0.0263157894737	1428.0	0.272751114608	32.0	0.0	0.0
CmetaB	GAA	E	N	0.0	0.542372881356	0.1	0.0178571428571	0.946428571429	0.903225806452	0.0161290322581	2250.0	0.097208274754	32.0	0.0	0.0
CmetaC	GAA	E	N	0.0	0.542372881356	0.1	0.0178571428571	0.946428571429	0.903225806452	0.0161290322581	2250.0	0.097208274754	32.0	0.0	0.0
CmetaA	GAA	E	N	0.0	0.542372881356	0.1	0.0178571428571	0.946428571429	0.903225806452	0.0161290322581	2250.0	0.097208274754	32.0	0.0	0.0
CmetaF	GAA	E	N	0.0	0.542372881356	0.1	0.0178571428571	0.946428571429	0.903225806452	0.0161290322581	2250.0	0.097208274754	32.0	0.0	0.0
CmetaD	GAA	E	N	0.0	0.542372881356	0.1	0.0178571428571	0.946428571429	0.903225806452	0.0161290322581	2250.0	0.097208274754	32.0	0.0	0.0
CmetaE	GAA	E	N	0.0	0.542372881356	0.1	0.0178571428571	0.946428571429	0.903225806452	0.0161290322581	2250.0	0.097208274754	32.0	0.0	0.0
PkluyA	GAA	E	N	0.0	0.542372881356	0.0909090909091	0.0169491525424	0.898305084746	0.921875	0.015625	2247.0	0.118663375736	32.0	0.0	0.0
CpseuA	GAA	E	N	0.0	0.666666666667	1.0	0.166666666667	0.5	0.75	0.125	434.0	0.440909090909	32.0	0.0	0.05
CbuenA	GAA	E	N	13.0	0.594827586207	0.1	0.0204081632653	0.938775510204	0.790322580645	0.0161290322581	2248.0	0.0759642521167	32.0	0.0	0.051
BcustA	GAA	E	N	0.0	0.0688284201072	0.0909090909091	0.016393442623	0.885245901639	1.0	0.016393442623	2247.0	0.0655949741316	32.0	0.0	0.0
CtheaA	GAA	E	N	0.0	0.559322033898	0.1	0.0181818181818	0.927272727273	0.887096774194	0.0161290322581	2250.0	0.0983939825168	32.0	0.0	0.0
