### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
Schistosoma	AGG	R	A	0.0	3.51119609933e-07	0.272727272727	0.130434782609	0.0	0.277108433735	0.0843373493976	1688.0	0.525073746313	10.0	1.0
Schistosoma	AGA	R	A	0.0	3.51119609933e-07	0.444444444444	0.181818181818	0.0	0.265060240964	0.0843373493976	1688.0	0.458658346334	8.0	1.0
Fasciola	AGG	R	A	0.0	0.00302419320035	0.285714285714	0.142857142857	0.0	0.237288135593	0.0338983050847	1701.0	0.248792270531	10.0	0.0
Lumbricus	AGA	R	A	0.0	0.00980391818378	0.111111111111	0.0625	0.0	0.228571428571	0.0142857142857	1781.0	0.653104925054	8.0	0.0
Halocynthia	AGG	R	A	0.0	3.61347931497e-07	0.333333333333	0.075	0.05	0.333333333333	0.0666666666667	1746.0	0.0808254514187	10.0	0.0
Halocynthia	AGA	R	A	0.0	3.61347931497e-07	0.3	0.138888888889	0.0277777777778	0.3	0.0666666666667	1746.0	0.178776290631	8.0	0.0
Limulus	AGA	R	A	0.0	0.000313283099858	0.25	0.133333333333	0.0	0.194805194805	0.025974025974	1781.0	0.625	8.0	0.0
Caenorhabditis	AGG	R	A	0.0	1.23280475598e-08	0.142857142857	0.0526315789474	0.0	0.165217391304	0.095652173913	1755.0	0.315884476534	10.0	0.0
Caenorhabditis	AGA	R	A	0.0	1.23280475598e-08	0.416666666667	0.149253731343	0.0149253731343	0.582608695652	0.095652173913	1755.0	0.399181166837	8.0	0.0
Terebratulina	AGG	R	A	0.0	0.000392156727351	0.5	0.4	0.0	0.0724637681159	0.0289855072464	1783.0	0.866666666667	10.0	0.0
Katharina	AGG	R	A	0.0	1.84689196555e-06	0.2	0.142857142857	0.0	0.0945945945946	0.0540540540541	1781.0	0.113861386139	10.0	0.0
Katharina	AGA	R	A	0.0	1.84689196555e-06	0.428571428571	0.157894736842	0.0	0.256756756757	0.0540540540541	1781.0	0.324909747292	8.0	0.0
Trichinella	CGA	R	A	0.0	0.00248764278026	0.111111111111	0.0384615384615	0.961538461538	0.282608695652	0.0434782608696	1759.0	-0.818424566088	56.0	0.0
Trichinella	AGA	R	A	0.0	0.00248764278026	0.375	0.075	0.0	0.434782608696	0.0434782608696	1759.0	0.23136915078	8.0	0.0
Balanoglossus	AGA	R	A	0.0	0.00909090595224	0.25	0.2	0.0	0.0847457627119	0.0169491525424	1784.0	0.613333333333	8.0	0.0
Drosophila	AGA	R	A	0.0	1.803751181e-05	0.222222222222	0.142857142857	0.0	0.283783783784	0.0405405405405	1783.0	0.287878787879	8.0	0.0
Ciona	AGA	R	A	0.0	3.57758962155e-08	0.454545454545	0.0816326530612	0.0102040816327	0.563218390805	0.0459770114943	1767.0	0.0738656348927	8.0	0.0
Daphnia	AGA	R	A	0.0	0.00032467521258	0.25	0.105263157895	0.0	0.260273972603	0.027397260274	1783.0	0.372222222222	8.0	0.0

### Alignment improvement:
AGG	Ala	4.19e-01
AGA	Ala	1.76e-02
