### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
Metaseiulus_occidentalis	AAT	N	S	0.0	0.702702702703	0.125	0.0333333333333	0.7	0.63829787234	0.0212765957447	1280.0	0.595217762596	1.0	0.0	0.0
Aphrocallistes_vastus	AAC	N	S	0.0	0.222222222222	0.125	0.05	0.75	0.47619047619	0.0238095238095	1349.0	0.948914431673	3.0	0.0	0.0
Schistosoma	AAC	N	S	0.0	0.0833333333333	0.5	0.5	0.5	0.0833333333333	0.0416666666667	1325.0	2.10526315789	3.0	0.0	0.041
Fasciola	AAT	N	S	0.0	0.588235294118	0.375	0.111111111111	0.481481481481	0.964285714286	0.107142857143	1332.0	0.668582375479	1.0	0.0	0.0
Trichobilharzia_regenti	AAT	N	S	0.0	0.125	0.285714285714	0.0909090909091	0.409090909091	0.916666666667	0.125	1324.0	0.580683156655	1.0	0.0	0.0
Trichobilharzia_regenti	AAC	N	S	0.0	0.125	1.0	0.5	0.0	0.0833333333333	0.125	1324.0	0.9375	3.0	0.0	0.088
Versteria_mustelae	AAT	N	S	0.0	1.41747884206e-06	0.5	0.166666666667	0.375	1.0	0.166666666667	1328.0	0.779332615716	1.0	0.0	0.289
Haplorchis_taichui	AAT	N	S	0.0	0.590909090909	0.2	0.0833333333333	0.666666666667	0.75	0.0625	1320.0	0.995689655172	1.0	0.0	0.0
Lumbricus	AAT	N	S	0.0	0.24358974359	0.125	0.0454545454545	0.818181818182	0.511627906977	0.0232558139535	1350.0	0.848946135831	1.0	0.0	0.0
Halocynthia	AAT	N	S	1.0	0.588068181818	0.222222222222	0.0645161290323	0.903225806452	0.911764705882	0.0588235294118	1348.0	0.909693454847	1.0	0.0	0.0
Echinococcus_equinus	AAT	N	S	0.0	2.00297609435e-07	0.428571428571	0.138888888889	0.416666666667	1.0	0.138888888889	1331.0	0.708154506438	1.0	0.0	0.189
Taenia_crassiceps	AAT	N	S	0.0	8.37761079953e-05	0.5	0.130434782609	0.434782608696	0.958333333333	0.125	1333.0	0.698985343856	1.0	0.0	0.218
Tetrancistrum_nebulosi	AAT	N	S	0.0	0.711538461538	0.375	0.166666666667	0.444444444444	0.9	0.15	1333.0	0.691428571429	1.0	0.0	0.0
Trichinella	AAT	N	S	0.0	0.203703703704	0.125	0.0588235294118	0.588235294118	0.404761904762	0.0238095238095	1343.0	0.489361702128	1.0	0.0	0.0
Pseudogarypus_banksi	AAT	N	S	0.0	0.770833333333	0.1	0.0344827586207	0.724137931034	0.674418604651	0.046511627907	1347.0	0.456965394854	1.0	0.0	0.0
Pseudogarypus_banksi	AAC	N	S	0.0	0.770833333333	0.333333333333	0.0714285714286	0.714285714286	0.325581395349	0.046511627907	1347.0	0.660583941606	3.0	0.0	0.0
Benedenia_hoshinai	AAT	N	S	0.0	0.583333333333	0.25	0.0833333333333	0.375	0.96	0.08	1333.0	0.244111349036	1.0	0.0	0.0
Ciona	AAT	N	S	0.0	0.641919247182	0.333333333333	0.0731707317073	0.780487804878	0.872340425532	0.063829787234	1348.0	0.946115288221	1.0	0.0	0.0
Ascidiella_aspersa	AAT	N	S	0.0	0.602941176471	0.125	0.0333333333333	0.866666666667	0.769230769231	0.025641025641	1350.0	0.799141630901	1.0	0.0	0.0
Saccoglossus	AAC	N	S	0.0	0.216216216216	0.142857142857	0.0625	0.9375	0.421052631579	0.0263157894737	1351.0	0.918918918919	3.0	0.0	0.0
