### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
Paracentrotus	ATT	I	G	0.0	0.524841731672	0.0833333333333	0.0281690140845	0.521126760563	0.446540880503	0.0125786163522	1926.0	-3.29681493685	5.0	0.0
Caenorhabditis	ATT	I	G	0.0	0.000384384648525	0.0833333333333	0.00862068965517	0.413793103448	0.585858585859	0.030303030303	1865.0	-3.18181818182	5.0	0.0
Caenorhabditis	ATA	I	G	0.0	0.000384384648525	0.333333333333	0.0735294117647	0.0882352941176	0.343434343434	0.030303030303	1865.0	-2.51724137931	4.0	0.0
Schistosoma	ATT	I	G	0.0	0.635220085714	0.0909090909091	0.0161290322581	0.322580645161	0.421768707483	0.0272108843537	1800.0	-3.00997195388	5.0	0.0
Schistosoma	ATA	I	G	0.0	0.635220085714	0.166666666667	0.04	0.36	0.510204081633	0.0272108843537	1800.0	-2.79843137255	4.0	0.0
Fasciola	ATT	I	G	0.0	0.374348032243	0.333333333333	0.0533333333333	0.346666666667	0.707547169811	0.0377358490566	1825.0	-2.49584199584	5.0	0.0
Dunaliella_salina	ATA	I	G	0.0	0.00544266865791	0.285714285714	0.142857142857	0.285714285714	0.152173913043	0.0217391304348	1392.0	-2.36187845304	4.0	0.0
Patiria	ATT	I	G	0.0	0.383116831553	0.1	0.0222222222222	0.488888888889	0.28125	0.00625	1926.0	-3.35946297098	5.0	0.0
Lumbricus	ATT	I	G	0.0	0.000407411182882	0.0833333333333	0.0113636363636	0.590909090909	0.433497536946	0.0344827586207	1920.0	-3.5008822232	5.0	0.0
Lumbricus	ATC	I	G	0.0	0.000407411182882	0.0909090909091	0.0238095238095	0.380952380952	0.206896551724	0.0344827586207	1920.0	-3.27800640146	7.0	0.0
Lumbricus	ATA	I	G	0.0	0.000407411182882	0.333333333333	0.0684931506849	0.0821917808219	0.35960591133	0.0344827586207	1920.0	-2.49827448898	4.0	0.0
Halocynthia	ATT	I	G	0.0	0.153988111645	0.0833333333333	0.0121951219512	0.5	0.594202898551	0.0217391304348	1893.0	-3.10961493031	5.0	0.0
Halocynthia	ATA	I	G	0.0	0.153988111645	0.2	0.0408163265306	0.204081632653	0.355072463768	0.0217391304348	1893.0	-2.95908028059	4.0	0.0
Limulus	ATT	I	G	0.0	0.932529753395	0.333333333333	0.045045045045	0.504504504505	0.484716157205	0.0349344978166	1919.0	-3.15752461322	5.0	0.0
Limulus	ATC	I	G	0.0	0.932529753395	0.25	0.046511627907	0.441860465116	0.187772925764	0.0349344978166	1919.0	-3.05430879713	7.0	0.0
Limulus	ATA	I	G	0.0	0.932529753395	0.0769230769231	0.0133333333333	0.133333333333	0.327510917031	0.0349344978166	1919.0	-3.03821989529	4.0	0.0
Polytoma_uvella	ATC	I	G	0.0	0.659574468085	0.142857142857	0.0153846153846	0.476923076923	0.792682926829	0.0121951219512	1394.0	-3.36584642751	7.0	0.0
Terebratulina	ATT	I	G	0.0	0.0491004917076	0.272727272727	0.0483870967742	0.451612903226	0.322916666667	0.0208333333333	1915.0	-3.20626550868	5.0	0.0
Terebratulina	ATA	I	G	0.0	0.0491004917076	0.0833333333333	0.0172413793103	0.0862068965517	0.302083333333	0.0208333333333	1915.0	-2.93743726999	4.0	0.0
Bfloridae	ATT	I	G	0.0	0.677419243466	0.125	0.0232558139535	0.441860465116	0.530864197531	0.0123456790123	1192.0	-3.21256038647	5.0	0.0
Katharina	ATT	I	G	0.0	0.0237558336699	0.0909090909091	0.00909090909091	0.590909090909	0.555555555556	0.0151515151515	1917.0	-3.38798672953	5.0	0.0
Katharina	ATA	I	G	0.0	0.0237558336699	0.1	0.0344827586207	0.120689655172	0.292929292929	0.0151515151515	1917.0	-2.8547595682	4.0	0.0
Chara_vulgaris	ATT	I	G	0.0	0.683205997496	0.0833333333333	0.0113636363636	0.931818181818	0.63309352518	0.00719424460432	1930.0	-3.6326754386	5.0	0.0
Acropora	ATT	I	G	0.0	0.725609661363	0.0909090909091	0.0153846153846	0.676923076923	0.537190082645	0.00826446280992	1926.0	-3.32644017725	5.0	0.0
Trichinella	ATT	I	G	0.0	0.676005303483	0.0769230769231	0.0161290322581	0.387096774194	0.298076923077	0.0144230769231	1883.0	-3.19155541757	5.0	0.0
Trichinella	ATC	I	G	0.0	0.676005303483	0.125	0.0166666666667	0.316666666667	0.288461538462	0.0144230769231	1883.0	-2.86130913804	7.0	0.0
Trichinella	ATA	I	G	0.0	0.676005303483	0.0833333333333	0.0116279069767	0.104651162791	0.413461538462	0.0144230769231	1883.0	-2.73747449558	4.0	0.0
Chromochloris_zofingiensis	ATT	I	G	0.0	0.562499848951	0.0909090909091	0.02	0.4	0.862068965517	0.0172413793103	1522.0	-3.08605919003	5.0	0.0
Balanoglossus	ATA	I	G	0.0	0.0735293863784	0.125	0.0625	0.5625	0.136752136752	0.00854700854701	1926.0	-3.09079903148	4.0	0.0
Drosophila	ATT	I	G	0.0	0.00768435913078	0.142857142857	0.0134228187919	0.510067114094	0.628691983122	0.0210970464135	1919.0	-3.32874220374	5.0	0.0
Drosophila	ATA	I	G	0.0	0.00768435913078	0.230769230769	0.0365853658537	0.0731707317073	0.345991561181	0.0210970464135	1919.0	-2.74420826367	4.0	0.0
Myxine	ATA	I	G	0.0	2.51155227734e-05	0.363636363636	0.0602409638554	0.0963855421687	0.364035087719	0.0219298245614	1919.0	-2.8538802144	4.0	0.0
Ciona	ATT	I	G	0.0	0.136043975923	0.25	0.0330578512397	0.429752066116	0.537777777778	0.0311111111111	1891.0	-3.0724025974	5.0	0.0
Ciona	ATA	I	G	0.0	0.136043975923	0.25	0.032967032967	0.0989010989011	0.404444444444	0.0311111111111	1891.0	-2.80348047538	4.0	0.0
Epigonichthys	ATT	I	G	0.0	0.370731208525	0.0909090909091	0.0128205128205	0.551282051282	0.4875	0.01875	1918.0	-3.36279419129	5.0	0.0
Epigonichthys	ATC	I	G	0.0	0.370731208525	0.25	0.0645161290323	0.645161290323	0.19375	0.01875	1918.0	-3.14807930607	7.0	0.0
Homo	ATT	I	G	0.0	0.00837551718871	0.0833333333333	0.0178571428571	0.535714285714	0.256880733945	0.0137614678899	1920.0	-3.45973847213	5.0	0.0
Homo	ATA	I	G	0.0	0.00837551718871	0.166666666667	0.0322580645161	0.145161290323	0.284403669725	0.0137614678899	1920.0	-2.94013096352	4.0	0.0
Blanceolatum	ATA	I	G	0.0	0.0555555363748	0.142857142857	0.04	0.08	0.320512820513	0.0128205128205	1187.0	-2.63338414634	4.0	0.0
Saccoglossus	ATA	I	G	0.0	0.0185042531548	0.2	0.0769230769231	0.512820512821	0.276595744681	0.0212765957447	1924.0	-2.87687687688	4.0	0.0

### Alignment improvement:
