### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
CgallA	GCA	A	H	0.0	0.280952316834	0.0769230769231	0.0172413793103	0.655172413793	0.367088607595	0.00632911392405	2247.0	-1.81865284974	44.0	0.0	0.0
CbohiA	GCT	A	H	0.0	0.635658788938	0.0769230769231	0.00925925925926	0.861111111111	0.739726027397	0.00684931506849	2250.0	-1.89679751029	45.0	0.0	0.0
CcastA	GCC	A	H	0.0	0.0259740170064	0.25	0.25	0.75	0.0416666666667	0.0104166666667	1428.0	-0.432367149758	47.0	0.0	0.0
CphanA	GCT	A	H	0.0	0.663551285709	0.0833333333333	0.00925925925926	0.657407407407	0.666666666667	0.00617283950617	2247.0	-1.89099810171	45.0	0.0	0.0
CglabA	GCA	A	H	0.0	0.23648641417	0.166666666667	0.027027027027	0.810810810811	0.415730337079	0.0112359550562	1413.0	-1.69406041987	44.0	0.0	0.0
ScryoA	GCT	A	H	0.0	0.74074065123	0.166666666667	0.0185185185185	0.5	0.5625	0.0104166666667	1424.0	-1.50604337007	45.0	0.0	0.0
MmagnB	GCC	A	H	0.0	0.510204035834	0.111111111111	0.0322580645161	0.806451612903	0.236641221374	0.00763358778626	2249.0	-1.75617977528	47.0	0.0	0.0
MmagnA	GCC	A	H	0.0	0.255101995017	0.111111111111	0.0322580645161	0.806451612903	0.236641221374	0.00763358778626	2249.0	-1.75617977528	47.0	0.0	0.0
MtetrA	GCC	A	H	0.0	0.779999924044	0.1	0.0166666666667	0.716666666667	0.44776119403	0.00746268656716	2248.0	-1.85577277757	47.0	0.0	0.0
YlipoB	GCT	A	H	0.0	0.700934476186	0.0833333333333	0.0102040816327	0.642857142857	0.6125	0.00625	2247.0	-1.87606837607	45.0	0.0	0.0
YlipoA	GCT	A	H	0.0	0.700934476186	0.0833333333333	0.0102040816327	0.642857142857	0.6125	0.00625	2247.0	-1.87606837607	45.0	0.0	0.0
NdelpA	GCA	A	H	0.0	0.256944370119	0.166666666667	0.0285714285714	0.857142857143	0.411764705882	0.0117647058824	1412.0	-1.81176791065	44.0	0.0	0.0
CalimA	GCA	A	H	0.0	0.216981086476	0.111111111111	0.0238095238095	0.642857142857	0.260869565217	0.00621118012422	2247.0	-1.73153197819	44.0	0.0	0.0
SoctoA	GCA	A	H	0.0	0.194444402886	0.2	0.0434782608696	0.521739130435	0.234693877551	0.0102040816327	1425.0	-1.52987551867	44.0	0.0	0.0
CdefoA	GCA	A	H	0.0	0.268867861015	0.0769230769231	0.016393442623	0.622950819672	0.38125	0.00625	2247.0	-1.84290780142	44.0	0.0	0.0
KmarxA	GCC	A	H	0.0	0.0499999827373	1.0	0.25	0.5	0.108108108108	0.027027027027	434.0	-0.476082004556	47.0	0.0	0.306
