### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
Schistosoma	AAA	K	D	0.0	0.0416666666667	0.142857142857	0.0909090909091	0.0909090909091	0.289473684211	0.0263157894737	1325.0	-0.0116822429907	0.0	0.0	0.385
Trichobilharzia_regenti	AAG	K	D	0.0	0.08	0.142857142857	0.0384615384615	0.846153846154	0.722222222222	0.0555555555556	1324.0	-0.814453125	2.0	0.0	0.0
Trichobilharzia_regenti	AAA	K	D	0.0	0.08	0.2	0.1	0.1	0.277777777778	0.0555555555556	1324.0	0.653846153846	0.0	0.0	0.385
Versteria_mustelae	AAG	K	D	0.0	0.0140808105552	0.125	0.0384615384615	0.846153846154	0.666666666667	0.025641025641	1328.0	-0.898238747554	2.0	0.0	0.0
Haplorchis_taichui	AAG	K	D	0.0	0.519230769231	0.125	0.0344827586207	0.827586206897	0.674418604651	0.0232558139535	1320.0	-0.879053461876	2.0	0.0	0.0
Halocynthia	AAA	K	D	0.0	0.211538461538	0.142857142857	0.0769230769231	0.769230769231	0.40625	0.03125	1348.0	-0.455621301775	0.0	0.0	0.21
Echinococcus_equinus	AAG	K	D	0.0	0.0140808105552	0.125	0.037037037037	0.814814814815	0.931034482759	0.0344827586207	1331.0	-0.878531073446	2.0	0.0	0.0
Taenia_crassiceps	AAG	K	D	0.0	0.520833333333	0.142857142857	0.04	0.88	0.657894736842	0.0263157894737	1333.0	-0.834349593496	2.0	0.0	0.0
Tetrancistrum_nebulosi	AAG	K	D	0.0	0.0159027607626	0.125	0.0333333333333	0.833333333333	0.714285714286	0.0238095238095	1333.0	-0.898377455167	2.0	0.0	0.0
Trichinella	AAA	K	D	0.0	0.732142857143	0.2	0.0588235294118	0.823529411765	0.515151515152	0.030303030303	1343.0	-0.76992481203	0.0	0.0	0.21
Benedenia_hoshinai	AAG	K	D	0.0	0.0740740740741	0.125	0.0344827586207	0.827586206897	0.674418604651	0.046511627907	1333.0	-1.03415061296	2.0	0.0	0.0
Benedenia_hoshinai	AAA	K	D	0.0	0.0740740740741	0.111111111111	0.0714285714286	0.0714285714286	0.325581395349	0.046511627907	1333.0	0.0491803278689	0.0	0.0	0.385
