### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
Paracentrotus	ATT	I	M	0.0	0.350632884406	0.0833333333333	0.0140845070423	0.521126760563	0.446540880503	0.0125786163522	1926.0	0.914881933004	5.0	0.0
Paracentrotus	ATC	I	M	0.0	0.350632884406	0.125	0.0454545454545	0.545454545455	0.138364779874	0.0125786163522	1926.0	0.981958762887	7.0	0.0
Caenorhabditis	ATT	I	M	0.0	1.61696608173e-05	0.333333333333	0.0431034482759	0.413793103448	0.585858585859	0.0808080808081	1865.0	0.81430976431	5.0	0.0
Caenorhabditis	ATA	I	M	0.0	1.61696608173e-05	0.583333333333	0.161764705882	0.0882352941176	0.343434343434	0.0808080808081	1865.0	0.989542114189	4.0	0.0
Schistosoma	ATT	I	M	0.0	0.872326999946	0.181818181818	0.0322580645161	0.322580645161	0.421768707483	0.0272108843537	1800.0	0.678092863821	5.0	0.0
Schistosoma	ATA	I	M	0.0	0.872326999946	0.166666666667	0.0266666666667	0.36	0.510204081633	0.0272108843537	1800.0	0.536470588235	4.0	0.0
Fasciola	ATT	I	M	0.0	0.374348032243	0.25	0.0533333333333	0.346666666667	0.707547169811	0.0377358490566	1825.0	0.443866943867	5.0	0.0
Patiria	ATT	I	M	0.0	0.777918493587	0.2	0.0444444444444	0.488888888889	0.28125	0.03125	1926.0	1.06106539628	5.0	0.0
Patiria	ATC	I	M	0.0	0.777918493587	0.1	0.0294117647059	0.529411764706	0.2125	0.03125	1926.0	0.992592592593	7.0	0.0
Patiria	ATA	I	M	0.0	0.777918493587	0.166666666667	0.0246913580247	0.444444444444	0.50625	0.03125	1926.0	0.984382394699	4.0	0.0
Mesostigma_viride	ATT	I	M	0.0	0.609090774128	0.0909090909091	0.00934579439252	0.794392523364	0.769784172662	0.00719424460432	1873.0	1.03450134771	5.0	0.0
Pseudendoclonium_akinetum	ATT	I	M	0.0	0.837828891378	0.0909090909091	0.0126582278481	0.632911392405	0.552447552448	0.013986013986	1930.0	1.00783737448	5.0	0.0
Pseudendoclonium_akinetum	ATA	I	M	0.0	0.837828891378	0.0833333333333	0.0238095238095	0.666666666667	0.293706293706	0.013986013986	1930.0	1.0908261068	4.0	0.0
Lumbricus	ATC	I	M	0.0	1.33216139491e-13	0.0909090909091	0.0238095238095	0.380952380952	0.206896551724	0.0935960591133	1920.0	0.996342021033	7.0	0.0
Lumbricus	ATA	I	M	0.0	1.33216139491e-13	0.583333333333	0.246575342466	0.0821917808219	0.35960591133	0.0935960591133	1920.0	1.13273161667	4.0	1.0
Halocynthia	ATT	I	M	0.0	0.000225177116158	0.25	0.0365853658537	0.5	0.594202898551	0.101449275362	1893.0	0.774155445311	5.0	0.0
Halocynthia	ATC	I	M	0.0	0.000225177116158	0.2	0.142857142857	0.714285714286	0.0507246376812	0.101449275362	1893.0	1.2735042735	7.0	0.0
Halocynthia	ATA	I	M	0.0	0.000225177116158	0.5	0.204081632653	0.204081632653	0.355072463768	0.101449275362	1893.0	1.33476227592	4.0	0.0
Limulus	ATT	I	M	0.0	2.06270425434e-14	0.0833333333333	0.00900900900901	0.504504504505	0.484716157205	0.10480349345	1919.0	0.862517580872	5.0	0.0
Limulus	ATA	I	M	0.0	2.06270425434e-14	0.461538461538	0.306666666667	0.133333333333	0.327510917031	0.10480349345	1919.0	1.6664921466	4.0	1.0
Pycnococcus_provasolii	ATA	I	M	0.0	1.5018266071e-15	0.777777777778	0.619047619048	0.047619047619	0.16935483871	0.104838709677	1930.0	2.55585831063	4.0	1.0
Axinella	ATA	I	M	0.0	0.516896904655	0.0909090909091	0.031746031746	0.698412698413	0.434482758621	0.0137931034483	1924.0	1.10030674847	4.0	0.0
Terebratulina	ATC	I	M	0.0	2.39983213828e-15	0.0833333333333	0.0138888888889	0.458333333333	0.375	0.125	1915.0	0.852534562212	7.0	0.0
Terebratulina	ATA	I	M	0.0	2.39983213828e-15	0.666666666667	0.396551724138	0.0862068965517	0.302083333333	0.125	1915.0	1.92740046838	4.0	1.0
Bfloridae	ATA	I	M	0.0	6.60484330245e-06	0.666666666667	0.25	0.107142857143	0.345679012346	0.0864197530864	1192.0	1.43062200957	4.0	0.0
Katharina	ATA	I	M	0.0	9.21306576482e-15	0.6	0.310344827586	0.120689655172	0.292929292929	0.0909090909091	1917.0	1.6404972195	4.0	1.0
Geodia	ATT	I	M	0.0	0.739361612141	0.0833333333333	0.0151515151515	0.727272727273	0.464788732394	0.00704225352113	1925.0	0.982583454282	5.0	0.0
Metridium	ATT	I	M	0.0	0.668604536747	0.0833333333333	0.012987012987	0.727272727273	0.620967741935	0.00806451612903	1928.0	1.07142857143	5.0	0.0
Acropora	ATT	I	M	0.0	0.725609661363	0.0909090909091	0.0153846153846	0.676923076923	0.537190082645	0.00826446280992	1926.0	0.907237813885	5.0	0.0
Trichinella	ATT	I	M	0.0	6.15420948205e-08	0.153846153846	0.0322580645161	0.387096774194	0.298076923077	0.0913461538462	1883.0	0.918037876436	5.0	0.0
Trichinella	ATA	I	M	0.0	6.15420948205e-08	0.25	0.197674418605	0.104651162791	0.413461538462	0.0913461538462	1883.0	1.08093402856	4.0	1.0
Bracteacoccus_minor	ATC	I	M	0.0	0.172413793103	0.111111111111	0.0625	0.5625	0.363636363636	0.0227272727273	1686.0	1.16069221261	7.0	0.0
Drosophila	ATT	I	M	0.0	6.68671458898e-16	0.214285714286	0.0268456375839	0.510067114094	0.628691983122	0.122362869198	1919.0	0.960498960499	5.0	0.0
Drosophila	ATA	I	M	0.0	6.68671458898e-16	0.538461538462	0.30487804878	0.0731707317073	0.345991561181	0.122362869198	1919.0	1.55863386673	4.0	1.0
Myxine	ATC	I	M	0.0	2.14801983358e-15	0.0909090909091	0.0138888888889	0.444444444444	0.315789473684	0.105263157895	1919.0	1.05691721133	7.0	1.0
Myxine	ATA	I	M	0.0	2.14801983358e-15	0.545454545455	0.277108433735	0.0963855421687	0.364035087719	0.105263157895	1919.0	1.58331391284	4.0	1.0
