### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
SpombA	ATT	I	T	0.0	0.254649336635	0.142857142857	0.0119047619048	0.642857142857	0.579310344828	0.0206896551724	1424.0	-0.83904109589	5.0	0.0	0.0
SpombA	ATC	I	T	0.0	0.254649336635	0.166666666667	0.03125	0.46875	0.220689655172	0.0206896551724	1424.0	-0.512187782125	7.0	0.0	0.0
SpombA	ATA	I	T	0.0	0.254649336635	0.166666666667	0.0344827586207	0.586206896552	0.2	0.0206896551724	1424.0	-0.750902527076	4.0	0.0	0.243
WmucoA	ATT	I	T	0.0	0.243561567759	0.0769230769231	0.0174418604651	0.813953488372	0.696356275304	0.0202429149798	2246.0	-0.837765788639	5.0	0.0	0.0
WmucoA	ATA	I	T	0.0	0.243561567759	0.333333333333	0.047619047619	0.642857142857	0.17004048583	0.0202429149798	2246.0	-0.612804878049	4.0	0.0	0.191
CgallA	ATA	I	T	0.0	0.274980132625	0.153846153846	0.0227272727273	0.738636363636	0.415094339623	0.00943396226415	2247.0	-0.762259858443	4.0	0.0	0.201
CgigaA	ATT	I	T	0.0	0.0760233696035	0.111111111111	0.0454545454545	0.954545454545	0.122905027933	0.00558659217877	2002.0	-0.71012345679	5.0	0.0	0.0
CsantA	ATT	I	T	0.0	0.0236801919404	0.181818181818	0.0526315789474	0.684210526316	0.142857142857	0.0225563909774	2220.0	-0.646093037397	5.0	0.0	0.0
CsantA	ATC	I	T	0.0	0.0236801919404	0.25	0.2	0.6	0.0187969924812	0.0225563909774	2220.0	0.162886597938	7.0	0.0	0.002
CsantA	ATA	I	T	0.0	0.0236801919404	0.153846153846	0.0134529147982	0.650224215247	0.838345864662	0.0225563909774	2220.0	-0.804970846922	4.0	0.0	0.06
CtropB	ATT	I	T	0.0	0.242009083549	0.0833333333333	0.0149253731343	0.910447761194	0.292576419214	0.00436681222707	2250.0	-0.835809225958	5.0	0.0	0.0
CtropA	ATT	I	T	0.0	0.244292186207	0.0769230769231	0.0142857142857	0.914285714286	0.305676855895	0.00436681222707	2250.0	-0.829192084511	5.0	0.0	0.0
BarxA	ATA	I	T	0.0	0.620689655172	1.0	0.0344827586207	0.724137931034	0.725	0.025	434.0	-0.741054613936	4.0	0.0	0.222
CsubhA	ATA	I	T	0.0	0.0898876152343	0.0909090909091	0.0333333333333	0.833333333333	0.148514851485	0.0049504950495	2244.0	-0.667937476172	4.0	0.0	0.177
CsubhB	ATA	I	T	0.0	0.0898876152343	0.0909090909091	0.0333333333333	0.833333333333	0.148514851485	0.0049504950495	2244.0	-0.667937476172	4.0	0.0	0.177
OanguA	ATT	I	T	0.0	0.807668874825	0.230769230769	0.0176470588235	0.741176470588	0.708333333333	0.0125	2248.0	-0.798264223722	5.0	0.0	0.0
CalaiA	ATA	I	T	1.0	0.689743482626	0.0909090909091	0.00729927007299	0.875912408759	0.603524229075	0.00440528634361	2056.0	-0.837353324641	4.0	0.0	0.199
CnorvA	ATA	I	T	0.0	0.23760439601	0.230769230769	0.0268817204301	0.795698924731	0.732283464567	0.0196850393701	2249.0	-0.751948758233	4.0	0.0	0.236
CviswA	ATT	I	T	0.0	0.253333276558	0.0769230769231	0.0121951219512	0.890243902439	0.334693877551	0.00408163265306	2249.0	-0.834570795884	5.0	0.0	0.0
CtetrA	ATA	I	T	0.0	0.782110016516	0.0769230769231	0.00943396226415	0.88679245283	0.447257383966	0.0042194092827	2249.0	-0.816599190283	4.0	0.0	0.199
CbohiA	ATA	I	T	0.0	0.724056508503	0.0769230769231	0.0077519379845	0.899224806202	0.556034482759	0.00431034482759	2250.0	-0.84079979752	4.0	0.0	0.199
MfariB	ATA	I	T	0.0	0.716346055914	0.0769230769231	0.00751879699248	0.87969924812	0.578260869565	0.00434782608696	2250.0	-0.858785996138	4.0	0.0	0.199
CphanA	ATT	I	T	0.0	0.184875998419	0.166666666667	0.025641025641	0.769230769231	0.357798165138	0.00917431192661	2247.0	-0.804347826087	5.0	0.0	0.0
ScryoA	ATT	I	T	0.0	0.694211991132	0.285714285714	0.027027027027	0.63963963964	0.816176470588	0.0220588235294	1424.0	-0.821243074792	5.0	0.0	0.0
CneerA	ATC	I	T	0.0	0.0913241693832	0.1	0.0217391304348	0.847826086957	0.189300411523	0.00411522633745	2249.0	-0.74707052841	7.0	0.0	0.0
CsakeA	ATA	I	T	0.0	0.662679309376	0.0833333333333	0.00641025641026	0.897435897436	0.678260869565	0.00434782608696	2207.0	-0.872278463459	4.0	0.0	0.199
CjiufA	ATT	I	T	0.0	0.319529934882	0.0769230769231	0.00793650793651	0.936507936508	0.540772532189	0.00858369098712	2231.0	-0.865873631583	5.0	0.0	0.0
CjiufA	ATA	I	T	0.0	0.319529934882	0.0909090909091	0.0208333333333	0.916666666667	0.206008583691	0.00858369098712	2231.0	-0.811724641207	4.0	0.0	0.153
CzempA	ATT	I	T	0.0	0.495822055561	0.333333333333	0.027027027027	0.554054054054	0.432748538012	0.0175438596491	1428.0	-0.67715511637	5.0	0.0	0.0
CzempA	ATA	I	T	0.0	0.495822055561	0.142857142857	0.010989010989	0.626373626374	0.53216374269	0.0175438596491	1428.0	-0.728783068783	4.0	0.0	0.251
CfrijA	ATA	I	T	0.0	0.72954536117	0.0769230769231	0.00724637681159	0.855072463768	0.552	0.004	2249.0	-0.812093628088	4.0	0.0	0.199
PpastA	ATA	I	T	0.0	0.682584160074	0.0769230769231	0.00714285714286	0.8	0.648148148148	0.00462962962963	2248.0	-0.844864533905	4.0	0.0	0.199
SjapoA	ATT	I	T	0.0	0.896673410337	0.428571428571	0.0288461538462	0.605769230769	0.654088050314	0.0251572327044	1423.0	-0.726616040007	5.0	0.0	0.0
SjapoA	ATC	I	T	0.0	0.896673410337	0.142857142857	0.0333333333333	0.533333333333	0.188679245283	0.0251572327044	1423.0	-0.725465041693	7.0	0.0	0.0
CalbiE	ATA	I	T	0.0	0.758620606318	0.166666666667	0.0169491525424	0.932203389831	0.475806451613	0.00806451612903	1183.0	-0.811505507956	4.0	0.0	0.25
CalbiD	ATA	I	T	0.0	0.769417396119	0.0909090909091	0.01	0.94	0.462962962963	0.00462962962963	2058.0	-0.83999553372	4.0	0.0	0.199
