### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
CgigaA	CGA	R	E	0.0	0.102040809281	1.0	0.5	0.5	0.04	0.02	2002.0	1.42272727273	56.0	0.0	0.09
CsubhA	CGT	R	E	0.0	0.188679212712	0.142857142857	0.0909090909091	0.818181818182	0.186440677966	0.0169491525424	2244.0	0.27731092437	57.0	0.0	0.0
CsubhB	CGT	R	E	0.0	0.188679212712	0.142857142857	0.0909090909091	0.818181818182	0.186440677966	0.0169491525424	2244.0	0.27731092437	57.0	0.0	0.0
CblacA	CGT	R	E	0.0	0.25	1.0	0.2	0.8	0.5	0.1	434.0	0.578181818182	57.0	0.0	0.053
CtetrA	AGA	R	E	7.0	0.749999913686	0.1	0.0357142857143	0.928571428571	0.5	0.0178571428571	2249.0	0.139817629179	8.0	0.0	0.058
CbohiA	CGT	R	E	0.0	0.622641379149	0.1	0.0238095238095	0.928571428571	0.75	0.0178571428571	2250.0	0.113659793814	57.0	0.0	0.0
MfariA	CGT	R	E	0.0	0.150943396226	0.125	0.0625	0.9375	0.301886792453	0.0188679245283	2248.0	0.218109715796	57.0	0.0	0.0
MfariB	AGA	R	E	0.0	0.64814802667	0.0909090909091	0.0263157894737	0.973684210526	0.690909090909	0.0181818181818	2250.0	0.0922809053976	8.0	0.0	0.001
CsakeA	CGT	R	E	0.0	0.148148103393	0.125	0.0714285714286	0.928571428571	0.259259259259	0.0185185185185	2207.0	0.265274555298	57.0	0.0	0.0
CcoryA	CGT	R	E	0.0	0.583333189477	0.0909090909091	0.0208333333333	0.916666666667	0.842105263158	0.0175438596491	2250.0	0.126110124334	57.0	0.0	0.0
CchauA	CGT	R	E	1.0	0.657407289126	0.0909090909091	0.025	0.9	0.701754385965	0.0175438596491	2250.0	0.152378392905	57.0	0.0	0.0
CbuenA	AGA	R	E	0.0	0.712962962963	0.1	0.03125	0.9375	0.581818181818	0.0181818181818	2248.0	0.143870314083	8.0	0.0	0.001
MguilA	CGT	R	E	0.0	0.148148148148	0.142857142857	0.0625	0.9375	0.296296296296	0.0185185185185	2250.0	0.219205298013	57.0	0.0	0.0
DhansA	CGT	R	E	0.0	0.148148148148	0.142857142857	0.0625	0.9375	0.290909090909	0.0181818181818	2250.0	0.219205298013	57.0	0.0	0.0
