### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
SpombA	TGG	W	L	0.0	0.000294451894782	0.4	0.0645161290323	0.838709677419	1.0	0.0645161290323	1424.0	-1.51186440678	26.0	0.0	0.069
CsantA	TGA	W	L	0.0	0.160570824524	0.285714285714	0.111111111111	0.888888888889	0.6	0.0666666666667	2220.0	-1.40675990676	24.0	0.0	0.0
CsubhA	TGA	W	L	0.0	0.66038647343	0.222222222222	0.0526315789474	0.947368421053	0.808510638298	0.0425531914894	2244.0	-1.71380846325	24.0	0.0	0.0
CsubhB	TGA	W	L	0.0	0.66038647343	0.222222222222	0.0526315789474	0.947368421053	0.808510638298	0.0425531914894	2244.0	-1.71380846325	24.0	0.0	0.0
MstarA	TGA	W	L	0.0	0.000763466153558	0.222222222222	0.0416666666667	0.895833333333	1.0	0.0416666666667	2249.0	-1.70400359874	24.0	0.0	0.013
LstarA	TGG	W	L	0.0	0.0323871105419	0.142857142857	0.027027027027	0.972972972973	1.0	0.027027027027	1834.0	-1.82111944605	26.0	0.0	0.0
MfariA	TGA	W	L	0.0	0.511111111111	0.111111111111	0.0227272727273	0.977272727273	0.977777777778	0.0222222222222	2248.0	-1.77515078408	24.0	0.0	0.0
ScryoA	TGG	W	L	0.0	0.000294451894782	0.4	0.0666666666667	0.866666666667	1.0	0.0666666666667	1424.0	-1.52950558214	26.0	0.0	0.065
CsakeA	TGA	W	L	0.0	0.0401051388748	0.111111111111	0.0217391304348	0.978260869565	1.0	0.0217391304348	2207.0	-1.78636989445	24.0	0.0	0.0
HuvarA	TGA	W	L	0.0	0.000253466259856	0.5	0.0666666666667	0.8	1.0	0.0666666666667	1361.0	-1.443378119	24.0	0.0	0.106
CzempA	TGA	W	L	0.0	0.000294451894782	0.4	0.0645161290323	0.838709677419	1.0	0.0645161290323	1428.0	-1.41646039604	24.0	0.0	0.069
SjapoA	TGG	W	L	0.0	0.000316075981222	0.5	0.0645161290323	0.870967741935	1.0	0.0645161290323	1423.0	-1.51617873652	26.0	0.0	0.064
MmagnB	TGA	W	L	0.0	0.00072996580379	0.222222222222	0.0444444444444	0.933333333333	1.0	0.0444444444444	2249.0	-1.71880239521	24.0	0.0	0.012
MmagnA	TGA	W	L	0.0	0.00072996580379	0.222222222222	0.0444444444444	0.933333333333	1.0	0.0444444444444	2249.0	-1.71880239521	24.0	0.0	0.012
MtetrA	TGA	W	L	0.0	0.214285714286	0.111111111111	0.0277777777778	0.888888888889	0.8	0.0444444444444	2248.0	-1.79602420052	24.0	0.0	0.0
MtetrA	TGG	W	L	0.0	0.214285714286	0.166666666667	0.111111111111	0.888888888889	0.2	0.0444444444444	2248.0	-1.36789772727	26.0	0.0	0.0
PcanaA	TGA	W	L	0.0	0.0383953589859	0.111111111111	0.0212765957447	0.914893617021	1.0	0.0212765957447	2250.0	-1.8559168925	24.0	0.0	0.0
LelonA	TGA	W	L	0.0	0.000832658222027	0.222222222222	0.0425531914894	0.957446808511	1.0	0.0425531914894	2249.0	-1.73568680697	24.0	0.0	0.015
SoctoA	TGG	W	L	0.0	0.000294451894782	0.4	0.0666666666667	0.866666666667	1.0	0.0666666666667	1425.0	-1.52950558214	26.0	0.0	0.065
ClusiA	TGA	W	L	0.0	0.0401051388748	0.111111111111	0.0217391304348	0.978260869565	1.0	0.0217391304348	2250.0	-1.78636989445	24.0	0.0	0.0
MguilA	TGA	W	L	0.0	0.510869565217	0.111111111111	0.0222222222222	0.977777777778	0.978260869565	0.0217391304348	2250.0	-1.78201506591	24.0	0.0	0.0
DhansA	TGA	W	L	0.0	0.0392506292775	0.111111111111	0.0222222222222	0.977777777778	1.0	0.0222222222222	2250.0	-1.80225457961	24.0	0.0	0.0
CsalmA	TGA	W	L	0.0	0.545454545455	0.375	0.0888888888889	0.866666666667	0.978260869565	0.0869565217391	2153.0	-1.42799905727	24.0	0.0	0.0
MingeA	TGA	W	L	0.0	0.0375393273226	0.111111111111	0.0217391304348	0.913043478261	1.0	0.0217391304348	2249.0	-1.79768649669	24.0	0.0	0.0
