### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction	probability
Paracentrotus	ATG	M	L	0.0	3.46946439937e-07	0.75	0.294117647059	0.470588235294	1.0	0.294117647059	979.0	2.37215189873	6.0	0.0	0.161
Schistosoma	ATG	M	L	0.0	4.67364032143e-06	0.6	0.16	0.24	1.0	0.16	842.0	1.21392190153	6.0	0.0	0.273
Fasciola	ATG	M	L	1.0	3.14718536799e-09	1.0	0.214285714286	0.214285714286	1.0	0.214285714286	878.0	1.27701674277	6.0	0.0	0.389
Patiria	ATG	M	L	0.0	1.07995842712e-05	0.5	0.235294117647	0.470588235294	1.0	0.235294117647	979.0	2.30886075949	6.0	0.0	0.152
Halocynthia	ATG	M	L	0.0	0.000214225868575	0.75	0.230769230769	0.538461538462	1.0	0.230769230769	963.0	2.3	6.0	0.0	0.223
Caenorhabditis	ATG	M	L	0.0	0.000907062678744	0.333333333333	0.222222222222	0.222222222222	1.0	0.222222222222	959.0	0.766355140187	6.0	0.0	0.216
Axinella	ATG	M	L	0.0	0.00647401918028	0.2	0.117647058824	0.470588235294	1.0	0.117647058824	977.0	1.54408060453	6.0	0.0	0.151
Terebratulina	ATG	M	L	0.0	0.00149930206801	0.666666666667	0.333333333333	0.5	1.0	0.333333333333	977.0	2.34042553191	6.0	0.0	0.175
Katharina	ATG	M	L	0.0	0.0836228406496	0.5	0.142857142857	0.857142857143	1.0	0.142857142857	976.0	2.17391304348	6.0	0.0	0.12
Geodia	ATG	M	L	0.0	0.106204159984	0.2	0.0714285714286	0.571428571429	1.0	0.0714285714286	979.0	1.65749235474	6.0	0.0	0.044
Metridium	ATG	M	L	0.0	0.000291833707018	0.666666666667	0.176470588235	0.470588235294	1.0	0.176470588235	979.0	2.01246882793	6.0	0.0	0.179
Acropora	ATG	M	L	0.0	0.000291833707018	0.5	0.1875	0.5	1.0	0.1875	978.0	2.17426273458	6.0	0.0	0.173
Trichinella	ATG	M	L	1.0	2.22044604925e-16	1.0	1.0	0.0	1.0	1.0	866.0	3.73913043478	6.0	0.0	0.411
Balanoglossus	ATG	M	L	0.0	0.106204159984	0.333333333333	0.0666666666667	0.533333333333	1.0	0.0666666666667	978.0	2.14942528736	6.0	0.0	0.048
Myxine	ATG	M	L	0.0	2.22044604925e-16	1.0	1.0	0.0	1.0	1.0	979.0	3.0	6.0	0.0	0.409
Ciona	ATG	M	L	0.0	0.0604710152104	0.333333333333	0.2	0.8	1.0	0.2	958.0	2.17948717949	6.0	0.0	0.126
Saccoglossus	ATG	M	L	0.0	0.106204159984	0.333333333333	0.0714285714286	0.571428571429	1.0	0.0714285714286	978.0	2.17431192661	6.0	0.0	0.044
Daphnia	ATG	M	L	0.0	0.0836228406496	0.25	0.125	0.75	1.0	0.125	979.0	2.19251336898	6.0	0.0	0.112
Homo	ATG	M	L	0.0	0.0367342701061	0.333333333333	0.25	0.5	1.0	0.25	978.0	2.24731182796	6.0	0.0	0.155
Blanceolatum	ATG	M	L	0.0	2.22044604925e-16	1.0	0.333333333333	0.0	1.0	0.333333333333	321.0	1.8	6.0	0.0	0.401
