### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
Paracentrotus	TAC	Y	F	0.0	0.164089312794	0.181818181818	0.075	0.9	0.56338028169	0.0422535211268	1784.0	2.92979452055	19.0	0.0
Andalucia	TAT	Y	F	0.0	0.337668320434	0.727272727273	0.166666666667	0.736111111111	0.827586206897	0.149425287356	1783.0	2.94312796209	17.0	0.0
Andalucia	TAC	Y	F	0.0	0.337668320434	0.111111111111	0.0666666666667	0.866666666667	0.172413793103	0.149425287356	1783.0	2.67126436782	19.0	0.0
Seculomonas	TAT	Y	F	0.0	0.435656601095	0.75	0.166666666667	0.716666666667	0.681818181818	0.147727272727	1784.0	2.86647727273	17.0	0.0
Seculomonas	TAC	Y	F	0.0	0.435656601095	0.333333333333	0.107142857143	0.857142857143	0.318181818182	0.147727272727	1784.0	3.07749077491	19.0	0.0
Schistosoma	TAT	Y	F	0.0	0.781752745394	0.636363636364	0.14	0.41	0.925925925926	0.138888888889	1688.0	1.7830705963	17.0	0.0
Schistosoma	TAC	Y	F	0.0	0.781752745394	0.142857142857	0.125	0.375	0.0740740740741	0.138888888889	1688.0	0.748917748918	19.0	0.0
Fasciola	TAT	Y	F	1.0	0.286720512442	0.545454545455	0.126582278481	0.430379746835	0.877777777778	0.144444444444	1701.0	1.60527453524	17.0	0.0
Fasciola	TAC	Y	F	1.0	0.286720512442	0.6	0.272727272727	0.454545454545	0.122222222222	0.144444444444	1701.0	2.50788643533	19.0	0.0
Patiria	TAT	Y	F	0.0	0.794961842372	0.111111111111	0.0454545454545	0.954545454545	0.31884057971	0.0579710144928	1784.0	2.89628482972	17.0	0.0
Patiria	TAC	Y	F	0.0	0.794961842372	0.272727272727	0.063829787234	0.914893617021	0.68115942029	0.0579710144928	1784.0	3.1264619883	19.0	0.0
Lumbricus	TAC	Y	F	0.0	0.115617715618	0.2	0.0540540540541	0.810810810811	0.513888888889	0.0277777777778	1781.0	2.74884579871	19.0	0.0
Halocynthia	TAT	Y	F	0.0	0.669675908438	0.583333333333	0.102564102564	0.666666666667	0.917647058824	0.0941176470588	1746.0	2.37604949183	17.0	0.0
Limulus	TAT	Y	F	0.0	0.0504210332363	0.5	0.125	0.791666666667	0.64	0.08	1781.0	2.82406755806	17.0	0.0
Caenorhabditis	TAT	Y	F	0.0	0.722662033983	0.4	0.0675675675676	0.608108108108	0.925	0.0625	1755.0	2.01994434137	17.0	0.0
Axinella	TAT	Y	F	0.0	0.475439806758	0.454545454545	0.0958904109589	0.849315068493	0.858823529412	0.105882352941	1777.0	2.91249415068	17.0	0.0
Axinella	TAC	Y	F	0.0	0.475439806758	0.285714285714	0.166666666667	0.75	0.141176470588	0.105882352941	1777.0	2.77586206897	19.0	0.0
Terebratulina	TAT	Y	F	0.0	0.327344605993	0.3	0.148148148148	0.851851851852	0.364864864865	0.0945945945946	1783.0	3.2487244898	17.0	0.0
Terebratulina	TAC	Y	F	0.0	0.327344605993	0.3	0.063829787234	0.787234042553	0.635135135135	0.0945945945946	1783.0	2.6915820029	19.0	0.0
Jbahamiensis	TAT	Y	F	0.0	0.334542221553	0.818181818182	0.189189189189	0.756756756757	0.831460674157	0.168539325843	1784.0	3.11647331787	17.0	0.0
Jbahamiensis	TAC	Y	F	0.0	0.334542221553	0.2	0.0666666666667	0.733333333333	0.168539325843	0.168539325843	1784.0	2.66891891892	19.0	0.0
Bfloridae	TAT	Y	F	0.0	0.775889328063	0.25	0.0666666666667	0.866666666667	0.612244897959	0.0612244897959	1085.0	2.89321468298	17.0	0.0
Bfloridae	TAC	Y	F	0.0	0.775889328063	0.125	0.0526315789474	0.894736842105	0.387755102041	0.0612244897959	1085.0	2.9012345679	19.0	0.0
Katharina	TAT	Y	F	0.0	0.469047195123	0.3	0.0576923076923	0.865384615385	0.702702702703	0.0675675675676	1781.0	2.74917709019	17.0	0.0
Katharina	TAC	Y	F	0.0	0.469047195123	0.2	0.0909090909091	0.818181818182	0.297297297297	0.0675675675676	1781.0	2.80930232558	19.0	0.0
Geodia	TAT	Y	F	0.0	0.423617033295	0.545454545455	0.128205128205	0.794871794872	0.906976744186	0.116279069767	1780.0	2.96894138233	17.0	0.0
Metridium	TAT	Y	F	1.0	0.855229044989	0.363636363636	0.107142857143	0.839285714286	0.682926829268	0.109756097561	1783.0	3.03904820012	17.0	0.0
Metridium	TAC	Y	F	1.0	0.855229044989	0.3	0.115384615385	0.846153846154	0.317073170732	0.109756097561	1783.0	2.84920634921	19.0	0.0
Acropora	TAT	Y	F	0.0	0.764148225507	0.545454545455	0.12	0.853333333333	0.903614457831	0.10843373494	1781.0	3.02099497946	17.0	0.0
Trichinella	TAT	Y	F	0.0	0.275182320391	0.6	0.186046511628	0.604651162791	0.511904761905	0.142857142857	1759.0	2.46687948923	17.0	0.0
Trichinella	TAC	Y	F	0.0	0.275182320391	0.571428571429	0.0975609756098	0.634146341463	0.488095238095	0.142857142857	1759.0	2.1889632107	19.0	0.0
Balanoglossus	TAT	Y	F	1.0	0.799978848673	0.125	0.0526315789474	0.947368421053	0.260273972603	0.0684931506849	1784.0	2.90647482014	17.0	0.0
Balanoglossus	TAC	Y	F	1.0	0.799978848673	0.363636363636	0.0740740740741	0.925925925926	0.739726027397	0.0684931506849	1784.0	3.1334180432	19.0	0.0
Reclinomonas	TAT	Y	F	0.0	0.798468590948	0.818181818182	0.16049382716	0.765432098765	0.920454545455	0.159090909091	1784.0	3.01223112611	17.0	0.0
Reclinomonas	TAC	Y	F	0.0	0.798468590948	0.333333333333	0.142857142857	0.857142857143	0.0795454545455	0.159090909091	1784.0	3.2	19.0	0.0
Drosophila	TAT	Y	F	0.0	0.789112669977	0.3	0.0634920634921	0.84126984127	0.828947368421	0.0657894736842	1783.0	2.74918743229	17.0	0.0
Drosophila	TAC	Y	F	0.0	0.789112669977	0.166666666667	0.0769230769231	0.846153846154	0.171052631579	0.0657894736842	1783.0	2.84210526316	19.0	0.0
Jlibera	TAT	Y	F	1.0	0.107292215536	0.7	0.125	0.734375	0.695652173913	0.173913043478	1784.0	2.86502410284	17.0	0.0
Jlibera	TAC	Y	F	1.0	0.107292215536	0.6	0.285714285714	0.678571428571	0.304347826087	0.173913043478	1784.0	3.29283110571	19.0	0.0
Myxine	TAT	Y	F	0.0	0.0487231182796	0.272727272727	0.09375	0.84375	0.477611940299	0.044776119403	1783.0	2.83423035522	17.0	0.0
Ciona	TAT	Y	F	0.0	0.1742633349	0.384615384615	0.0983606557377	0.704918032787	0.7625	0.125	1767.0	2.43732274532	17.0	0.0
Ciona	TAC	Y	F	0.0	0.1742633349	0.25	0.210526315789	0.631578947368	0.2375	0.125	1767.0	2.50626118068	19.0	0.0
Epigonichthys	TAT	Y	F	1.0	0.244107120819	0.181818181818	0.0384615384615	0.923076923077	0.666666666667	0.0641025641026	1783.0	2.89743589744	17.0	0.0
Epigonichthys	TAC	Y	F	1.0	0.244107120819	0.181818181818	0.115384615385	0.807692307692	0.333333333333	0.0641025641026	1783.0	2.96592398427	19.0	0.0
Daphnia	TAT	Y	F	0.0	0.0651175213675	0.375	0.12	0.8	0.36231884058	0.0579710144928	1783.0	2.9631147541	17.0	0.0
Daphnia	TAC	Y	F	0.0	0.0651175213675	0.1	0.0227272727273	0.954545454545	0.63768115942	0.0579710144928	1783.0	2.94810224632	19.0	0.0
Homo	TAT	Y	F	1.0	0.225888799575	0.4	0.185185185185	0.777777777778	0.350649350649	0.12987012987	1782.0	3.16331658291	17.0	0.0
Homo	TAC	Y	F	1.0	0.225888799575	0.5	0.1	0.88	0.649350649351	0.12987012987	1782.0	3.06215469613	19.0	0.0
Blanceolatum	TAT	Y	F	0.0	0.505023640662	0.25	0.0740740740741	0.851851851852	0.54	0.1	1083.0	2.74752475248	17.0	0.0
Blanceolatum	TAC	Y	F	0.0	0.505023640662	0.285714285714	0.130434782609	0.869565217391	0.46	0.1	1083.0	3.38662790698	19.0	0.0
Saccoglossus	TAT	Y	F	0.0	0.515304204391	0.3	0.0975609756098	0.90243902439	0.594202898551	0.0724637681159	1784.0	3.04541631623	17.0	0.0
Saccoglossus	TAC	Y	F	0.0	0.515304204391	0.1	0.0357142857143	0.964285714286	0.405797101449	0.0724637681159	1784.0	3.06189320388	19.0	0.0

### Alignment improvement:
