### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
Malus_domestica	CGC	R	C	0.0	0.15891470058	0.1	0.047619047619	0.952380952381	0.154411764706	0.00735294117647	3229.0	-2.55555555556	59.0	0.0
Phoenix_dactylifera	CGC	R	C	0.0	0.249045845081	0.222222222222	0.0909090909091	0.909090909091	0.141025641026	0.0192307692308	3604.0	-2.17625231911	59.0	0.0
Phoenix_dactylifera	CGT	R	C	0.0	0.249045845081	0.0769230769231	0.0238095238095	0.97619047619	0.269230769231	0.0192307692308	3604.0	-2.712890625	57.0	0.0
Glycine_max	AGG	R	C	0.0	0.0316653561788	0.142857142857	0.125	0.875	0.0666666666667	0.025	2992.0	-1.88442211055	10.0	0.0
Glycine_max	CGC	R	C	0.0	0.0316653561788	0.2	0.125	0.875	0.133333333333	0.025	2992.0	-1.89879518072	59.0	0.0
Carica_papaya	CGC	R	C	0.0	0.14084504854	0.125	0.0555555555556	0.944444444444	0.121621621622	0.00675675675676	3619.0	-2.48173515982	59.0	0.0
Arabidopsis_thaliana	CGC	R	C	0.0	0.156028346757	0.125	0.0555555555556	0.944444444444	0.122448979592	0.00680272108844	3540.0	-2.46370023419	59.0	0.0
Vitis_vinifera	CGC	R	C	0.0	0.498120494541	0.1	0.047619047619	0.952380952381	0.148936170213	0.0141843971631	3347.0	-2.5431372549	59.0	0.0
Vitis_vinifera	CGT	R	C	0.0	0.498120494541	0.0833333333333	0.0285714285714	0.971428571429	0.248226950355	0.0141843971631	3347.0	-2.65311004785	57.0	0.0
Lotus_japonicus	AGG	R	C	0.0	0.0269102724002	0.142857142857	0.142857142857	0.857142857143	0.0469798657718	0.0201342281879	3435.0	-1.75280898876	10.0	0.0
Lotus_japonicus	CGC	R	C	0.0	0.0269102724002	0.2	0.0909090909091	0.909090909091	0.147651006711	0.0201342281879	3435.0	-2.15934065934	59.0	0.0
Brassica_rapa_oleifera	CGC	R	C	0.0	0.13953486231	0.166666666667	0.0625	0.9375	0.118518518519	0.00740740740741	3240.0	-2.41191709845	59.0	0.0
Chromochloris_zofingiensis	AGG	R	C	0.0	0.0714285632082	0.1	0.0222222222222	0.0222222222222	0.375	0.00833333333333	2378.0	-1.1231884058	10.0	0.0

### Alignment improvement:
