### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
SpombA	GCT	A	E	2.0	0.710100910012	0.333333333333	0.0294117647059	0.588235294118	0.686868686869	0.020202020202	1424.0	-0.974901297236	45.0	0.0	0.0
WmucoA	GCA	A	E	0.0	0.228448214847	0.0909090909091	0.0212765957447	0.851063829787	0.335714285714	0.00714285714286	2246.0	-0.979259589652	44.0	0.0	0.0
CnorvA	GCT	A	E	0.0	0.728070081554	0.0833333333333	0.0133333333333	0.813333333333	0.551470588235	0.00735294117647	2249.0	-1.03561373874	45.0	0.0	0.0
CviswA	GCA	A	E	0.0	0.268292626788	0.111111111111	0.0227272727273	0.886363636364	0.338461538462	0.00769230769231	2249.0	-0.933696424343	44.0	0.0	0.0
ScryoA	GCT	A	E	3.0	0.472727225531	0.333333333333	0.037037037037	0.5	0.5625	0.0208333333333	1424.0	-1.00124422325	45.0	0.0	0.046
SjapoA	GCA	A	E	0.0	0.145833304562	0.333333333333	0.0833333333333	0.583333333333	0.153846153846	0.0128205128205	1423.0	-0.673611111111	44.0	0.0	0.0
CsuavA	GCT	A	E	0.0	0.763157812966	0.0909090909091	0.0140845070423	0.746478873239	0.518248175182	0.00729927007299	2250.0	-1.00417439703	45.0	0.0	0.0
PcanaA	GCA	A	E	0.0	0.215517181853	0.1	0.0217391304348	0.847826086957	0.328571428571	0.00714285714286	2250.0	-0.966744186047	44.0	0.0	0.0
CjadiA	GCT	A	E	0.0	0.723684115127	0.0833333333333	0.0121951219512	0.756097560976	0.585714285714	0.00714285714286	2250.0	-1.03240312128	45.0	0.0	0.0
CalimA	GCT	A	E	0.0	0.669811206756	0.0833333333333	0.00917431192661	0.633027522936	0.67701863354	0.00621118012422	2247.0	-1.07457762671	45.0	0.0	0.0
BcaliA	GCT	A	E	0.0	0.739130344716	0.0833333333333	0.012987012987	0.766233766234	0.566176470588	0.00735294117647	2250.0	-0.940989056656	45.0	0.0	0.0
SoctoA	GCA	A	E	3.0	0.826244528755	0.2	0.0434782608696	0.521739130435	0.234693877551	0.030612244898	1425.0	-0.741908713693	44.0	0.0	0.056
SoctoA	GCT	A	E	3.0	0.826244528755	0.333333333333	0.0294117647059	0.544117647059	0.69387755102	0.030612244898	1425.0	-1.04915710441	45.0	0.0	0.046
CvartA	GCT	A	E	0.0	0.717391206776	0.0909090909091	0.0125	0.8	0.588235294118	0.00735294117647	2250.0	-1.03670730037	45.0	0.0	0.0
BcustA	GCA	A	E	0.0	0.776632225287	0.1	0.0196078431373	0.764705882353	0.418032786885	0.016393442623	2247.0	-0.916286779942	44.0	0.0	0.0
BcustA	GCT	A	E	0.0	0.776632225287	0.0909090909091	0.0151515151515	0.772727272727	0.540983606557	0.016393442623	2247.0	-0.876705572908	45.0	0.0	0.0
