### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
SpombA	CAA	Q	L	0.0	4.50442650641e-07	0.428571428571	0.107142857143	0.607142857143	1.0	0.107142857143	1424.0	-1.35662898253	48.0	0.0	0.042
CsantA	CAA	Q	L	0.0	0.336134453782	0.2	0.0833333333333	0.75	0.521739130435	0.0434782608696	2220.0	-1.69874100719	48.0	0.0	0.0
BarxA	CAA	Q	L	0.0	0.00367508583008	1.0	0.125	0.5	1.0	0.125	434.0	-1.09545454545	48.0	0.0	0.262
CalaiA	CAA	Q	L	0.0	0.0232884152797	0.1	0.030303030303	0.939393939394	1.0	0.030303030303	2056.0	-1.7734270415	48.0	0.0	0.0
MstarA	CAA	Q	L	0.0	0.000354727285655	0.166666666667	0.0434782608696	0.760869565217	1.0	0.0434782608696	2249.0	-1.84157487696	48.0	0.0	0.086
NbaciA	CAA	Q	L	0.0	0.521739130435	0.142857142857	0.0384615384615	0.807692307692	0.962962962963	0.037037037037	1428.0	-1.76135517498	48.0	0.0	0.0
LstarA	CAA	Q	L	0.0	0.0175176567398	0.125	0.030303030303	0.69696969697	1.0	0.030303030303	1834.0	-1.8221574344	48.0	0.0	0.0
ScryoA	CAA	Q	L	0.0	0.575	0.428571428571	0.12	0.64	0.961538461538	0.115384615385	1424.0	-1.24520337682	48.0	0.0	0.0
SjapoA	CAA	Q	L	0.0	0.555555555556	0.285714285714	0.0769230769231	0.576923076923	0.962962962963	0.0740740740741	1423.0	-1.49163257717	48.0	0.0	0.0
MmagnB	CAA	Q	L	0.0	0.650900900901	0.181818181818	0.0526315789474	0.763157894737	0.844444444444	0.0444444444444	2249.0	-1.78861788618	48.0	0.0	0.0
MmagnA	CAA	Q	L	0.0	0.650900900901	0.181818181818	0.0512820512821	0.74358974359	0.866666666667	0.0444444444444	2249.0	-1.8135731807	48.0	0.0	0.0
MtetrA	CAA	Q	L	0.0	0.743243243243	0.111111111111	0.0416666666667	0.75	0.558139534884	0.046511627907	2248.0	-1.97293868922	48.0	0.0	0.0
MtetrA	CAG	Q	L	0.0	0.743243243243	0.111111111111	0.0526315789474	0.894736842105	0.441860465116	0.046511627907	2248.0	-1.61020151134	50.0	0.0	0.0
SoctoA	CAA	Q	L	0.0	0.578947368421	0.428571428571	0.125	0.625	0.96	0.12	1425.0	-1.21636726547	48.0	0.0	0.0
CbuenA	CAA	Q	L	0.0	0.514285714286	0.0909090909091	0.0277777777778	0.916666666667	0.972972972973	0.027027027027	2248.0	-1.80115712546	48.0	0.0	0.0
CsalmA	CAA	Q	L	0.0	0.000264829171339	0.181818181818	0.05	0.75	1.0	0.05	2153.0	-1.60846133118	48.0	0.0	0.092
BcustA	CAA	Q	L	0.0	0.0254437003496	0.0833333333333	0.027027027027	0.918918918919	1.0	0.027027027027	2247.0	-1.85954558867	48.0	0.0	0.0
MingeA	CAA	Q	L	0.0	0.000354727285655	0.166666666667	0.0454545454545	0.795454545455	0.977777777778	0.0444444444444	2249.0	-1.8705106279	48.0	0.0	0.082
