### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
Schistosoma	ATA	I	W	0.0	0.722222126318	0.1	0.0188679245283	0.358490566038	0.53	0.01	1278.0	-2.2641955836	4.0	0.0
Limulus	ATA	I	W	0.0	0.0657894509701	0.1	0.0285714285714	0.257142857143	0.257352941176	0.00735294117647	1521.0	-1.73529411765	4.0	0.0
Caenorhabditis	ATC	I	W	0.0	0.159574449721	0.25	0.125	0.5	0.0601503759398	0.00751879699248	1433.0	-0.958333333333	7.0	0.0
Geodia	ATA	I	W	3.0	0.253623105845	0.1	0.0178571428571	0.571428571429	0.518518518519	0.00925925925926	1524.0	-2.34431137725	4.0	0.0
Acropora	ATC	I	W	0.0	0.0724637430975	0.111111111111	0.0769230769231	0.692307692308	0.128712871287	0.00990099009901	1532.0	-1.82059800664	7.0	0.0
Trichinella	ATT	I	W	0.0	0.0292097640511	0.111111111111	0.0238095238095	0.47619047619	0.297872340426	0.0283687943262	1259.0	-2.2127016129	5.0	0.0
Trichinella	ATA	I	W	0.0	0.0292097640511	0.375	0.0545454545455	0.127272727273	0.390070921986	0.0283687943262	1259.0	-1.43783783784	4.0	0.0
Myxine	ATA	I	W	0.0	0.0666666436497	0.1	0.0243902439024	0.219512195122	0.278911564626	0.00680272108844	1533.0	-1.67634854772	4.0	0.0
Ciona	ATA	I	W	0.0	0.142857115456	0.0909090909091	0.0238095238095	0.214285714286	0.304347826087	0.00724637681159	1411.0	-1.86105476673	4.0	0.0

### Alignment improvement:
