### Random Forest prediction
genome	codon	ori_aa	rea_aa	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
Schistosoma	TGT	C	L	0.0333333333333	0.714285714286	0.318181818182	0.0454545454545	0.785714285714	0.25	1194.0	-0.225988700565	25.0	1
Fasciola	TGT	C	L	0.0181818181818	0.625	0.242424242424	0.0909090909091	0.970588235294	0.235294117647	1268.0	0.079746835443	25.0	1
Halocynthia	TGT	C	L	0.0133333333333	0.222222222222	0.136363636364	0.272727272727	1.0	0.136363636364	1309.0	-0.306513409962	25.0	1
Limulus	TGT	C	L	0.75	0.333333333333	0.25	0.75	0.5	0.125	1394.0	-0.0816326530612	25.0	0
Caenorhabditis	TGT	C	L	0.0133333333333	0.25	0.105263157895	0.210526315789	1.0	0.105263157895	1295.0	-0.398663697105	25.0	1
Acropora	TGC	C	L	0.142857142857	1.0	0.5	0.5	0.285714285714	0.142857142857	1402.0	1.26	27.0	0
Balanoglossus	TGC	C	L	0.666666666667	0.166666666667	0.142857142857	0.714285714286	0.636363636364	0.0909090909091	1404.0	-0.603550295858	27.0	0
Myxine	TGT	C	L	0.722222222222	0.333333333333	0.2	0.8	0.555555555556	0.111111111111	1381.0	-0.05	25.0	0
Daphnia	TGT	C	L	0.3	0.333333333333	0.285714285714	0.571428571429	0.583333333333	0.166666666667	1391.0	0.0882352941176	25.0	0
Epigonichthys	TGT	C	L	0.666666666667	0.2	0.166666666667	0.833333333333	0.666666666667	0.111111111111	1403.0	-0.278911564626	25.0	0

### Alignment improvement:
TGT	Leu	3.95e-03
