### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
Paracentrotus	GAG	E	D	0.0	0.455882352941	0.2	0.105263157895	0.631578947368	0.306451612903	0.0806451612903	1926.0	1.21406411582	34.0	0.0
Paracentrotus	GAA	E	D	0.0	0.455882352941	0.272727272727	0.0697674418605	0.790697674419	0.693548387097	0.0806451612903	1926.0	1.71875	32.0	0.0
Caenorhabditis	GAG	E	D	0.0	0.0144679092048	0.3	0.2	0.65	0.392156862745	0.078431372549	1865.0	1.8449304175	34.0	0.0
Schistosoma	GAG	E	D	0.0	0.745967741935	0.0909090909091	0.0333333333333	0.566666666667	0.6	0.04	1800.0	0.839464882943	34.0	0.0
Schistosoma	GAA	E	D	0.0	0.745967741935	0.1	0.05	0.65	0.4	0.04	1800.0	1.13896987366	32.0	0.0
Fasciola	GAG	E	D	0.0	0.77761485826	0.181818181818	0.075	0.575	0.816326530612	0.0816326530612	1825.0	1.04523107178	34.0	0.0
Fasciola	GAA	E	D	0.0	0.77761485826	0.2	0.111111111111	0.666666666667	0.183673469388	0.0816326530612	1825.0	1.66367713004	32.0	0.0
Dunaliella_salina	GAA	E	D	0.0	0.610769230769	0.285714285714	0.0645161290323	0.677419354839	0.911764705882	0.0588235294118	1392.0	1.23555840822	32.0	0.0
Patiria	GAA	E	D	0.0	0.355351715154	0.181818181818	0.0731707317073	0.829268292683	0.745454545455	0.0545454545455	1926.0	1.82106782107	32.0	0.0
Mesostigma_viride	GAA	E	D	0.0	0.612755102041	0.272727272727	0.0625	0.895833333333	0.923076923077	0.0576923076923	1873.0	1.74186822352	32.0	0.0
Pseudendoclonium_akinetum	GAA	E	D	0.0	0.65	0.0833333333333	0.027027027027	0.918918918919	0.711538461538	0.0192307692308	1930.0	1.72288503254	32.0	0.0
Lumbricus	GAG	E	D	0.0	0.420542635659	0.2	0.0833333333333	0.833333333333	0.48	0.06	1920.0	1.95278246206	34.0	0.0
Lumbricus	GAA	E	D	0.0	0.420542635659	0.0909090909091	0.0384615384615	0.846153846154	0.52	0.06	1920.0	1.74485910129	32.0	0.0
Halocynthia	GAG	E	D	0.0	0.241552548416	0.181818181818	0.0571428571429	0.714285714286	0.636363636364	0.0909090909091	1893.0	1.36872812135	34.0	0.0
Halocynthia	GAA	E	D	0.0	0.241552548416	0.3	0.15	0.65	0.363636363636	0.0909090909091	1893.0	1.62859980139	32.0	0.0
Limulus	GAG	E	D	0.0	0.805960806972	0.2	0.0625	0.75	0.285714285714	0.0892857142857	1919.0	1.55555555556	34.0	0.0
Limulus	GAA	E	D	0.0	0.805960806972	0.363636363636	0.1	0.725	0.714285714286	0.0892857142857	1919.0	1.6504950495	32.0	0.0
Bracteacoccus_aerius	GAA	E	D	0.0	0.651162790698	0.1	0.0322580645161	0.935483870968	0.704545454545	0.0227272727273	1789.0	1.77622377622	32.0	0.0
Pycnococcus_provasolii	GAG	E	D	0.0	0.75786163522	0.0833333333333	0.0454545454545	0.909090909091	0.379310344828	0.0344827586207	1930.0	1.7923147301	34.0	0.0
Pycnococcus_provasolii	GAA	E	D	0.0	0.75786163522	0.0833333333333	0.0277777777778	0.888888888889	0.620689655172	0.0344827586207	1930.0	1.5285002767	32.0	0.0
Polytoma_uvella	GAG	E	D	0.0	0.0152116402116	0.285714285714	0.0588235294118	0.735294117647	1.0	0.0588235294118	1394.0	1.38970157987	34.0	0.0
Axinella	GAA	E	D	0.0	0.0814751286449	0.363636363636	0.129032258065	0.774193548387	0.516666666667	0.0666666666667	1924.0	1.84570690768	32.0	0.0
Terebratulina	GAA	E	D	0.0	0.678048780488	0.166666666667	0.0487804878049	0.756097560976	0.82	0.04	1915.0	1.42419825073	32.0	0.0
Chlorokybus_atmophyticus	GAA	E	D	0.0	0.574074074074	0.0833333333333	0.0217391304348	0.978260869565	0.851851851852	0.0185185185185	1930.0	1.79559471366	32.0	0.0
Bfloridae	GAG	E	D	2.0	0.824972327641	0.333333333333	0.142857142857	0.642857142857	0.368421052632	0.131578947368	1192.0	1.60285714286	34.0	0.0
Bfloridae	GAA	E	D	2.0	0.824972327641	0.333333333333	0.125	0.833333333333	0.631578947368	0.131578947368	1192.0	1.95877988458	32.0	0.0
Katharina	GAG	E	D	0.0	0.453406054065	0.4	0.142857142857	0.785714285714	0.254545454545	0.0909090909091	1917.0	2.10204081633	34.0	0.0
Katharina	GAA	E	D	0.0	0.453406054065	0.272727272727	0.0731707317073	0.780487804878	0.745454545455	0.0909090909091	1917.0	1.7173594132	32.0	0.0
