### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
LmeyeA	TTC	F	I	0.0	0.216981132075	0.166666666667	0.02	0.9	0.431034482759	0.00862068965517	1429.0	0.0427301947438	23.0	0.0	0.0
SpombA	TTC	F	I	0.0	0.826041201082	0.428571428571	0.0394736842105	0.684210526316	0.638655462185	0.0420168067227	1424.0	0.0995093722481	23.0	0.0	0.0
SpombA	TTT	F	I	0.0	0.826041201082	0.333333333333	0.046511627907	0.651162790698	0.361344537815	0.0420168067227	1424.0	0.137324727354	21.0	0.0	0.0
WmucoA	TTT	F	I	0.0	0.331122166943	0.153846153846	0.0192307692308	0.826923076923	0.654088050314	0.0125786163522	2246.0	0.104095197256	21.0	0.0	0.0
AacerA	TTT	F	I	0.0	0.222222222222	0.5	0.0454545454545	0.863636363636	0.44	0.02	630.0	0.364966555184	21.0	0.0	0.068
CgallA	TTC	F	I	0.0	0.776309695698	0.153846153846	0.0183486238532	0.825688073394	0.608938547486	0.0167597765363	2247.0	0.180472530601	23.0	0.0	0.0
CgallA	TTT	F	I	0.0	0.776309695698	0.0769230769231	0.0142857142857	0.714285714286	0.391061452514	0.0167597765363	2247.0	-0.00599354541263	21.0	0.0	0.0
CgigaA	TTC	F	I	0.0	0.601526717557	0.166666666667	0.0161290322581	0.927419354839	0.898550724638	0.0144927536232	2002.0	0.114059240718	23.0	0.0	0.0
CsantA	TTT	F	I	0.0	0.602678571429	0.0769230769231	0.00917431192661	0.807339449541	0.784172661871	0.00719424460432	2220.0	0.0657318141981	21.0	0.0	0.0
CtropB	TTC	F	I	0.0	0.606896551724	0.0769230769231	0.00813008130081	0.918699186992	0.798701298701	0.00649350649351	2250.0	0.0388324656482	23.0	0.0	0.0
CtropA	TTC	F	I	0.0	0.603448275862	0.0769230769231	0.00806451612903	0.91935483871	0.805194805195	0.00649350649351	2250.0	0.0203062864879	23.0	0.0	0.0
WpijpA	TTT	F	I	0.0	0.184466019417	0.166666666667	0.0238095238095	0.880952380952	0.365217391304	0.00869565217391	1429.0	0.0831818181818	21.0	0.0	0.0
CsubhA	TTC	F	I	0.0	0.507462686567	0.0769230769231	0.00680272108844	0.891156462585	0.986577181208	0.00671140939597	2244.0	0.00926529134998	23.0	0.0	0.0
CsubhB	TTC	F	I	0.0	0.507462686567	0.0769230769231	0.00680272108844	0.891156462585	0.986577181208	0.00671140939597	2244.0	0.00926529134998	23.0	0.0	0.0
OanguA	TTT	F	I	0.0	0.336073997944	0.153846153846	0.018691588785	0.775700934579	0.618497109827	0.0115606936416	2248.0	0.0229437672846	21.0	0.0	0.0
SarboA	TTC	F	I	0.0	0.184466019417	0.166666666667	0.0238095238095	0.880952380952	0.368421052632	0.00877192982456	1429.0	-0.0314183123878	23.0	0.0	0.0
KtherA	TTC	F	I	0.0	0.747619047619	0.166666666667	0.0172413793103	0.896551724138	0.5	0.00862068965517	1429.0	0.0850819672131	23.0	0.0	0.0
CnorvA	TTT	F	I	0.0	0.589552238806	0.0769230769231	0.0078125	0.8515625	0.825806451613	0.00645161290323	2249.0	0.0348221044663	21.0	0.0	0.0
CviswA	TTC	F	I	0.0	0.197183098592	0.0769230769231	0.015873015873	0.873015873016	0.403846153846	0.00641025641026	2249.0	0.0865779530146	23.0	0.0	0.0
MstarA	TTC	F	I	0.0	0.359638940857	0.125	0.025	0.775	0.239520958084	0.0179640718563	2249.0	0.190324945028	23.0	0.0	0.0
MstarA	TTT	F	I	0.0	0.359638940857	0.153846153846	0.0157480314961	0.763779527559	0.760479041916	0.0179640718563	2249.0	0.0337832029571	21.0	0.0	0.0
NbaciA	TTT	F	I	0.0	0.347117064648	0.285714285714	0.0294117647059	0.808823529412	0.576271186441	0.0169491525424	1428.0	0.248555727772	21.0	0.0	0.0
LstarA	TTC	F	I	0.0	0.0994533591959	0.2	0.0322580645161	0.741935483871	0.402597402597	0.012987012987	1834.0	0.149553195077	23.0	0.0	0.0
MfariA	TTC	F	I	0.0	0.206081081081	0.0833333333333	0.0149253731343	0.89552238806	0.416149068323	0.00621118012422	2248.0	0.110391612704	23.0	0.0	0.0
MfariB	TTC	F	I	0.0	0.754307999274	0.0833333333333	0.0144927536232	0.898550724638	0.425925925926	0.0123456790123	2250.0	0.0397441754226	23.0	0.0	0.0
MfariB	TTT	F	I	0.0	0.754307999274	0.0909090909091	0.010752688172	0.913978494624	0.574074074074	0.0123456790123	2250.0	0.0997402010618	21.0	0.0	0.0
CcastA	TTC	F	I	0.0	0.0544217687075	0.333333333333	0.0512820512821	0.794871794872	0.339130434783	0.0173913043478	1428.0	0.177490234375	23.0	0.0	0.0
LanspB	TTC	F	I	0.0	0.202830188679	0.166666666667	0.0212765957447	0.893617021277	0.405172413793	0.00862068965517	1429.0	0.0609485368315	23.0	0.0	0.0
CphanA	TTC	F	I	0.0	0.341590678825	0.153846153846	0.0208333333333	0.833333333333	0.554913294798	0.0115606936416	2247.0	0.14055714437	23.0	0.0	0.0
LanspA	TTC	F	I	0.0	0.747619047619	0.166666666667	0.0178571428571	0.928571428571	0.486956521739	0.00869565217391	1429.0	0.0785046728972	23.0	0.0	0.0
CglabA	TTC	F	I	0.0	0.100465928946	0.333333333333	0.0392156862745	0.862745098039	0.435897435897	0.017094017094	1413.0	0.141764596157	23.0	0.0	0.0
ScryoA	TTC	F	I	0.0	0.83204920123	0.5	0.0512820512821	0.705128205128	0.672413793103	0.051724137931	1424.0	0.0680372001958	23.0	0.0	0.0
ScryoA	TTT	F	I	0.0	0.83204920123	0.333333333333	0.0526315789474	0.605263157895	0.327586206897	0.051724137931	1424.0	0.248925954006	21.0	0.0	0.0
CneerA	TTT	F	I	0.0	0.741379310345	0.0833333333333	0.0119047619048	0.880952380952	0.538461538462	0.00641025641026	2249.0	0.121133687071	21.0	0.0	0.0
HuvarA	TTT	F	I	0.0	0.0910418695229	0.333333333333	0.0454545454545	0.727272727273	0.435643564356	0.019801980198	1361.0	0.1640625	21.0	0.0	0.0
CjiufA	TTC	F	I	0.0	0.748563218391	0.0833333333333	0.0131578947368	0.907894736842	0.487179487179	0.0128205128205	2231.0	0.0772663877266	23.0	0.0	0.0
CjiufA	TTT	F	I	0.0	0.748563218391	0.0833333333333	0.0125	0.925	0.512820512821	0.0128205128205	2231.0	0.143006672772	21.0	0.0	0.0
KlactA	TTC	F	I	0.0	0.69801980198	0.142857142857	0.0147058823529	0.882352941176	0.59649122807	0.00877192982456	1408.0	0.148921266461	23.0	0.0	0.0
CzempA	TTT	F	I	0.0	0.766343207354	0.142857142857	0.0246913580247	0.728395061728	0.675	0.0166666666667	1428.0	0.15190023753	21.0	0.0	0.0
CmetaB	TTC	F	I	0.0	0.246478873239	0.0909090909091	0.0131578947368	0.907894736842	0.5	0.00657894736842	2250.0	0.0426105717368	23.0	0.0	0.0
CmetaC	TTC	F	I	0.0	0.246478873239	0.0909090909091	0.0131578947368	0.907894736842	0.5	0.00657894736842	2250.0	0.0426105717368	23.0	0.0	0.0
CmetaA	TTC	F	I	0.0	0.246478873239	0.0909090909091	0.0131578947368	0.907894736842	0.5	0.00657894736842	2250.0	0.0426105717368	23.0	0.0	0.0
CmetaF	TTC	F	I	0.0	0.246478873239	0.0909090909091	0.0131578947368	0.907894736842	0.5	0.00657894736842	2250.0	0.0426105717368	23.0	0.0	0.0
CmetaD	TTC	F	I	0.0	0.246478873239	0.0909090909091	0.0131578947368	0.907894736842	0.5	0.00657894736842	2250.0	0.0426105717368	23.0	0.0	0.0
CmetaE	TTC	F	I	0.0	0.246478873239	0.0909090909091	0.0131578947368	0.907894736842	0.5	0.00657894736842	2250.0	0.0426105717368	23.0	0.0	0.0
SjapoA	TTC	F	I	0.0	0.0585376302513	0.166666666667	0.0133333333333	0.68	0.563909774436	0.0451127819549	1423.0	-0.12361718549	23.0	0.0	0.0
SjapoA	TTT	F	I	0.0	0.0585376302513	0.666666666667	0.0862068965517	0.551724137931	0.436090225564	0.0451127819549	1423.0	0.403953871499	21.0	0.0	0.0
CalbiE	TTC	F	I	0.0	0.696629213483	0.166666666667	0.0178571428571	0.946428571429	0.602150537634	0.010752688172	1183.0	0.0867898222377	23.0	0.0	0.0
CalbiD	TTC	F	I	0.0	0.715384615385	0.0909090909091	0.0131578947368	0.960526315789	0.567164179104	0.00746268656716	2058.0	0.0867950481431	23.0	0.0	0.0
CalbiC	TTC	F	I	0.0	0.711267605634	0.0833333333333	0.0117647058824	0.952941176471	0.570469798658	0.00671140939597	2250.0	0.0797003561341	23.0	0.0	0.0
CalbiB	TTC	F	I	0.0	0.711267605634	0.0833333333333	0.0117647058824	0.952941176471	0.570469798658	0.00671140939597	2250.0	0.0797003561341	23.0	0.0	0.0
CalbiA	TTC	F	I	0.0	0.707692307692	0.0909090909091	0.0128205128205	0.961538461538	0.582089552239	0.00746268656716	2058.0	0.087061668682	23.0	0.0	0.0
MmagnB	TTC	F	I	0.0	0.634576682859	0.153846153846	0.0191082802548	0.738853503185	0.912790697674	0.0174418604651	2249.0	0.0793295331162	23.0	0.0	0.0
MmagnA	TTC	F	I	0.0	0.625206854214	0.153846153846	0.0191082802548	0.745222929936	0.912790697674	0.0174418604651	2249.0	0.0677161080201	23.0	0.0	0.0
CparaA	TTT	F	I	0.0	0.671171171171	0.0909090909091	0.0128205128205	0.923076923077	0.65	0.00833333333333	1816.0	0.140159045726	21.0	0.0	0.0
CparaC	TTT	F	I	0.0	0.678321678322	0.0833333333333	0.0103092783505	0.938144329897	0.633986928105	0.00653594771242	2250.0	0.112364472676	21.0	0.0	0.0
CparaB	TTT	F	I	0.0	0.678321678322	0.0833333333333	0.0103092783505	0.938144329897	0.633986928105	0.00653594771242	2250.0	0.112364472676	21.0	0.0	0.0
CparaE	TTT	F	I	0.0	0.678321678322	0.0833333333333	0.0103092783505	0.938144329897	0.633986928105	0.00653594771242	2250.0	0.112364472676	21.0	0.0	0.0
CparaD	TTT	F	I	0.0	0.678321678322	0.0833333333333	0.0103092783505	0.938144329897	0.633986928105	0.00653594771242	2250.0	0.112364472676	21.0	0.0	0.0
CparaF	TTT	F	I	0.0	0.678321678322	0.0833333333333	0.0103092783505	0.938144329897	0.633986928105	0.00653594771242	2250.0	0.112364472676	21.0	0.0	0.0
MtetrA	TTC	F	I	0.0	0.610259360998	0.153846153846	0.0245398773006	0.748466257669	0.942196531792	0.0173410404624	2248.0	0.121107040042	23.0	0.0	0.0
CsaraA	TTC	F	I	0.0	0.158450704225	0.0909090909091	0.02	0.88	0.316455696203	0.00632911392405	2249.0	0.0640547263682	23.0	0.0	0.0
CsuavA	TTC	F	I	0.0	0.748663926002	0.0909090909091	0.0128205128205	0.846153846154	0.464285714286	0.0119047619048	2250.0	0.0402504472272	23.0	0.0	0.0
CsuavA	TTT	F	I	0.0	0.748663926002	0.0769230769231	0.0111111111111	0.8	0.535714285714	0.0119047619048	2250.0	0.101989738456	21.0	0.0	0.0
PkluyA	TTC	F	I	0.0	0.0548983530704	0.25	0.0375	0.825	0.459770114943	0.0172413793103	2247.0	0.187116163596	23.0	0.0	0.0
PcanaA	TTT	F	I	0.0	0.365222715445	0.230769230769	0.0241935483871	0.822580645161	0.760736196319	0.0184049079755	2250.0	0.114824940471	21.0	0.0	0.0
YlipoB	TTC	F	I	0.0	0.775875907132	0.153846153846	0.0183486238532	0.834862385321	0.61581920904	0.0169491525424	2247.0	0.208345053915	23.0	0.0	0.0
YlipoB	TTT	F	I	0.0	0.775875907132	0.0833333333333	0.0147058823529	0.720588235294	0.38418079096	0.0169491525424	2247.0	-0.039897039897	21.0	0.0	0.0
YlipoA	TTC	F	I	0.0	0.775875907132	0.153846153846	0.0183486238532	0.834862385321	0.61581920904	0.0169491525424	2247.0	0.208345053915	23.0	0.0	0.0
YlipoA	TTT	F	I	0.0	0.775875907132	0.0833333333333	0.0147058823529	0.720588235294	0.38418079096	0.0169491525424	2247.0	-0.039897039897	21.0	0.0	0.0
CjadiA	TTT	F	I	0.0	0.372302158273	0.153846153846	0.0227272727273	0.772727272727	0.517647058824	0.0117647058824	2250.0	0.153153153153	21.0	0.0	0.0
NdelpA	TTC	F	I	0.0	0.74	0.166666666667	0.015873015873	0.809523809524	0.538461538462	0.00854700854701	1412.0	0.179145195514	23.0	0.0	0.0
LelonA	TTC	F	I	0.0	0.331002331002	0.153846153846	0.0188679245283	0.88679245283	0.683870967742	0.0129032258065	2249.0	0.112167112167	23.0	0.0	0.0
CpseuA	TTC	F	I	0.0	0.742857142857	1.0	0.0526315789474	0.894736842105	0.527777777778	0.0277777777778	434.0	0.238755980861	23.0	0.0	0.06
CalimA	TTC	F	I	0.0	0.776976095526	0.153846153846	0.017094017094	0.837606837607	0.672413793103	0.0172413793103	2247.0	0.0739516269358	23.0	0.0	0.0
CalimA	TTT	F	I	0.0	0.776976095526	0.0833333333333	0.0175438596491	0.736842105263	0.327586206897	0.0172413793103	2247.0	0.219933942102	21.0	0.0	0.0
BcaliA	TTT	F	I	0.0	0.636029411765	0.0769230769231	0.00869565217391	0.852173913043	0.746753246753	0.00649350649351	2250.0	0.0581263038119	21.0	0.0	0.0
SoctoA	TTC	F	I	0.0	0.542574332341	0.333333333333	0.0441176470588	0.691176470588	0.576271186441	0.0508474576271	1425.0	0.146502172999	23.0	0.0	0.0
SoctoA	TTT	F	I	0.0	0.542574332341	0.5	0.06	0.66	0.423728813559	0.0508474576271	1425.0	0.0440299942319	21.0	0.0	0.0
CvartA	TTT	F	I	0.0	0.33829787234	0.153846153846	0.0190476190476	0.780952380952	0.617647058824	0.0117647058824	2250.0	0.126796280642	21.0	0.0	0.0
CbuenA	TTT	F	I	0.0	0.358333333333	0.181818181818	0.0240963855422	0.903614457831	0.535483870968	0.0129032258065	2248.0	0.0909560723514	21.0	0.0	0.0
CdefoA	TTC	F	I	0.0	0.332066869301	0.153846153846	0.0188679245283	0.830188679245	0.605714285714	0.0114285714286	2247.0	0.177764854124	23.0	0.0	0.0
LdasiA	TTC	F	I	0.0	0.731132075472	0.166666666667	0.016393442623	0.918032786885	0.525862068966	0.00862068965517	1429.0	0.0835157960588	23.0	0.0	0.0
LkluyF	TTC	F	I	0.0	0.153846153846	0.166666666667	0.0294117647059	0.911764705882	0.298245614035	0.00877192982456	1429.0	0.00640490114174	23.0	0.0	0.0
LkluyE	TTC	F	I	0.0	0.158653846154	0.166666666667	0.0285714285714	0.914285714286	0.30701754386	0.00877192982456	1429.0	0.0203362255965	23.0	0.0	0.0
LkluyD	TTC	F	I	0.0	0.163461538462	0.166666666667	0.027027027027	0.891891891892	0.321739130435	0.00869565217391	1429.0	0.121919917864	23.0	0.0	0.0
LkluyC	TTC	F	I	0.0	0.153846153846	0.166666666667	0.0294117647059	0.911764705882	0.298245614035	0.00877192982456	1429.0	0.00640490114174	23.0	0.0	0.0
LkluyB	TTC	F	I	0.0	0.202702702703	1.0	0.0666666666667	0.933333333333	0.394736842105	0.0263157894737	434.0	0.233939393939	23.0	0.0	0.061
LkluyA	TTC	F	I	0.0	0.153846153846	0.166666666667	0.0294117647059	0.911764705882	0.298245614035	0.00877192982456	1429.0	0.00640490114174	23.0	0.0	0.0
CdublA	TTC	F	I	0.0	0.248062015504	0.0909090909091	0.0149253731343	0.940298507463	0.5	0.00746268656716	2058.0	0.109516380655	23.0	0.0	0.0
CorthB	TTC	F	I	0.0	0.22027972028	0.0833333333333	0.0147058823529	0.911764705882	0.450331125828	0.00662251655629	2250.0	0.0656231186033	23.0	0.0	0.0
CorthC	TTC	F	I	0.0	0.20979020979	0.0833333333333	0.0153846153846	0.907692307692	0.430463576159	0.00662251655629	2250.0	0.0696073830752	23.0	0.0	0.0
CorthA	TTC	F	I	0.0	0.227272727273	0.0833333333333	0.0142857142857	0.914285714286	0.46357615894	0.00662251655629	2250.0	0.0667351129363	23.0	0.0	0.0
MguilA	TTT	F	I	0.0	0.72027972028	0.0833333333333	0.0111111111111	0.877777777778	0.58064516129	0.00645161290323	2250.0	0.187507421921	21.0	0.0	0.0
SpastA	TTC	F	I	0.0	0.233009708738	0.166666666667	0.0188679245283	0.88679245283	0.473214285714	0.00892857142857	1429.0	0.024176217765	23.0	0.0	0.0
ScereC	TTC	F	I	0.0	0.233009708738	0.166666666667	0.0188679245283	0.88679245283	0.469026548673	0.00884955752212	1429.0	0.0559139784946	23.0	0.0	0.0
ScereA	TTC	F	I	0.0	0.245192307692	0.166666666667	0.0178571428571	0.892857142857	0.491228070175	0.00877192982456	1429.0	0.0592027141645	23.0	0.0	0.0
ScereD	TTC	F	I	0.0	0.23786407767	0.166666666667	0.0185185185185	0.888888888889	0.477876106195	0.00884955752212	1429.0	0.0580781414995	23.0	0.0	0.0
ScereE	TTC	F	I	0.0	0.225490196078	0.166666666667	0.0196078431373	0.882352941176	0.455357142857	0.00892857142857	1429.0	0.0563616071429	23.0	0.0	0.0
CsalmA	TTC	F	I	0.0	0.787935182207	0.1	0.0222222222222	0.711111111111	0.290322580645	0.0258064516129	2153.0	0.209006928406	23.0	0.0	0.0
CsalmA	TTT	F	I	0.0	0.787935182207	0.25	0.0272727272727	0.736363636364	0.709677419355	0.0258064516129	2153.0	0.210158298534	21.0	0.0	0.0
LnothA	TTC	F	I	0.0	0.740566037736	0.166666666667	0.0169491525424	0.915254237288	0.508620689655	0.00862068965517	1429.0	0.0818430803931	23.0	0.0	0.0
BcustA	TTC	F	I	0.0	0.824675641401	0.166666666667	0.0281690140845	0.774647887324	0.410404624277	0.028901734104	2247.0	0.230657570039	23.0	0.0	0.0
BcustA	TTT	F	I	0.0	0.824675641401	0.230769230769	0.0294117647059	0.745098039216	0.589595375723	0.028901734104	2247.0	0.172705440117	21.0	0.0	0.0
CtheaA	TTT	F	I	0.0	0.730769230769	0.0833333333333	0.0125	0.95	0.529801324503	0.00662251655629	2250.0	0.140465988216	21.0	0.0	0.0
MingeA	TTC	F	I	0.0	0.255813953488	0.111111111111	0.0243902439024	0.780487804878	0.246987951807	0.0120481927711	2249.0	0.0604192355117	23.0	0.0	0.0
MingeA	TTT	F	I	0.0	0.255813953488	0.0769230769231	0.008	0.76	0.753012048193	0.0120481927711	2249.0	0.0799896229678	21.0	0.0	0.0
ScastA	TTT	F	I	0.0	0.330303030303	0.285714285714	0.025974025974	0.818181818182	0.647058823529	0.0168067226891	1426.0	0.152866242038	21.0	0.0	0.0
CmaltA	TTT	F	I	0.0	0.63986013986	0.0833333333333	0.00869565217391	0.886956521739	0.727848101266	0.00632911392405	2250.0	0.070853167338	21.0	0.0	0.0
KmarxA	TTC	F	I	0.0	0.597222222222	1.0	0.0333333333333	0.933333333333	0.810810810811	0.027027027027	434.0	0.161613098848	23.0	0.0	0.06
