### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
Mesostigma_viride	TGT	C	S	0.0	0.575	0.0909090909091	0.047619047619	0.761904761905	0.75	0.0357142857143	3748.0	-0.674074074074	25.0	0.0
Marchantia_polymorpha	TGT	C	S	2.0	0.736923076923	0.2	0.105263157895	0.894736842105	0.730769230769	0.0769230769231	3530.0	-0.453027139875	25.0	0.0
Dunaliella_salina	TGT	C	S	2.0	0.2	0.4	0.2	0.0666666666667	0.882352941176	0.176470588235	1954.0	0.325925925926	25.0	0.0
Physcomitrella_patens	TGC	C	S	0.0	0.767137096774	0.142857142857	0.0909090909091	0.909090909091	0.314285714286	0.0571428571429	3856.0	-0.531772575251	27.0	0.0
Physcomitrella_patens	TGT	C	S	0.0	0.767137096774	0.1	0.0416666666667	0.833333333333	0.685714285714	0.0571428571429	3856.0	-0.707612456747	25.0	0.0
Chaetosphaeridium_globosum	TGC	C	S	0.0	0.328589673417	0.2	0.2	0.8	0.151515151515	0.121212121212	3858.0	0.184615384615	27.0	0.0
Chaetosphaeridium_globosum	TGT	C	S	0.0	0.328589673417	0.25	0.107142857143	0.785714285714	0.848484848485	0.121212121212	3858.0	-0.388268156425	25.0	0.0
Pseudendoclonium_akinetum	TGC	C	S	1.0	0.806308049536	0.125	0.0769230769231	0.384615384615	0.282608695652	0.108695652174	3709.0	-0.305714285714	27.0	0.0
Pseudendoclonium_akinetum	TGT	C	S	1.0	0.806308049536	0.4	0.121212121212	0.30303030303	0.717391304348	0.108695652174	3709.0	-0.0585480093677	25.0	0.0
Bracteacoccus_aerius	TGC	C	S	0.0	0.6875	0.142857142857	0.0666666666667	0.266666666667	0.555555555556	0.037037037037	2729.0	-0.272946859903	27.0	0.0
Pycnococcus_provasolii	TGC	C	S	0.0	0.758241758242	0.2	0.142857142857	0.428571428571	0.212121212121	0.0909090909091	2964.0	0.126315789474	27.0	0.0
Pycnococcus_provasolii	TGT	C	S	0.0	0.758241758242	0.222222222222	0.0769230769231	0.346153846154	0.787878787879	0.0909090909091	2964.0	-0.111261872456	25.0	0.0
Polytoma_uvella	TGC	C	S	2.0	0.125	0.5	0.3	0.05	0.909090909091	0.272727272727	1951.0	0.516544117647	27.0	0.0
Chlamydomonas_reinhardtii	TGT	C	S	0.0	0.125	0.333333333333	0.2	0.0	0.277777777778	0.0555555555556	1935.0	0.801324503311	25.0	0.0
Chara_vulgaris	TGT	C	S	0.0	0.68842364532	0.166666666667	0.0740740740741	0.777777777778	0.794117647059	0.0588235294118	3867.0	-0.468085106383	25.0	0.0
Prototheca_wickerhamii	TGT	C	S	0.0	0.558823529412	0.125	0.0571428571429	0.4	0.897435897436	0.0512820512821	3819.0	-0.720510095643	25.0	0.0
Bracteacoccus_minor	TGC	C	S	0.0	0.0166666666667	0.285714285714	0.1875	0.0	0.551724137931	0.137931034483	2519.0	0.388261851016	27.0	0.0
Bracteacoccus_minor	TGT	C	S	0.0	0.0166666666667	0.142857142857	0.0769230769231	0.461538461538	0.448275862069	0.137931034483	2519.0	-0.131652661064	25.0	0.0
Chromochloris_zofingiensis	TGC	C	S	0.0	0.761904761905	0.285714285714	0.25	0.125	0.181818181818	0.113636363636	2378.0	0.561085972851	27.0	0.0
Chromochloris_zofingiensis	TGT	C	S	0.0	0.761904761905	0.333333333333	0.0833333333333	0.0833333333333	0.818181818182	0.113636363636	2378.0	-0.301463414634	25.0	0.0
Nephroselmis_olivacea	TGC	C	S	0.0	0.125	0.166666666667	0.142857142857	0.571428571429	0.212121212121	0.030303030303	3857.0	0.16393442623	27.0	0.0

### Alignment improvement:
