### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
SpombA	TAT	Y	T	0.0	0.631578947368	0.166666666667	0.0181818181818	0.745454545455	0.763888888889	0.0138888888889	1424.0	-1.75337423313	17.0	0.0	0.0
OanguA	TAT	Y	T	0.0	0.575187969925	0.0833333333333	0.00806451612903	0.903225806452	0.861111111111	0.00694444444444	2248.0	-1.89623695976	17.0	0.0	0.0
MstarA	TAT	Y	T	0.0	0.101439005814	0.0769230769231	0.00689655172414	0.889655172414	1.0	0.00689655172414	2249.0	-1.8723074539	17.0	0.0	0.0
ScryoA	TAC	Y	T	0.0	0.178571428571	0.25	0.037037037037	0.703703703704	0.369863013699	0.013698630137	1424.0	-1.73870056497	19.0	0.0	0.0
CzempA	TAT	Y	T	0.0	0.0520754280082	0.166666666667	0.0121951219512	0.780487804878	1.0	0.0121951219512	1428.0	-1.80470120454	17.0	0.0	0.0
MmagnB	TAC	Y	T	0.0	0.605263157895	0.0769230769231	0.00869565217391	0.904347826087	0.777027027027	0.00675675675676	2249.0	-1.87196819085	19.0	0.0	0.0
MmagnA	TAC	Y	T	0.0	0.59022556391	0.0769230769231	0.00840336134454	0.90756302521	0.804054054054	0.00675675675676	2249.0	-1.87489264243	19.0	0.0	0.0
MtetrA	TAC	Y	T	0.0	0.543307086614	0.0769230769231	0.00735294117647	0.845588235294	0.925170068027	0.00680272108844	2248.0	-1.83788423806	19.0	0.0	0.0
SoctoA	TAC	Y	T	0.0	0.125	0.2	0.0588235294118	0.764705882353	0.232876712329	0.013698630137	1425.0	-1.67738359202	19.0	0.0	0.0
CsalmA	TAC	Y	T	0.0	0.00877192982456	0.5	0.5	0.5	0.0148148148148	0.00740740740741	2153.0	0.519607843137	19.0	0.0	0.065
MingeA	TAT	Y	T	0.0	0.515503875969	0.0769230769231	0.00704225352113	0.87323943662	0.972602739726	0.00684931506849	2249.0	-1.86785543703	17.0	0.0	0.0
