### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
LmeyeA	TTT	F	H	0.0	0.712264150943	0.166666666667	0.0151515151515	0.909090909091	0.568965517241	0.00862068965517	1429.0	-0.882121521201	21.0	0.0	0.0
SpombA	TTC	F	H	0.0	0.768593797049	0.142857142857	0.0131578947368	0.684210526316	0.638655462185	0.0168067226891	1424.0	-0.966536671279	23.0	0.0	0.0
SpombA	TTT	F	H	0.0	0.768593797049	0.166666666667	0.0232558139535	0.651162790698	0.361344537815	0.0168067226891	1424.0	-1.10950367238	21.0	0.0	0.0
WmucoA	TTC	F	H	0.0	0.179104477612	0.125	0.0181818181818	0.854545454545	0.345911949686	0.0062893081761	2246.0	-0.909314586995	23.0	0.0	0.0
CsantA	TTT	F	H	0.0	0.602678571429	0.0769230769231	0.00917431192661	0.807339449541	0.784172661871	0.00719424460432	2220.0	-1.06066802999	21.0	0.0	0.0
WpijpA	TTC	F	H	0.0	0.679611650485	0.142857142857	0.013698630137	0.890410958904	0.634782608696	0.00869565217391	1429.0	-0.871098872279	23.0	0.0	0.0
OanguA	TTT	F	H	0.0	0.336073997944	0.153846153846	0.018691588785	0.775700934579	0.618497109827	0.0115606936416	2248.0	-0.883130185394	21.0	0.0	0.0
CalaiA	TTT	F	H	0.0	0.618320610687	0.0909090909091	0.00925925925926	0.916666666667	0.760563380282	0.00704225352113	2056.0	-0.871330480645	21.0	0.0	0.0
KtherA	TTT	F	H	0.0	0.747619047619	0.166666666667	0.0172413793103	0.896551724138	0.5	0.00862068965517	1429.0	-0.824230387289	21.0	0.0	0.0
CnorvA	TTT	F	H	0.0	0.589552238806	0.0769230769231	0.0078125	0.8515625	0.825806451613	0.00645161290323	2249.0	-0.916140970645	21.0	0.0	0.0
MstarA	TTC	F	H	0.0	0.246153846154	0.125	0.025	0.775	0.239520958084	0.0119760479042	2249.0	-1.02834107012	23.0	0.0	0.0
MstarA	TTT	F	H	0.0	0.246153846154	0.0769230769231	0.00787401574803	0.763779527559	0.760479041916	0.0119760479042	2249.0	-0.820338691653	21.0	0.0	0.0
NbaciA	TTT	F	H	0.0	0.722772277228	0.142857142857	0.0147058823529	0.808823529412	0.576271186441	0.00847457627119	1428.0	-1.11666901508	21.0	0.0	0.0
LstarA	TTT	F	H	0.0	0.716981132076	0.111111111111	0.0108695652174	0.641304347826	0.597402597403	0.00649350649351	1834.0	-0.905041436464	21.0	0.0	0.0
LanspB	TTT	F	H	0.0	0.698113207547	0.142857142857	0.0144927536232	0.913043478261	0.594827586207	0.00862068965517	1429.0	-0.883423648743	21.0	0.0	0.0
LanspA	TTT	F	H	0.0	0.747619047619	0.166666666667	0.0169491525424	0.881355932203	0.513043478261	0.00869565217391	1429.0	-0.78834604772	21.0	0.0	0.0
ScryoA	TTC	F	H	0.0	0.74746835443	0.166666666667	0.025641025641	0.705128205128	0.672413793103	0.0172413793103	1424.0	-0.876529613314	23.0	0.0	0.0
