### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
SpombA	CAA	Q	M	0.0	0.0118124990826	0.142857142857	0.0357142857143	0.607142857143	1.0	0.0357142857143	1424.0	-0.0284343953409	48.0	0.0	0.0
CgallA	CAA	Q	M	0.0	0.0241299029265	0.0833333333333	0.0243902439024	0.878048780488	0.97619047619	0.0238095238095	2247.0	-0.0772292993631	48.0	0.0	0.0
CsantA	CAG	Q	M	0.0	0.114285714286	0.2	0.0909090909091	0.681818181818	0.478260869565	0.0434782608696	2220.0	-0.107021791768	50.0	0.0	0.0
BarxA	CAA	Q	M	1.0	0.00329534200911	1.0	0.125	0.5	1.0	0.125	434.0	0.292045454545	48.0	0.0	0.268
MstarA	CAA	Q	M	0.0	0.0234854630306	0.0833333333333	0.0217391304348	0.760869565217	1.0	0.0217391304348	2249.0	-0.215139442231	48.0	0.0	0.0
LstarA	CAA	Q	M	0.0	0.0157189091704	0.125	0.030303030303	0.69696969697	1.0	0.030303030303	1834.0	-0.252024619372	48.0	0.0	0.0
CphanA	CAA	Q	M	0.0	0.0241299029265	0.0833333333333	0.0238095238095	0.857142857143	1.0	0.0238095238095	2247.0	-0.120422898401	48.0	0.0	0.0
ScryoA	CAA	Q	M	0.0	0.527777777778	0.142857142857	0.04	0.64	0.961538461538	0.0384615384615	1424.0	0.108979278588	48.0	0.0	0.0
CzempA	CAA	Q	M	0.0	0.52380952381	0.142857142857	0.0384615384615	0.730769230769	0.962962962963	0.037037037037	1428.0	-0.238938053097	48.0	0.0	0.0
SjapoA	CAA	Q	M	0.0	0.529411764706	0.142857142857	0.0384615384615	0.576923076923	0.962962962963	0.037037037037	1423.0	-0.150241725549	48.0	0.0	0.0
MmagnB	CAA	Q	M	0.0	0.583333333333	0.0909090909091	0.0263157894737	0.763157894737	0.844444444444	0.0222222222222	2249.0	-0.167087188113	48.0	0.0	0.0
MmagnA	CAA	Q	M	0.0	0.583333333333	0.0909090909091	0.025641025641	0.74358974359	0.866666666667	0.0222222222222	2249.0	-0.209866448624	48.0	0.0	0.0
MtetrA	CAG	Q	M	0.0	0.75	0.111111111111	0.0526315789474	0.894736842105	0.441860465116	0.0232558139535	2248.0	0.204659949622	50.0	0.0	0.0
YlipoB	CAA	Q	M	0.0	0.0241299029265	0.0833333333333	0.0243902439024	0.878048780488	1.0	0.0243902439024	2247.0	-0.0935099337748	48.0	0.0	0.0
YlipoA	CAA	Q	M	0.0	0.0241299029265	0.0833333333333	0.0243902439024	0.878048780488	1.0	0.0243902439024	2247.0	-0.0935099337748	48.0	0.0	0.0
CalimA	CAA	Q	M	0.0	0.513513513514	0.0833333333333	0.0243902439024	0.853658536585	0.97619047619	0.0238095238095	2247.0	-0.120529801325	48.0	0.0	0.0
SoctoA	CAA	Q	M	0.0	0.529411764706	0.142857142857	0.0416666666667	0.625	0.96	0.04	1425.0	0.112974051896	48.0	0.0	0.0
CdefoA	CAA	Q	M	0.0	0.0241299029265	0.0833333333333	0.0238095238095	0.857142857143	1.0	0.0238095238095	2247.0	-0.120422898401	48.0	0.0	0.0
CsalmA	CAA	Q	M	0.0	1.545034919e-06	0.181818181818	0.075	0.75	1.0	0.075	2153.0	0.125033683643	48.0	0.0	0.037
MingeA	CAG	Q	M	0.0	0.0138888888889	1.0	1.0	0.0	0.0222222222222	0.0222222222222	2249.0	3.92957746479	50.0	0.0	0.293
