### Random Forest prediction
genome	codon	ori_aa	rea_aa	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
Mesostigma_viride	CAA	Q	L	0.0384615384615	0.125	0.020618556701	0.762886597938	0.950980392157	0.0294117647059	3748.0	-1.90192719486	48.0	0
Mesostigma_viride	CAG	Q	L	0.0384615384615	0.333333333333	0.2	0.2	0.0490196078431	0.0294117647059	3748.0	-1.23703703704	50.0	0
Bracteacoccus_aerius	CAA	Q	L	0.314974340176	0.181818181818	0.0416666666667	0.5	0.786885245902	0.0491803278689	2729.0	-1.72358346095	48.0	0
Bracteacoccus_aerius	CAG	Q	L	0.314974340176	0.111111111111	0.0769230769231	0.461538461538	0.213114754098	0.0491803278689	2729.0	-1.41715976331	50.0	0
Prototheca_wickerhamii	CAA	Q	L	0.5125	0.0625	0.0102040816327	0.785714285714	0.970297029703	0.00990099009901	3819.0	-1.96390041494	48.0	0
Chlorokybus_atmophyticus	CAA	Q	L	0.541666666667	0.0625	0.0116279069767	0.883720930233	0.895833333333	0.0104166666667	3866.0	-1.83962264151	48.0	0
Bracteacoccus_minor	CAA	Q	L	0.125	0.272727272727	0.0566037735849	0.509433962264	0.779411764706	0.0588235294118	2519.0	-1.62813370474	48.0	0
Bracteacoccus_minor	CAG	Q	L	0.125	0.166666666667	0.0666666666667	0.0666666666667	0.220588235294	0.0588235294118	2519.0	-1.04906542056	50.0	0
Chromochloris_zofingiensis	CAA	Q	L	0.555555555556	0.272727272727	0.0576923076923	0.442307692308	0.928571428571	0.0535714285714	2378.0	-1.33592644979	48.0	0

### Alignment improvement:
