### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
Metaseiulus_occidentalis	TGT	C	A	0.0	0.6	0.333333333333	0.166666666667	0.5	0.75	0.125	1280.0	-0.0338983050847	25.0	0.0	0.0
Schistosoma	TGC	C	A	0.0	0.0958333333333	0.25	0.166666666667	0.333333333333	0.171428571429	0.2	1325.0	-0.311688311688	27.0	0.0	0.0
Schistosoma	TGT	C	A	0.0	0.0958333333333	0.555555555556	0.206896551724	0.0344827586207	0.828571428571	0.2	1325.0	0.0275066548358	25.0	0.0	0.0
Fasciola	TGC	C	A	0.0	0.666666666667	0.5	0.5	0.0	0.0526315789474	0.157894736842	1332.0	0.525641025641	27.0	0.0	0.049
Fasciola	TGT	C	A	0.0	0.666666666667	0.3	0.138888888889	0.0833333333333	0.947368421053	0.157894736842	1332.0	-0.155049786629	25.0	0.0	0.0
Trichobilharzia_regenti	TGT	C	A	0.0	5.15021664152e-14	0.555555555556	0.15625	0.09375	1.0	0.15625	1324.0	-0.209302325581	25.0	0.0	0.183
Versteria_mustelae	TGC	C	A	0.0	0.766666666667	1.0	1.0	0.0	0.0588235294118	0.205882352941	1328.0	2.82051282051	27.0	0.0	0.339
Versteria_mustelae	TGT	C	A	0.0	0.766666666667	0.444444444444	0.15625	0.09375	0.941176470588	0.205882352941	1328.0	-0.1341956346	25.0	0.0	0.0
Daphnia	TGT	C	A	0.0	0.642857142857	0.25	0.2	0.8	0.714285714286	0.142857142857	1351.0	0.203045685279	25.0	0.0	0.0
Haplorchis_taichui	TGT	C	A	0.0	7.60024212406e-17	0.4	0.181818181818	0.0909090909091	0.970588235294	0.176470588235	1320.0	0.0705426356589	25.0	0.0	0.208
Lumbricus	TGT	C	A	0.0	0.75	0.25	0.25	0.5	0.5	0.125	1350.0	0.518987341772	25.0	0.0	0.0
Halocynthia	TGT	C	A	0.0	1.44821827825e-05	0.285714285714	0.153846153846	0.307692307692	1.0	0.153846153846	1348.0	0.196428571429	25.0	0.0	0.117
Echinococcus_equinus	TGT	C	A	0.0	1.0681880053e-19	0.5	0.225806451613	0.0967741935484	0.96875	0.21875	1331.0	0.275459098497	25.0	0.0	0.253
Taenia_crassiceps	TGT	C	A	0.0	1.0681880053e-19	0.555555555556	0.212121212121	0.0909090909091	0.916666666667	0.194444444444	1333.0	0.184723304754	25.0	0.0	0.249
Tetrancistrum_nebulosi	TGC	C	A	0.0	0.732142857143	0.166666666667	0.0833333333333	0.0833333333333	0.363636363636	0.151515151515	1333.0	-0.751082251082	27.0	0.0	0.0
Tetrancistrum_nebulosi	TGT	C	A	0.0	0.732142857143	0.333333333333	0.190476190476	0.0952380952381	0.636363636364	0.151515151515	1333.0	0.100122100122	25.0	0.0	0.0
Benedenia_hoshinai	TGC	C	A	0.0	0.119047619048	0.2	0.125	0.25	0.25	0.1875	1333.0	-0.0830670926518	27.0	0.0	0.0
Benedenia_hoshinai	TGT	C	A	0.0	0.119047619048	0.444444444444	0.208333333333	0.0416666666667	0.75	0.1875	1333.0	-0.0279870828848	25.0	0.0	0.0
Drosophila	TGT	C	A	0.0	0.00686685054986	0.166666666667	0.125	0.75	1.0	0.125	1351.0	0.114285714286	25.0	0.0	0.0
Strigamia_maritima	TGT	C	A	0.0	0.732142857143	0.333333333333	0.333333333333	0.666666666667	0.75	0.25	1351.0	0.79746835443	25.0	0.0	0.007
Caenorhabditis	TGT	C	A	0.0	1.44821827825e-05	0.222222222222	0.105263157895	0.210526315789	1.0	0.105263157895	1346.0	-0.270635994587	25.0	0.0	0.047
