### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
SpombA	CAA	Q	H	0.0	0.0114352927148	0.142857142857	0.0357142857143	0.607142857143	1.0	0.0357142857143	1424.0	-0.0894141829394	48.0	0.0	0.0
AacerA	CAA	Q	H	0.0	0.541666666667	0.5	0.0769230769231	0.769230769231	0.928571428571	0.0714285714286	630.0	0.157856625634	48.0	0.0	0.009
CsantA	CAA	Q	H	0.0	0.156862745098	0.3	0.125	0.75	0.521739130435	0.0652173913043	2220.0	0.633543165468	48.0	0.0	0.0
BarxA	CAA	Q	H	0.0	0.00318967393516	1.0	0.125	0.5	1.0	0.125	434.0	0.406818181818	48.0	0.0	0.262
SarboA	CAA	Q	H	0.0	0.521739130435	0.142857142857	0.0454545454545	0.954545454545	0.95652173913	0.0434782608696	1429.0	0.133861734919	48.0	0.0	0.0
MstarA	CAA	Q	H	0.0	0.0227398195101	0.0833333333333	0.0217391304348	0.760869565217	1.0	0.0217391304348	2249.0	-0.137567377549	48.0	0.0	0.0
NbaciA	CAA	Q	H	0.0	0.521739130435	0.142857142857	0.0384615384615	0.807692307692	0.962962962963	0.037037037037	1428.0	-0.0510052122115	48.0	0.0	0.0
ScryoA	CAA	Q	H	0.0	0.527777777778	0.142857142857	0.04	0.64	0.961538461538	0.0384615384615	1424.0	-0.0897927858787	48.0	0.0	0.0
CzempA	CAA	Q	H	0.0	0.52380952381	0.142857142857	0.0384615384615	0.730769230769	0.962962962963	0.037037037037	1428.0	0.274705014749	48.0	0.0	0.0
SjapoA	CAA	Q	H	0.0	0.555555555556	0.285714285714	0.0769230769231	0.576923076923	0.962962962963	0.0740740740741	1423.0	0.0665674972109	48.0	0.0	0.0
AgossB	CAA	Q	H	0.0	0.0145884917948	0.142857142857	0.0357142857143	0.785714285714	1.0	0.0357142857143	1427.0	0.078431372549	48.0	0.0	0.0
SoctoA	CAA	Q	H	0.0	0.529411764706	0.142857142857	0.0416666666667	0.625	0.96	0.04	1425.0	-0.0922155688623	48.0	0.0	0.0
SpastA	CAA	Q	H	0.0	0.568181818182	0.142857142857	0.0526315789474	0.947368421053	0.863636363636	0.0454545454545	1429.0	0.149795501022	48.0	0.0	0.0
BcustA	CAA	Q	H	0.0	0.0221151953273	0.0833333333333	0.027027027027	0.918918918919	1.0	0.027027027027	2247.0	0.0917674830333	48.0	0.0	0.0
AgossA	CAA	Q	H	0.0	0.521739130435	0.142857142857	0.037037037037	0.777777777778	0.964285714286	0.0357142857143	1427.0	0.0826799714897	48.0	0.0	0.0
MingeA	CAA	Q	H	0.0	0.0227398195101	0.0833333333333	0.0227272727273	0.795454545455	0.977777777778	0.0222222222222	2249.0	-0.153188370388	48.0	0.0	0.0
CmaltA	CAA	Q	H	0.0	0.565789473684	0.0833333333333	0.0277777777778	0.888888888889	0.878048780488	0.0243902439024	2250.0	0.174733637747	48.0	0.0	0.0
