### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
SpombA	TTA	L	G	0.0	0.704766961992	0.142857142857	0.0127388535032	0.687898089172	0.785	0.01	1424.0	-3.58243914403	20.0	0.0	0.0
AacerA	CTA	L	G	0.0	0.0002331002331	0.5	0.125	0.0	0.179775280899	0.0224719101124	630.0	0.231123919308	52.0	0.0	0.311
CsantA	CTA	L	G	0.0	0.704633102656	0.0769230769231	0.00523560209424	0.795811518325	0.595015576324	0.00311526479751	2220.0	-3.69345456599	52.0	0.0	0.0
BarxA	TTA	L	G	0.0	0.511363636364	1.0	0.0185185185185	0.777777777778	0.981818181818	0.0181818181818	434.0	-3.62516846361	20.0	0.0	0.091
OanguA	TTA	L	G	0.0	0.619876917941	0.153846153846	0.00653594771242	0.862745098039	0.869318181818	0.00568181818182	2248.0	-3.75747626865	20.0	0.0	0.0
SarboA	TTA	L	G	0.0	0.511173015588	0.142857142857	0.00520833333333	0.90625	0.923076923077	0.00480769230769	1429.0	-3.79708116753	20.0	0.0	0.0
NbaciA	TTA	L	G	0.0	0.11604173213	0.142857142857	0.00537634408602	0.930107526882	0.948979591837	0.00510204081633	1428.0	-3.80112550984	20.0	0.0	0.0
CbohiA	TTA	L	G	0.0	0.52346024603	0.0769230769231	0.00293255131965	0.950146627566	0.947222222222	0.00277777777778	2250.0	-3.84406625232	20.0	0.0	0.0
LstarA	TTA	L	G	0.0	0.572368273411	0.1	0.00436681222707	0.847161572052	0.857677902622	0.00374531835206	1834.0	-3.7661114079	20.0	0.0	0.0
MfariA	TTA	L	G	0.0	0.557228762794	0.0769230769231	0.00320512820513	0.939102564103	0.888888888889	0.002849002849	2248.0	-3.8263088398	20.0	0.0	0.0
CcastA	TTA	L	G	0.0	0.114159866138	0.142857142857	0.00534759358289	0.909090909091	0.939698492462	0.00502512562814	1428.0	-3.81040147859	20.0	0.0	0.0
CglabA	TTA	L	G	0.0	0.502777777778	0.142857142857	0.00520833333333	0.927083333333	0.97461928934	0.00507614213198	1413.0	-3.8062772188	20.0	0.0	0.0
ScryoA	TTA	L	G	0.0	0.777026950045	0.142857142857	0.0147058823529	0.713235294118	0.666666666667	0.00980392156863	1424.0	-3.6396172927	20.0	0.0	0.0
KlactA	TTA	L	G	0.0	0.505524861879	0.142857142857	0.00518134715026	0.922279792746	0.989743589744	0.00512820512821	1408.0	-3.81477617131	20.0	0.0	0.0
PpastA	TTA	L	G	0.0	0.506493336108	0.0769230769231	0.00294985250737	0.893805309735	0.985465116279	0.00290697674419	2248.0	-3.81992411713	20.0	0.0	0.0
SjapoA	TTA	L	G	0.0	0.637681034328	0.142857142857	0.00653594771242	0.647058823529	0.725118483412	0.00473933649289	1423.0	-3.53760200879	20.0	0.0	0.0
CcoryA	TTA	L	G	0.0	0.661337092378	0.0769230769231	0.00398406374502	0.924302788845	0.678378378378	0.0027027027027	2250.0	-3.81633209192	20.0	0.0	0.0
MtetrA	CTA	L	G	3.0	0.529720242901	0.0833333333333	0.0144927536232	0.869565217391	0.205357142857	0.0	2248.0	-3.72362555721	52.0	0.0	0.056
PkluyA	TTA	L	G	0.0	0.518707316825	0.0769230769231	0.00308641975309	0.87037037037	0.964285714286	0.00297619047619	2247.0	-3.79323823892	20.0	0.0	0.0
AgossB	CTA	L	G	0.0	1.65089129141e-05	0.4	0.125	0.0833333333333	0.104347826087	0.0130434782609	1427.0	-0.172440944882	52.0	0.0	0.227
NdelpA	TTA	L	G	0.0	0.508571258904	0.142857142857	0.00534759358289	0.914438502674	0.944444444444	0.00505050505051	1412.0	-3.80445633716	20.0	0.0	0.0
CchauA	CTA	L	G	0.0	0.0739130269661	0.0833333333333	0.0277777777778	0.888888888889	0.0970350404313	0.00269541778976	2250.0	-3.60419126328	52.0	0.0	0.0
SoctoA	TTA	L	G	0.0	0.695748595948	0.142857142857	0.0125786163522	0.704402515723	0.787128712871	0.00990099009901	1425.0	-3.63422757827	20.0	0.0	0.0
SpastA	TTA	L	G	0.0	0.505617977528	0.142857142857	0.00512820512821	0.897435897436	0.955882352941	0.00490196078431	1429.0	-3.78231125111	20.0	0.0	0.0
ScereC	TTA	L	G	0.0	0.508333163584	0.142857142857	0.00515463917526	0.907216494845	0.937198067633	0.0048309178744	1429.0	-3.79547927589	20.0	0.0	0.0
ScereA	TTA	L	G	0.0	0.508333163584	0.142857142857	0.00518134715026	0.911917098446	0.936893203883	0.00485436893204	1429.0	-3.79955257271	20.0	0.0	0.0
ScereD	TTA	L	G	0.0	0.508333163584	0.142857142857	0.00515463917526	0.907216494845	0.928229665072	0.00478468899522	1429.0	-3.79547927589	20.0	0.0	0.0
ScereE	TTA	L	G	0.0	0.505555555556	0.142857142857	0.00512820512821	0.907692307692	0.933014354067	0.00478468899522	1429.0	-3.79649589055	20.0	0.0	0.0
CsalmA	TTA	L	G	0.0	0.60594720169	0.25	0.0102040816327	0.775510204082	0.936305732484	0.00955414012739	2153.0	-3.63080011898	20.0	0.0	0.0
BcustA	TTA	L	G	0.0	0.524221289023	0.0769230769231	0.00314465408805	0.861635220126	0.952095808383	0.00299401197605	2247.0	-3.77414416922	20.0	0.0	0.0
AgossA	CTA	L	G	0.0	1.65089129141e-05	0.4	0.125	0.0833333333333	0.104347826087	0.0130434782609	1427.0	-0.172440944882	52.0	0.0	0.227
