### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
CsantA	AAA	K	E	9.0	0.635135135135	0.0833333333333	0.0294117647059	0.764705882353	0.739130434783	0.0217391304348	2220.0	0.646846254928	0.0	0.0	0.147
CtropB	AAG	K	E	2.0	0.702380952381	0.1	0.04	0.96	0.595238095238	0.0238095238095	2250.0	1.06142506143	2.0	0.0	0.0
CtropA	AAG	K	E	2.0	0.714285714286	0.1	0.0416666666667	0.958333333333	0.571428571429	0.0238095238095	2250.0	1.06364562118	2.0	0.0	0.0
CoxycA	AAA	K	E	0.0	0.6	1.0	0.25	0.75	0.8	0.2	434.0	1.44419134396	0.0	1.0	0.513
CviswA	AAA	K	E	0.0	0.547619047619	0.1	0.025641025641	0.948717948718	0.906976744186	0.0232558139535	2249.0	0.964547319074	0.0	0.0	0.116
CsojaA	AAA	K	E	0.0	0.541666666667	0.2	0.0454545454545	0.954545454545	0.916666666667	0.0416666666667	1498.0	1.0667402096	0.0	0.0	0.116
CneerA	AAA	K	E	14.0	0.535714285714	0.111111111111	0.025641025641	0.974358974359	0.928571428571	0.0238095238095	2249.0	0.989765201686	0.0	0.0	0.147
HuvarA	AAA	K	E	0.0	0.59375	0.166666666667	0.05	0.6	0.833333333333	0.0416666666667	1361.0	0.00673076923077	0.0	0.0	0.181
CjiufA	AAA	K	E	0.0	0.52380952381	0.0833333333333	0.0238095238095	0.928571428571	0.954545454545	0.0227272727273	2231.0	0.887468741317	0.0	0.0	0.116
CmetaB	AAA	K	E	0.0	0.511627906977	0.0909090909091	0.0238095238095	0.97619047619	0.976744186047	0.0232558139535	2250.0	0.984157334062	0.0	0.0	0.116
CmetaC	AAA	K	E	0.0	0.511627906977	0.0909090909091	0.0238095238095	0.97619047619	0.976744186047	0.0232558139535	2250.0	0.984157334062	0.0	0.0	0.116
CmetaA	AAA	K	E	0.0	0.511627906977	0.0909090909091	0.0238095238095	0.97619047619	0.976744186047	0.0232558139535	2250.0	0.984157334062	0.0	0.0	0.116
CmetaF	AAA	K	E	0.0	0.511627906977	0.0909090909091	0.0238095238095	0.97619047619	0.976744186047	0.0232558139535	2250.0	0.984157334062	0.0	0.0	0.116
CfrijA	AAA	K	E	14.0	0.535714285714	0.111111111111	0.025641025641	0.974358974359	0.928571428571	0.0238095238095	2249.0	0.988077496274	0.0	0.0	0.147
CmetaD	AAA	K	E	0.0	0.511627906977	0.0909090909091	0.0238095238095	0.97619047619	0.976744186047	0.0232558139535	2250.0	0.984157334062	0.0	0.0	0.116
CmetaE	AAA	K	E	0.0	0.511627906977	0.0909090909091	0.0238095238095	0.97619047619	0.976744186047	0.0232558139535	2250.0	0.984157334062	0.0	0.0	0.116
CalbiE	AAA	K	E	0.0	0.55	0.166666666667	0.0555555555556	0.944444444444	0.9	0.05	1183.0	1.03839541547	0.0	0.0	0.21
CalbiD	AAA	K	E	0.0	0.547619047619	0.1	0.0263157894737	0.973684210526	0.904761904762	0.0238095238095	2058.0	0.98670694864	0.0	0.0	0.116
CalbiC	AAA	K	E	0.0	0.547619047619	0.1	0.0263157894737	0.973684210526	0.904761904762	0.0238095238095	2250.0	0.98670694864	0.0	0.0	0.116
CalbiB	AAA	K	E	0.0	0.547619047619	0.1	0.0263157894737	0.973684210526	0.904761904762	0.0238095238095	2250.0	0.98670694864	0.0	0.0	0.116
CalbiA	AAA	K	E	0.0	0.547619047619	0.1	0.0263157894737	0.973684210526	0.904761904762	0.0238095238095	2058.0	0.98670694864	0.0	0.0	0.116
CparaC	AAA	K	E	0.0	0.059336135752	0.0909090909091	0.0232558139535	0.976744186047	1.0	0.0232558139535	2250.0	0.984458735263	0.0	0.0	0.208
CparaB	AAA	K	E	0.0	0.059336135752	0.0909090909091	0.0232558139535	0.976744186047	1.0	0.0232558139535	2250.0	0.984458735263	0.0	0.0	0.208
CparaE	AAA	K	E	0.0	0.059336135752	0.0909090909091	0.0232558139535	0.976744186047	1.0	0.0232558139535	2250.0	0.984458735263	0.0	0.0	0.208
CparaD	AAA	K	E	0.0	0.059336135752	0.0909090909091	0.0232558139535	0.976744186047	1.0	0.0232558139535	2250.0	0.984458735263	0.0	0.0	0.208
CparaF	AAA	K	E	0.0	0.059336135752	0.0909090909091	0.0232558139535	0.976744186047	1.0	0.0232558139535	2250.0	0.984458735263	0.0	0.0	0.208
CsaraA	AAA	K	E	0.0	0.547619047619	0.1	0.0263157894737	0.973684210526	0.904761904762	0.0238095238095	2249.0	0.987944544907	0.0	0.0	0.116
PkluyA	AAA	K	E	0.0	0.0553131488608	0.0769230769231	0.0222222222222	0.866666666667	1.0	0.0222222222222	2247.0	0.854258348434	0.0	0.0	0.208
CjadiA	AAA	K	E	0.0	0.0579970472947	0.0909090909091	0.0222222222222	0.911111111111	1.0	0.0222222222222	2250.0	0.952606635071	0.0	0.0	0.208
LelonA	AAG	K	E	0.0	0.0731707317073	0.25	0.166666666667	0.833333333333	0.146341463415	0.0243902439024	2249.0	1.34513274336	2.0	0.0	0.0
CpseuA	AAA	K	E	0.0	0.00708748706276	1.0	0.2	0.8	1.0	0.2	434.0	1.35519125683	0.0	1.0	0.605
CdublA	AAA	K	E	0.0	0.511904761905	0.1	0.0243902439024	0.975609756098	0.97619047619	0.0238095238095	2058.0	0.987921348315	0.0	0.0	0.116
CorthB	AAA	K	E	0.0	0.511627906977	0.0909090909091	0.0238095238095	0.97619047619	0.976744186047	0.0232558139535	2250.0	0.984844309727	0.0	0.0	0.116
CorthC	AAA	K	E	0.0	0.511627906977	0.0909090909091	0.0238095238095	0.97619047619	0.976744186047	0.0232558139535	2250.0	0.984844309727	0.0	0.0	0.116
CorthA	AAA	K	E	0.0	0.511627906977	0.0909090909091	0.0238095238095	0.97619047619	0.976744186047	0.0232558139535	2250.0	0.984844309727	0.0	0.0	0.116
ClusiA	AAA	K	E	0.0	0.059336135752	0.0833333333333	0.0222222222222	0.933333333333	1.0	0.0222222222222	2250.0	0.866581956798	0.0	0.0	0.208
CtheaA	AAA	K	E	0.0	0.059336135752	0.0909090909091	0.0232558139535	0.976744186047	1.0	0.0232558139535	2250.0	0.984458735263	0.0	0.0	0.208
CmaltA	AAG	K	E	12.0	0.0833333333333	0.2	0.142857142857	0.857142857143	0.166666666667	0.0238095238095	2250.0	1.27111111111	2.0	0.0	0.06

### Prediction Prob. range for Positive :[ 0.513 - 0.605 ]

