### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction	probability
Paracentrotus	ATT	I	L	0.0	0.476743262054	0.6	0.129032258065	0.838709677419	0.484375	0.109375	979.0	2.10445682451	5.0	0.0	0.009
Paracentrotus	ATC	I	L	0.0	0.476743262054	0.4	0.181818181818	0.818181818182	0.171875	0.109375	979.0	2.08139534884	7.0	0.0	0.007
Paracentrotus	ATA	I	L	0.0	0.476743262054	0.2	0.0454545454545	0.863636363636	0.34375	0.109375	979.0	1.90697674419	4.0	0.0	0.2
Schistosoma	ATT	I	L	0.0	0.154774649113	1.0	0.333333333333	0.333333333333	0.461538461538	0.246153846154	842.0	1.51476793249	5.0	0.0	0.17
Schistosoma	ATA	I	L	0.0	0.154774649113	0.8	0.1875	0.5	0.492307692308	0.246153846154	842.0	1.53917662683	4.0	0.0	0.265
Fasciola	ATT	I	L	1.0	0.0885322434004	0.4	0.114285714286	0.485714285714	0.648148148148	0.185185185185	878.0	1.44444444444	5.0	0.0	0.051
Fasciola	ATC	I	L	1.0	0.0885322434004	1.0	1.0	0.0	0.0185185185185	0.185185185185	878.0	2.45833333333	7.0	0.0	0.4
Fasciola	ATA	I	L	1.0	0.0885322434004	0.8	0.277777777778	0.333333333333	0.333333333333	0.185185185185	878.0	1.50356294537	4.0	0.0	0.283
Patiria	ATT	I	L	0.0	0.95002318164	0.4	0.0952380952381	0.761904761905	0.318181818182	0.136363636364	979.0	1.84349593496	5.0	0.0	0.001
Patiria	ATC	I	L	0.0	0.95002318164	0.25	0.142857142857	0.785714285714	0.212121212121	0.136363636364	979.0	2.11656441718	7.0	0.0	0.005
Patiria	ATA	I	L	0.0	0.95002318164	0.8	0.161290322581	0.838709677419	0.469696969697	0.136363636364	979.0	2.14246196404	4.0	0.0	0.174
Lumbricus	ATT	I	L	0.0	0.115287200029	0.8	0.155555555556	0.733333333333	0.5625	0.2	977.0	1.96669838249	5.0	0.0	0.051
Lumbricus	ATC	I	L	0.0	0.115287200029	0.6	0.285714285714	0.619047619048	0.2625	0.2	977.0	2.28370221328	7.0	0.0	0.066
Lumbricus	ATA	I	L	0.0	0.115287200029	0.75	0.214285714286	0.214285714286	0.175	0.2	977.0	1.63862928349	4.0	0.0	0.304
Halocynthia	ATT	I	L	0.0	0.0168779549403	0.6	0.063829787234	0.744680851064	0.61038961039	0.116883116883	963.0	1.56244302644	5.0	0.0	0.14
Halocynthia	ATA	I	L	0.0	0.0168779549403	0.6	0.24	0.4	0.324675324675	0.116883116883	963.0	1.42905982906	4.0	0.0	0.363
Limulus	ATT	I	L	0.0	0.00315246380108	0.6	0.137254901961	0.705882352941	0.490384615385	0.182692307692	979.0	1.95412844037	5.0	0.0	0.149
Limulus	ATC	I	L	0.0	0.00315246380108	0.4	0.08	0.6	0.240384615385	0.182692307692	979.0	1.61724137931	7.0	0.0	0.145
Limulus	ATA	I	L	0.0	0.00315246380108	1.0	0.357142857143	0.285714285714	0.269230769231	0.182692307692	979.0	2.09451219512	4.0	0.0	0.387
Caenorhabditis	ATT	I	L	0.0	0.00155776779328	0.6	0.150943396226	0.603773584906	0.6625	0.2	959.0	1.7616747182	5.0	0.0	0.149
Caenorhabditis	ATA	I	L	0.0	0.00155776779328	0.8	0.363636363636	0.136363636364	0.275	0.2	959.0	1.67437379576	4.0	0.0	0.389
Axinella	ATT	I	L	0.0	0.578843144139	0.6	0.21875	0.71875	0.432432432432	0.175675675676	977.0	2.00401069519	5.0	0.0	0.026
Axinella	ATC	I	L	0.0	0.578843144139	0.2	0.0714285714286	0.785714285714	0.189189189189	0.175675675676	977.0	1.93597560976	7.0	0.0	0.005
Axinella	ATA	I	L	0.0	0.578843144139	0.6	0.178571428571	0.75	0.378378378378	0.175675675676	977.0	2.0	4.0	0.0	0.174
Terebratulina	ATT	I	L	0.0	0.387850221311	0.4	0.222222222222	0.666666666667	0.341772151899	0.189873417722	977.0	2.13629160063	5.0	0.0	0.018
Terebratulina	ATC	I	L	0.0	0.387850221311	0.8	0.171428571429	0.742857142857	0.443037974684	0.189873417722	977.0	2.01728395062	7.0	0.0	0.011
Terebratulina	ATA	I	L	0.0	0.387850221311	0.5	0.176470588235	0.235294117647	0.215189873418	0.189873417722	977.0	1.50881612091	4.0	0.0	0.235
