### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
SpombA	GGT	G	I	0.0	0.63829787234	0.142857142857	0.0114942528736	0.770114942529	0.737288135593	0.00847457627119	1424.0	-3.22194185409	41.0	0.0	0.0
WmucoA	GGA	G	I	0.0	0.252941091173	0.0833333333333	0.0113636363636	0.943181818182	0.491620111732	0.00558659217877	2246.0	-3.69693382266	40.0	0.0	0.0
CgigaA	GGG	G	I	0.0	0.164556920507	0.111111111111	0.025641025641	0.948717948718	0.233532934132	0.0059880239521	2002.0	-3.50227790433	42.0	0.0	0.0
WpijpA	GGA	G	I	0.0	0.662036920354	0.142857142857	0.0133333333333	0.96	0.663716814159	0.00884955752212	1429.0	-3.70764502497	40.0	0.0	0.0
CnorvA	GGT	G	I	0.0	0.680473262463	0.0833333333333	0.00840336134454	0.899159663866	0.657458563536	0.00552486187845	2249.0	-3.6293288528	41.0	0.0	0.0
CzempA	GGT	G	I	0.0	0.66494833793	0.142857142857	0.012987012987	0.831168831169	0.6875	0.00892857142857	1428.0	-3.34784772331	41.0	0.0	0.0
MtetrA	GGA	G	I	8.0	0.754385880113	0.0769230769231	0.010752688172	0.89247311828	0.505434782609	0.0	2248.0	-3.52795722878	40.0	0.0	0.051
CsuavA	GGT	G	I	0.0	0.251496931562	0.0909090909091	0.0133333333333	0.946666666667	0.423728813559	0.00564971751412	2250.0	-3.66069086139	41.0	0.0	0.0
PkluyA	GGA	G	I	0.0	0.721510519931	0.153846153846	0.013986013986	0.874125874126	0.760638297872	0.0106382978723	2247.0	-3.47728491535	40.0	0.0	0.0
PcanaA	GGT	G	I	0.0	0.713855322894	0.0769230769231	0.00980392156863	0.921568627451	0.576271186441	0.00564971751412	2250.0	-3.6512128769	41.0	0.0	0.0
BcaliA	GGT	G	I	0.0	0.247058742293	0.0833333333333	0.0117647058824	0.929411764706	0.467032967033	0.00549450549451	2250.0	-3.66675896442	41.0	0.0	0.0
CvartA	GGT	G	I	0.0	0.233532857638	0.0833333333333	0.0126582278481	0.924050632911	0.446327683616	0.00564971751412	2250.0	-3.62421113024	41.0	0.0	0.0
ClusiA	GGT	G	I	0.0	0.679557900416	0.0833333333333	0.00819672131148	0.94262295082	0.645502645503	0.00529100529101	2250.0	-3.65363991639	41.0	0.0	0.0
MguilA	GGA	G	I	0.0	0.163043435104	0.1	0.0196078431373	0.882352941176	0.261538461538	0.00512820512821	2250.0	-3.50493179433	40.0	0.0	0.0
DhansA	GGA	G	I	0.0	0.262711783457	0.0833333333333	0.0108695652174	0.891304347826	0.476683937824	0.00518134715026	2250.0	-3.57136404697	40.0	0.0	0.0
