### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
SpombA	TTA	L	G	0.0	0.624137801267	0.142857142857	0.00641025641026	0.692307692308	0.772277227723	0.0049504950495	1452.0	-3.63154428713	20.0	0.0
SpastA	TTA	L	G	0.0	0.505434782609	0.142857142857	0.005	0.905	0.952380952381	0.0047619047619	1456.0	-3.77378759975	20.0	0.0
AacerA	CTA	L	G	0.0	0.000207039337474	0.5	0.133333333333	0.0	0.163043478261	0.0217391304348	643.0	0.307034845496	52.0	0.0
CsantA	CTA	L	G	0.0	0.699999896424	0.0833333333333	0.00537634408602	0.801075268817	0.607843137255	0.00326797385621	2073.0	-3.6963572701	52.0	0.0
BarxA	TTA	L	G	0.0	0.511363636364	1.0	0.0185185185185	0.777777777778	0.981818181818	0.0181818181818	442.0	-3.62216624685	20.0	0.0
OanguA	TTA	L	G	0.0	0.560553481498	0.0833333333333	0.0034965034965	0.884615384615	0.871951219512	0.0030487804878	2101.0	-3.78149558454	20.0	0.0
SarboA	TTA	L	G	0.0	0.513513345552	0.142857142857	0.00510204081633	0.913265306122	0.915887850467	0.00467289719626	1456.0	-3.78667223295	20.0	0.0
CcastA	TTA	L	G	0.0	0.00950611888112	0.142857142857	0.00520833333333	0.911458333333	0.936585365854	0.00487804878049	1455.0	-3.8087239375	20.0	0.0
NbaciA	TTA	L	G	0.0	0.502808988764	0.142857142857	0.00531914893617	0.936170212766	0.94472361809	0.00502512562814	1455.0	-3.80684543274	20.0	0.0
LstarA	TTA	L	G	0.0	0.568888740046	0.1	0.00452488687783	0.873303167421	0.859922178988	0.00389105058366	1779.0	-3.7673724068	20.0	0.0
MfariA	TTA	L	G	0.0	0.561872758434	0.0833333333333	0.00357142857143	0.932142857143	0.877742946708	0.00313479623824	2101.0	-3.82790873249	20.0	0.0
CglabA	TTA	L	G	0.0	0.502717391304	0.142857142857	0.00512820512821	0.933333333333	0.975	0.005	1439.0	-3.80064072265	20.0	0.0
ScryoA	TTA	L	G	0.0	0.669999886066	0.142857142857	0.00735294117647	0.720588235294	0.660194174757	0.00485436893204	1454.0	-3.68960557196	20.0	0.0
KlactA	TTA	L	G	0.0	0.505376344086	0.142857142857	0.00507614213198	0.928934010152	0.989949748744	0.00502512562814	1434.0	-3.80780204389	20.0	0.0
PpastA	TTA	L	G	0.0	0.506896381478	0.0833333333333	0.0031746031746	0.904761904762	0.987460815047	0.00313479623824	2101.0	-3.82019740719	20.0	0.0
CcoryA	TTA	L	G	0.0	0.666134070035	0.0833333333333	0.00438596491228	0.912280701754	0.666666666667	0.00292397660819	2101.0	-3.8024357956	20.0	0.0
MtetrA	CTA	L	G	3.0	0.524436051936	0.0909090909091	0.0151515151515	0.878787878788	0.21359223301	0.0	2100.0	-3.71400362021	52.0	0.0
PkluyA	TTA	L	G	0.0	0.519999834278	0.0833333333333	0.00332225913621	0.873754152824	0.961661341853	0.00319488817891	2101.0	-3.79759158619	20.0	0.0
AgossB	CTA	L	G	0.0	1.5178190227e-05	0.4	0.130434782609	0.0869565217391	0.0978723404255	0.0127659574468	1456.0	-0.0811403508772	52.0	0.0
NdelpA	TTA	L	G	0.0	0.508333163584	0.142857142857	0.00523560209424	0.921465968586	0.940886699507	0.00492610837438	1439.0	-3.79518007622	20.0	0.0
SoctoA	TTA	L	G	0.0	0.608107972806	0.142857142857	0.00617283950617	0.70987654321	0.790243902439	0.00487804878049	1454.0	-3.66931032295	20.0	0.0
ScereC	TTA	L	G	0.0	0.510752519257	0.142857142857	0.00505050505051	0.914141414141	0.929577464789	0.00469483568075	1456.0	-3.78519781014	20.0	0.0
ScereA	TTA	L	G	0.0	0.510752519257	0.142857142857	0.00507614213198	0.918781725888	0.929245283019	0.00471698113208	1456.0	-3.78916225475	20.0	0.0
ScereD	TTA	L	G	0.0	0.510752519257	0.142857142857	0.00505050505051	0.914141414141	0.920930232558	0.0046511627907	1456.0	-3.78519781014	20.0	0.0
ScereE	TTA	L	G	0.0	0.508064346286	0.142857142857	0.00502512562814	0.914572864322	0.925581395349	0.0046511627907	1456.0	-3.78623560855	20.0	0.0
CsalmA	TTA	L	G	0.0	0.597769033227	0.25	0.0106007067138	0.791519434629	0.940199335548	0.00996677740864	2098.0	-3.63750358562	20.0	0.0
BcustA	TTA	L	G	0.0	0.524073909759	0.0833333333333	0.00337837837838	0.864864864865	0.951768488746	0.0032154340836	2101.0	-3.77301850973	20.0	0.0
AgossA	CTA	L	G	0.0	1.5178190227e-05	0.4	0.130434782609	0.0869565217391	0.0978723404255	0.0127659574468	1456.0	-0.0811403508772	52.0	0.0
CbohiA	TTA	L	G	0.0	0.524115591326	0.0833333333333	0.0031847133758	0.93949044586	0.948640483384	0.00302114803625	2101.0	-3.83388194808	20.0	0.0

### Alignment improvement:
