### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
SpombA	ATT	I	F	0.0	0.403626091088	0.285714285714	0.0240963855422	0.626506024096	0.572413793103	0.0344827586207	1452.0	0.0247903305377	5.0	0.0
SpombA	ATC	I	F	0.0	0.403626091088	0.166666666667	0.03125	0.46875	0.220689655172	0.0344827586207	1452.0	-0.253062540297	7.0	0.0
SpombA	ATA	I	F	0.0	0.403626091088	0.142857142857	0.0666666666667	0.6	0.206896551724	0.0344827586207	1452.0	0.102145045965	4.0	0.0
CmetaD	ATT	I	F	0.0	0.841888477474	0.0833333333333	0.0165289256198	0.900826446281	0.57345971564	0.00947867298578	2101.0	-0.0348668719435	5.0	0.0
CsantA	ATA	I	F	0.0	0.651402807495	0.166666666667	0.010582010582	0.661375661376	0.828947368421	0.00877192982456	2073.0	-0.152365336734	4.0	0.0
CtropB	ATT	I	F	0.0	0.102893345942	0.0909090909091	0.0344827586207	0.879310344828	0.280193236715	0.00966183574879	2101.0	0.00243536905208	5.0	0.0
CtropA	ATT	I	F	0.0	0.106420486864	0.0909090909091	0.0327868852459	0.885245901639	0.294685990338	0.00966183574879	2101.0	-0.00230578219227	5.0	0.0
WpijpA	ATT	I	F	0.0	0.646825396825	0.142857142857	0.0102040816327	0.897959183673	0.705035971223	0.00719424460432	1456.0	-0.0104547830633	5.0	0.0
CoxycA	ATT	I	F	0.0	0.190886680374	1.0	0.1	0.4	0.434782608696	0.0434782608696	442.0	0.159941662615	5.0	0.0
CsubhA	ATC	I	F	0.0	0.63069560988	0.166666666667	0.0129032258065	0.858064516129	0.846994535519	0.0109289617486	2098.0	-0.0328807806534	7.0	0.0
CsubhB	ATC	I	F	0.0	0.63069560988	0.166666666667	0.0129032258065	0.858064516129	0.846994535519	0.0109289617486	2098.0	-0.0328807806534	7.0	0.0
CcastA	ATT	I	F	0.0	0.0280307155096	0.285714285714	0.0149253731343	0.865671641791	0.853503184713	0.0191082802548	1455.0	0.0238277658596	5.0	0.0
CcastA	ATA	I	F	0.0	0.0280307155096	0.2	0.0588235294118	0.0588235294118	0.108280254777	0.0191082802548	1455.0	0.288473144237	4.0	0.0
