### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
Metaseiulus_occidentalis	CAA	Q	R	0.0	0.568181818182	0.125	0.047619047619	0.857142857143	0.875	0.0416666666667	1280.0	0.671698113208	48.0	0.0	0.0
Paracentrotus	CAA	Q	R	0.0	0.547619047619	0.1	0.0526315789474	0.947368421053	0.904761904762	0.047619047619	1351.0	0.844444444444	48.0	0.0	0.0
Aphrocallistes_vastus	CAA	Q	R	0.0	0.527777777778	0.111111111111	0.0526315789474	0.842105263158	0.95	0.05	1349.0	0.720708446866	48.0	0.0	0.0
Fasciola	CAG	Q	R	0.0	0.65	0.2	0.125	0.75	0.615384615385	0.0769230769231	1332.0	1.13782051282	50.0	0.0	0.0
Versteria_mustelae	CAG	Q	R	0.0	0.227272727273	0.2	0.125	0.5	0.533333333333	0.0666666666667	1328.0	1.09872611465	50.0	0.0	0.0
Euseius_nicholsi	CAG	Q	R	0.0	0.0263157894737	0.5	0.4	0.6	0.227272727273	0.0909090909091	1296.0	1.65463917526	50.0	0.0	0.024
Patiria	CAA	Q	R	0.0	0.645833333333	0.125	0.0588235294118	0.941176470588	0.708333333333	0.0416666666667	1351.0	0.936434108527	48.0	0.0	0.0
Lumbricus	CAA	Q	R	0.0	0.547619047619	0.111111111111	0.05	0.9	0.909090909091	0.0454545454545	1350.0	0.80804150454	48.0	0.0	0.0
Echinococcus_equinus	CAG	Q	R	0.0	0.65	0.142857142857	0.1	0.6	0.714285714286	0.0714285714286	1331.0	0.982142857143	50.0	0.0	0.0
Taenia_crassiceps	CAA	Q	R	0.0	0.590909090909	0.166666666667	0.0909090909091	0.727272727273	0.733333333333	0.0666666666667	1333.0	1.0488372093	48.0	0.0	0.0
Terebratulina	CAG	Q	R	0.0	0.0909090909091	0.25	0.25	0.75	0.148148148148	0.037037037037	1351.0	1.29746835443	50.0	0.0	0.001
Katharina	CAA	Q	R	0.0	0.645833333333	0.111111111111	0.0588235294118	0.941176470588	0.708333333333	0.0416666666667	1348.0	0.937689969605	48.0	0.0	0.0
Balanoglossus	CAA	Q	R	0.0	0.604166666667	0.111111111111	0.0526315789474	0.947368421053	0.791666666667	0.0416666666667	1351.0	0.88275862069	48.0	0.0	0.0
Acropora	CAA	Q	R	0.0	0.666666666667	0.111111111111	0.0625	0.8125	0.666666666667	0.0416666666667	1350.0	0.805324459235	48.0	0.0	0.0
Drosophila	CAA	Q	R	0.0	0.541666666667	0.1	0.0454545454545	0.954545454545	0.916666666667	0.0416666666667	1351.0	0.877088305489	48.0	0.0	0.0
Ciona	CAA	Q	R	0.0	0.611111111111	0.111111111111	0.0714285714286	0.928571428571	0.736842105263	0.0526315789474	1348.0	0.970037453184	48.0	0.0	0.0
Caenorhabditis	CAA	Q	R	3.0	0.588235294118	0.1	0.0625	0.8125	0.842105263158	0.0526315789474	1346.0	0.598412698413	48.0	0.0	0.051
Homo	CAA	Q	R	0.0	0.541666666667	0.2	0.0833333333333	0.875	0.96	0.08	1351.0	0.940152339499	48.0	0.0	0.0
Saccoglossus	CAA	Q	R	0.0	0.5625	0.111111111111	0.047619047619	0.952380952381	0.875	0.0416666666667	1351.0	0.926799007444	48.0	0.0	0.0
