### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
SpombA	GCA	A	Y	1.0	0.611343491056	0.333333333333	0.0909090909091	0.454545454545	0.222222222222	0.0606060606061	1424.0	-1.40665514261	44.0	0.0	0.0
SpombA	GCT	A	Y	1.0	0.611343491056	0.333333333333	0.0588235294118	0.588235294118	0.686868686869	0.0606060606061	1424.0	-1.53496897913	45.0	0.0	0.0
CgallA	GCT	A	Y	0.0	0.72857133486	0.0909090909091	0.0116279069767	0.651162790698	0.544303797468	0.00632911392405	2247.0	-1.87418985894	45.0	0.0	0.0
CsubhA	GCA	A	Y	0.0	0.319672094358	0.111111111111	0.0344827586207	0.862068965517	0.208633093525	0.00719424460432	2244.0	-1.73132075472	44.0	0.0	0.0
CsubhB	GCA	A	Y	0.0	0.319672094358	0.111111111111	0.0344827586207	0.862068965517	0.208633093525	0.00719424460432	2244.0	-1.73132075472	44.0	0.0	0.0
OanguA	GCT	A	Y	6.0	0.696581091825	0.0833333333333	0.0121951219512	0.853658536585	0.594202898551	0.00724637681159	2248.0	-1.9341161122	45.0	0.0	0.046
CphanA	GCT	A	Y	0.0	0.663551285709	0.0833333333333	0.00925925925926	0.657407407407	0.666666666667	0.00617283950617	2247.0	-1.89009891098	45.0	0.0	0.0
ScryoA	GCA	A	Y	0.0	0.9193428208	0.333333333333	0.0625	0.625	0.333333333333	0.0625	1424.0	-1.41664163412	44.0	0.0	0.0
ScryoA	GCT	A	Y	0.0	0.9193428208	0.333333333333	0.0740740740741	0.5	0.5625	0.0625	1424.0	-1.45165303946	45.0	0.0	0.0
CsakeA	GCT	A	Y	0.0	0.710083933519	0.0909090909091	0.013698630137	0.931506849315	0.5703125	0.0078125	2207.0	-1.94622852875	45.0	0.0	0.0
SjapoA	GCT	A	Y	0.0	0.604166530004	0.166666666667	0.016393442623	0.606557377049	0.782051282051	0.0128205128205	1423.0	-1.89600126442	45.0	0.0	0.0
CcoryA	GCT	A	Y	10.0	0.666666551582	0.0769230769231	0.0105263157895	0.873684210526	0.659722222222	0.00694444444444	2250.0	-1.92070637119	45.0	0.0	0.046
PkluyA	GCA	A	Y	7.0	0.716346055914	0.111111111111	0.0131578947368	0.763157894737	0.59375	0.0078125	2247.0	-1.91926325994	44.0	0.0	0.051
YlipoB	GCT	A	Y	0.0	0.700934476186	0.0833333333333	0.0102040816327	0.642857142857	0.6125	0.00625	2247.0	-1.85283804515	45.0	0.0	0.0
YlipoA	GCT	A	Y	0.0	0.700934476186	0.0833333333333	0.0102040816327	0.642857142857	0.6125	0.00625	2247.0	-1.85283804515	45.0	0.0	0.0
CalimA	GCT	A	Y	1.0	0.669811206756	0.0833333333333	0.00917431192661	0.633027522936	0.67701863354	0.00621118012422	2247.0	-1.92132360292	45.0	0.0	0.0
CchauA	GCA	A	Y	10.0	0.235999965475	0.1	0.037037037037	0.888888888889	0.188811188811	0.00699300699301	2250.0	-1.73916438891	44.0	0.0	0.06
SoctoA	GCT	A	Y	0.0	0.0920367320509	0.333333333333	0.0588235294118	0.544117647059	0.69387755102	0.0510204081633	1425.0	-1.48632950843	45.0	0.0	0.0
SoctoA	GCG	A	Y	0.0	0.0920367320509	1.0	1.0	0.0	0.0102040816327	0.0510204081633	1425.0	3.52	46.0	0.0	0.082
CdefoA	GCT	A	Y	0.0	0.721698017123	0.0909090909091	0.0113636363636	0.659090909091	0.55	0.00625	2247.0	-1.89146236294	45.0	0.0	0.0
ClusiA	GCT	A	Y	0.0	0.686507828274	0.0909090909091	0.0120481927711	0.939759036145	0.614814814815	0.00740740740741	2250.0	-1.89736223557	45.0	0.0	0.0
