### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction	probability
Paracentrotus	CAA	Q	R	0.0	0.555555555556	0.166666666667	0.0625	0.9375	0.888888888889	0.0555555555556	990.0	1.01373626374	48.0	0.0	0.001
Fasciola	CAG	Q	R	0.0	0.642857142857	0.25	0.166666666667	0.666666666667	0.666666666667	0.111111111111	924.0	1.24647887324	50.0	0.0	0.001
Patiria	CAA	Q	R	0.0	0.55	0.166666666667	0.0526315789474	0.894736842105	0.904761904762	0.047619047619	990.0	0.885057471264	48.0	0.0	0.001
Lumbricus	CAA	Q	R	0.0	0.533333333333	0.2	0.0625	0.8125	0.941176470588	0.0588235294118	988.0	0.85595567867	48.0	0.0	0.001
Halocynthia	CAA	Q	R	0.0	0.730769230769	0.2	0.142857142857	0.857142857143	0.5	0.0714285714286	973.0	1.1875	48.0	0.0	0.001
Acropora	CAA	Q	R	0.0	0.625	0.2	0.0666666666667	0.733333333333	0.714285714286	0.047619047619	989.0	0.896449704142	48.0	0.0	0.001
Balanoglossus	CAA	Q	R	0.0	0.65	0.166666666667	0.0666666666667	0.866666666667	0.714285714286	0.047619047619	990.0	0.898507462687	48.0	0.0	0.001
Drosophila	CAA	Q	R	0.0	0.0465110905604	0.166666666667	0.0526315789474	0.894736842105	1.0	0.0526315789474	990.0	0.993119266055	48.0	0.0	0.132
Ciona	CAA	Q	R	0.0	0.576923076923	0.166666666667	0.0909090909091	0.909090909091	0.785714285714	0.0714285714286	979.0	1.02723735409	48.0	0.0	0.001
Saccoglossus	CAA	Q	R	0.0	0.631578947368	0.166666666667	0.0666666666667	0.866666666667	0.75	0.05	989.0	1.0231884058	48.0	0.0	0.001
Homo	CAA	Q	R	0.0	0.602339181287	0.333333333333	0.1	0.75	0.909090909091	0.0909090909091	988.0	0.984547461369	48.0	0.0	0.001
