### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
SpombA	TTC	F	R	0.0	0.672839506173	0.142857142857	0.0131578947368	0.684210526316	0.638655462185	0.00840336134454	1424.0	-2.57378286577	23.0	0.0	0.0
WmucoA	TTT	F	R	0.0	0.675373134328	0.0769230769231	0.00961538461538	0.826923076923	0.654088050314	0.0062893081761	2246.0	-2.77229845626	21.0	0.0	0.0
CgallA	TTT	F	R	0.0	0.0662271501349	0.153846153846	0.0285714285714	0.714285714286	0.391061452514	0.0111731843575	2247.0	-2.54833256493	21.0	0.0	0.0
MstarA	TTT	F	R	0.0	0.62015503876	0.0769230769231	0.00787401574803	0.763779527559	0.760479041916	0.0059880239521	2249.0	-2.68236912232	21.0	0.0	0.0
CphanA	TTT	F	R	0.0	0.214285714286	0.0769230769231	0.012987012987	0.766233766234	0.445086705202	0.00578034682081	2247.0	-2.6778401122	21.0	0.0	0.0
ScryoA	TTC	F	R	0.0	0.645569620253	0.166666666667	0.0128205128205	0.705128205128	0.672413793103	0.00862068965517	1424.0	-2.56363191385	23.0	0.0	0.0
CzempA	TTC	F	R	0.0	0.164772727273	0.142857142857	0.025641025641	0.717948717949	0.325	0.00833333333333	1428.0	-2.55785123967	23.0	0.0	0.0
SjapoA	TTC	F	R	0.0	0.690476190476	0.166666666667	0.0133333333333	0.68	0.563909774436	0.00751879699248	1423.0	-2.53678929766	23.0	0.0	0.0
MmagnB	TTC	F	R	0.0	0.55	0.0769230769231	0.00636942675159	0.738853503185	0.912790697674	0.00581395348837	2249.0	-2.67447068404	23.0	0.0	0.0
MmagnA	TTC	F	R	0.0	0.546153846154	0.0769230769231	0.00636942675159	0.745222929936	0.912790697674	0.00581395348837	2249.0	-2.68041796716	23.0	0.0	0.0
MtetrA	TTC	F	R	0.0	0.530534351145	0.0769230769231	0.00613496932515	0.748466257669	0.942196531792	0.00578034682081	2248.0	-2.6906568961	23.0	0.0	0.0
YlipoB	TTT	F	R	0.0	0.177304964539	0.0833333333333	0.0147058823529	0.720588235294	0.38418079096	0.00564971751412	2247.0	-2.62660875161	21.0	0.0	0.0
YlipoA	TTT	F	R	0.0	0.177304964539	0.0833333333333	0.0147058823529	0.720588235294	0.38418079096	0.00564971751412	2247.0	-2.62660875161	21.0	0.0	0.0
CalimA	TTC	F	R	0.0	0.648936170213	0.0769230769231	0.00854700854701	0.837606837607	0.672413793103	0.00574712643678	2247.0	-2.75256655646	23.0	0.0	0.0
SoctoA	TTC	F	R	0.0	0.754290876242	0.166666666667	0.0147058823529	0.691176470588	0.576271186441	0.0169491525424	1425.0	-2.55348380765	23.0	0.0	0.0
SoctoA	TTT	F	R	0.0	0.754290876242	0.166666666667	0.02	0.66	0.423728813559	0.0169491525424	1425.0	-2.53931936166	21.0	0.0	0.0
CdefoA	TTT	F	R	0.0	0.185714285714	0.0833333333333	0.0144927536232	0.739130434783	0.394285714286	0.00571428571429	2247.0	-2.65862391034	21.0	0.0	0.0
MingeA	TTT	F	R	0.0	0.625	0.0769230769231	0.008	0.76	0.753012048193	0.00602409638554	2249.0	-2.6744206157	21.0	0.0	0.0
