### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
LmeyeA	AAT	N	G	0.0	0.548076923077	0.166666666667	0.02	0.92	0.909090909091	0.0181818181818	1429.0	-0.158718046547	1.0	0.0	0.0
SpombA	AAT	N	G	0.0	0.544444444444	0.5	0.0689655172414	0.689655172414	0.878787878788	0.0606060606061	1424.0	-0.0374155266194	1.0	0.0	0.0
WmucoA	AAC	N	G	0.0	0.161971830986	0.125	0.04	0.88	0.294117647059	0.0117647058824	2246.0	-0.143407864302	3.0	0.0	0.0
AacerA	AAT	N	G	0.0	0.52380952381	0.5	0.047619047619	0.904761904762	0.954545454545	0.0454545454545	630.0	-0.126532399299	1.0	0.0	0.013
CgallA	AAT	N	G	0.0	0.728260869565	0.153846153846	0.0322580645161	0.790322580645	0.738095238095	0.0238095238095	2247.0	-0.111635220126	1.0	0.0	0.0
CsantA	AAT	N	G	0.0	0.477343332699	0.25	0.0545454545455	0.8	0.654761904762	0.0595238095238	2220.0	0.0065489184362	1.0	0.0	0.0
CsantA	AAC	N	G	0.0	0.477343332699	0.222222222222	0.0689655172414	0.655172413793	0.345238095238	0.0595238095238	2220.0	-0.0182534001432	3.0	0.0	0.0
WpijpA	AAC	N	G	0.0	0.632653061225	0.142857142857	0.027027027027	0.945945945946	0.711538461538	0.0192307692308	1429.0	-0.0582924941965	3.0	0.0	0.0
BarxA	AAT	N	G	0.0	0.649122807018	1.0	0.111111111111	0.777777777778	0.857142857143	0.0952380952381	434.0	0.30303030303	1.0	0.0	0.038
CsubhA	AAC	N	G	0.0	0.514925373134	0.0909090909091	0.0149253731343	0.955223880597	0.971014492754	0.0144927536232	2244.0	-0.107320099256	3.0	0.0	0.0
CsubhB	AAC	N	G	0.0	0.514925373134	0.0909090909091	0.0149253731343	0.955223880597	0.971014492754	0.0144927536232	2244.0	-0.107320099256	3.0	0.0	0.0
OanguA	AAT	N	G	0.0	0.283911325724	0.166666666667	0.0294117647059	0.779411764706	0.809523809524	0.0357142857143	2248.0	-0.162518066485	1.0	0.0	0.0
OanguA	AAC	N	G	0.0	0.283911325724	0.166666666667	0.0625	0.75	0.190476190476	0.0357142857143	2248.0	0.152542372881	3.0	0.0	0.0
CalaiA	AAT	N	G	0.0	0.543459174715	0.2	0.0285714285714	0.9	0.958904109589	0.027397260274	2056.0	-0.0315070619277	1.0	0.0	0.0
KtherA	AAC	N	G	0.0	0.0769230769231	0.25	0.125	0.875	0.145454545455	0.0181818181818	1429.0	0.3243873979	3.0	0.0	0.0
CblacA	AAT	N	G	0.0	0.602339181287	1.0	0.117647058824	0.882352941176	0.894736842105	0.105263157895	434.0	0.388770053476	1.0	0.0	0.038
CnorvA	AAT	N	G	0.0	0.540525114155	0.153846153846	0.0224719101124	0.76404494382	0.967391304348	0.0217391304348	2249.0	-0.363433943592	1.0	0.0	0.0
MstarA	AAT	N	G	0.0	0.507352941176	0.0833333333333	0.0126582278481	0.835443037975	0.975308641975	0.0123456790123	2249.0	-0.217875577289	1.0	0.0	0.0
NbaciA	AAT	N	G	0.0	0.549019607843	0.142857142857	0.0196078431373	0.882352941176	0.910714285714	0.0178571428571	1428.0	-0.119626168224	1.0	0.0	0.0
MfariA	AAT	N	G	0.0	0.623287671233	0.0833333333333	0.0175438596491	0.947368421053	0.730769230769	0.0128205128205	2248.0	-0.0190548780488	1.0	0.0	0.0
MfariB	AAT	N	G	0.0	0.605263157895	0.0909090909091	0.0153846153846	0.907692307692	0.802469135802	0.0123456790123	2250.0	-0.141129700182	1.0	0.0	0.0
LanspB	AAT	N	G	0.0	0.548076923077	0.166666666667	0.02	0.92	0.909090909091	0.0181818181818	1429.0	-0.159649457039	1.0	0.0	0.0
CphanA	AAT	N	G	0.0	0.264705882353	0.0769230769231	0.015625	0.765625	0.761904761905	0.0238095238095	2247.0	-0.223637289862	1.0	0.0	0.0
CphanA	AAC	N	G	0.0	0.264705882353	0.142857142857	0.05	0.85	0.238095238095	0.0238095238095	2247.0	0.0557749259625	3.0	0.0	0.0
ScryoA	AAT	N	G	0.0	0.416490486258	0.166666666667	0.0243902439024	0.658536585366	0.621212121212	0.0454545454545	1424.0	-0.384039316639	1.0	0.0	0.0
ScryoA	AAC	N	G	0.0	0.416490486258	0.285714285714	0.08	0.56	0.378787878788	0.0454545454545	1424.0	-0.0976353928299	3.0	0.0	0.0
CsakeA	AAT	N	G	0.0	0.635087719298	0.0833333333333	0.0298507462687	0.940298507463	0.858974358974	0.025641025641	2207.0	0.0257428889242	1.0	0.0	0.0
HuvarA	AAT	N	G	0.0	0.811051115646	0.333333333333	0.0689655172414	0.586206896552	0.453125	0.0625	1361.0	-0.690089492874	1.0	0.0	0.0
HuvarA	AAC	N	G	0.0	0.811051115646	0.333333333333	0.0571428571429	0.657142857143	0.546875	0.0625	1361.0	-0.403375068046	3.0	0.0	0.0
CjiufA	AAT	N	G	0.0	0.68	0.1	0.02	0.94	0.649350649351	0.012987012987	2231.0	-0.102429415627	1.0	0.0	0.0
CzempA	AAT	N	G	0.0	0.00101542248954	0.428571428571	0.046875	0.703125	1.0	0.046875	1428.0	-0.170903110048	1.0	0.0	0.016
SjapoA	AAT	N	G	0.0	0.698978919631	0.571428571429	0.1	0.514285714286	0.958904109589	0.0958904109589	1423.0	-0.0400054802028	1.0	0.0	0.0
CsaraA	AAT	N	G	0.0	0.590707145502	0.166666666667	0.0281690140845	0.915492957746	0.910256410256	0.025641025641	2249.0	-0.0491459394666	1.0	0.0	0.0
CsuavA	AAC	N	G	0.0	0.150684931507	0.111111111111	0.0434782608696	0.913043478261	0.258426966292	0.0112359550562	2250.0	0.042027729636	3.0	0.0	0.0
PkluyA	AAT	N	G	0.0	0.774922180541	0.181818181818	0.0357142857143	0.821428571429	0.691358024691	0.037037037037	2247.0	-0.108773322747	1.0	0.0	0.0
PkluyA	AAC	N	G	0.0	0.774922180541	0.111111111111	0.04	0.76	0.308641975309	0.037037037037	2247.0	-0.0226262626263	3.0	0.0	0.0
PcanaA	AAT	N	G	0.0	0.535714285714	0.0833333333333	0.0120481927711	0.771084337349	0.943181818182	0.0113636363636	2250.0	-0.368947579032	1.0	0.0	0.0
