### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
Caenorhabditis	ATT	I	W	0.0	0.0240045739786	0.166666666667	0.0172413793103	0.413793103448	0.585858585859	0.0252525252525	1865.0	-2.11565656566	5.0	0.0
Caenorhabditis	ATC	I	W	0.0	0.0240045739786	0.333333333333	0.142857142857	0.285714285714	0.0707070707071	0.0252525252525	1865.0	-1.00843881857	7.0	0.0
Caenorhabditis	ATA	I	W	0.0	0.0240045739786	0.0833333333333	0.0147058823529	0.0882352941176	0.343434343434	0.0252525252525	1865.0	-1.84313171283	4.0	0.0
Schistosoma	ATA	I	W	0.0	0.735848965405	0.0833333333333	0.0133333333333	0.36	0.510204081633	0.00680272108844	1800.0	-2.17751633987	4.0	0.0
Fasciola	ATT	I	W	0.0	0.614285714286	0.0833333333333	0.0133333333333	0.346666666667	0.707547169811	0.00943396226415	1825.0	-2.21361746362	5.0	0.0
Dunaliella_salina	ATT	I	W	0.0	0.605769094659	0.142857142857	0.0153846153846	0.615384615385	0.70652173913	0.0108695652174	1392.0	-2.32653664303	5.0	0.0
Patiria	ATA	I	W	0.0	0.75974017679	0.0833333333333	0.0123456790123	0.444444444444	0.50625	0.00625	1926.0	-2.23521060104	4.0	0.0
Mesostigma_viride	ATT	I	W	0.0	0.609090774128	0.0909090909091	0.00934579439252	0.794392523364	0.769784172662	0.00719424460432	1873.0	-2.54411500449	5.0	0.0
Lumbricus	ATT	I	W	0.0	0.646666544677	0.0833333333333	0.0113636363636	0.590909090909	0.433497536946	0.00492610837438	1920.0	-2.3936921041	5.0	0.0
Limulus	ATC	I	W	0.0	0.0948944031067	0.125	0.0232558139535	0.441860465116	0.187772925764	0.00873362445415	1919.0	-2.12791741472	7.0	0.0
Limulus	ATA	I	W	0.0	0.0948944031067	0.0769230769231	0.0133333333333	0.133333333333	0.327510917031	0.00873362445415	1919.0	-1.75366492147	4.0	0.0
Polytoma_uvella	ATC	I	W	0.0	0.659574468085	0.142857142857	0.0153846153846	0.476923076923	0.792682926829	0.0121951219512	1394.0	-2.33649570116	7.0	0.0
Terebratulina	ATT	I	W	0.0	0.835334141721	0.0909090909091	0.0161290322581	0.451612903226	0.322916666667	0.015625	1915.0	-2.31544665012	5.0	0.0
Terebratulina	ATC	I	W	0.0	0.835334141721	0.166666666667	0.0277777777778	0.458333333333	0.375	0.015625	1915.0	-2.14502575224	7.0	0.0
Chlamydomonas_reinhardtii	ATT	I	W	0.0	0.307692307692	0.166666666667	0.0188679245283	0.660377358491	0.679487179487	0.025641025641	1389.0	-2.43235504653	5.0	0.0
Chlamydomonas_reinhardtii	ATC	I	W	0.0	0.307692307692	0.142857142857	0.04	0.6	0.320512820513	0.025641025641	1389.0	-2.04415182029	7.0	0.0
Trichinella	ATT	I	W	0.0	0.00846348215552	0.0769230769231	0.0161290322581	0.387096774194	0.298076923077	0.0240384615385	1883.0	-2.37472834523	5.0	0.0
Trichinella	ATA	I	W	0.0	0.00846348215552	0.25	0.046511627907	0.104651162791	0.413461538462	0.0240384615385	1883.0	-1.36499659941	4.0	0.0
Chromochloris_zofingiensis	ATT	I	W	2.0	0.194999963748	0.0909090909091	0.02	0.4	0.862068965517	0.0344827586207	1522.0	-2.26830218069	5.0	0.0
Chromochloris_zofingiensis	ATC	I	W	2.0	0.194999963748	0.25	0.166666666667	0.333333333333	0.103448275862	0.0344827586207	1522.0	-0.381107491857	7.0	0.0
Balanoglossus	ATT	I	W	0.0	0.316176407122	0.0909090909091	0.027027027027	0.648648648649	0.316239316239	0.00854700854701	1926.0	-2.25597450876	5.0	0.0
Drosophila	ATT	I	W	0.0	0.237553241971	0.142857142857	0.0134228187919	0.510067114094	0.628691983122	0.0126582278481	1919.0	-2.34381496881	5.0	0.0
Drosophila	ATA	I	W	0.0	0.237553241971	0.0769230769231	0.0121951219512	0.0731707317073	0.345991561181	0.0126582278481	1919.0	-1.78313828517	4.0	0.0
Myxine	ATT	I	W	0.0	0.19210534918	0.166666666667	0.027397260274	0.493150684932	0.320175438596	0.0131578947368	1919.0	-2.18339920949	5.0	0.0
Myxine	ATA	I	W	0.0	0.19210534918	0.0909090909091	0.0120481927711	0.0963855421687	0.364035087719	0.0131578947368	1919.0	-1.77138196225	4.0	0.0
Epigonichthys	ATT	I	W	0.0	0.216744890155	0.0909090909091	0.0128205128205	0.551282051282	0.4875	0.0125	1918.0	-2.41036554832	5.0	0.0
Epigonichthys	ATA	I	W	0.0	0.216744890155	0.0909090909091	0.0196078431373	0.137254901961	0.31875	0.0125	1918.0	-1.64759378552	4.0	0.0
Homo	ATA	I	W	0.0	0.0561797558846	0.0833333333333	0.0161290322581	0.145161290323	0.284403669725	0.0045871559633	1920.0	-1.62831306517	4.0	0.0

### Alignment improvement:
