### Random Forest prediction
genome	codon	ori_aa	rea_aa	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
Paracentrotus	ATT	I	P	0.76811586197	0.111111111111	0.0222222222222	0.688888888889	0.463917525773	0.0103092783505	1452.0	-2.6766798419	5.0	0
Schistosoma	ATT	I	P	0.835704068454	0.111111111111	0.0227272727273	0.272727272727	0.423076923077	0.0288461538462	1212.0	-2.29921259843	5.0	0
Schistosoma	ATA	I	P	0.835704068454	0.25	0.037037037037	0.37037037037	0.519230769231	0.0288461538462	1212.0	-2.37058445729	4.0	0
Fasciola	ATA	I	P	0.014358974359	0.428571428571	0.136363636364	0.272727272727	0.293333333333	0.04	1299.0	-1.62479871176	4.0	1
Halocynthia	ATT	I	P	0.758345344725	0.25	0.0377358490566	0.660377358491	0.576086956522	0.0217391304348	1343.0	-2.44230769231	5.0	0
Limulus	ATC	I	P	0.029299840436	0.142857142857	0.0333333333333	0.5	0.201342281879	0.0134228187919	1439.0	-2.51137724551	7.0	0
Limulus	ATA	I	P	0.029299840436	0.1	0.025	0.15	0.268456375839	0.0134228187919	1439.0	-2.46374216652	4.0	0
Caenorhabditis	ATT	I	P	0.0518038721967	0.0909090909091	0.0120481927711	0.481927710843	0.638461538462	0.0153846153846	1322.0	-2.58929318277	5.0	0
Caenorhabditis	ATA	I	P	0.0518038721967	0.111111111111	0.0263157894737	0.0263157894737	0.292307692308	0.0153846153846	1322.0	-2.29555757026	4.0	0
Axinella	ATT	I	P	0.777777701055	0.0833333333333	0.0192307692308	0.596153846154	0.472727272727	0.00909090909091	1448.0	-2.62449255751	5.0	0
Terebratulina	ATT	I	P	0.245613962403	0.1	0.0204081632653	0.469387755102	0.368421052632	0.00751879699248	1431.0	-2.5726618705	5.0	0
Jbahamiensis	ATT	I	P	0.738917215913	0.181818181818	0.0253164556962	0.607594936709	0.718181818182	0.0181818181818	1435.0	-2.56798930004	5.0	0
Bfloridae	ATC	I	P	0.233333275791	0.25	0.0909090909091	0.818181818182	0.244444444444	0.0222222222222	793.0	-2.24159021407	7.0	0
Katharina	ATC	I	P	0.15909088032	0.142857142857	0.0555555555556	0.555555555556	0.155172413793	0.00862068965517	1441.0	-2.57803468208	7.0	0
Geodia	ATT	I	P	0.723880501684	0.0909090909091	0.02	0.72	0.467289719626	0.00934579439252	1451.0	-2.68616262482	5.0	0
Metridium	ATA	I	P	0.282608653121	0.1	0.04	0.64	0.240384615385	0.00961538461538	1453.0	-2.65690376569	4.0	0
Acropora	ATT	I	P	0.720588138826	0.0909090909091	0.0185185185185	0.685185185185	0.574468085106	0.0106382978723	1452.0	-2.68766233766	5.0	0
Trichinella	ATA	I	P	0.0135265653782	0.25	0.0344827586207	0.103448275862	0.405594405594	0.013986013986	1246.0	-2.32889158086	4.0	0
Myxine	ATA	I	P	0.0597014719251	0.111111111111	0.0217391304348	0.152173913043	0.326241134752	0.00709219858156	1409.0	-2.59208523592	4.0	0
Ciona	ATT	I	P	0.00617678630293	0.1	0.0108695652174	0.510869565217	0.609271523179	0.0331125827815	1353.0	-2.65579302587	5.0	0
Ciona	ATC	I	P	0.00617678630293	0.142857142857	0.166666666667	0.333333333333	0.0794701986755	0.0331125827815	1353.0	-1.09195402299	7.0	1
Ciona	ATA	I	P	0.00617678630293	0.181818181818	0.0425531914894	0.127659574468	0.311258278146	0.0331125827815	1353.0	-2.38472942921	4.0	0
Blanceolatum	ATC	I	P	0.148148148148	0.2	0.0833333333333	0.583333333333	0.279069767442	0.0232558139535	788.0	-2.46220930233	7.0	0
Epigonichthys	ATT	I	P	0.691780715504	0.111111111111	0.0172413793103	0.758620689655	0.537037037037	0.00925925925926	1450.0	-2.70718232044	5.0	0

### Alignment improvement:
ATC	Pro	1.12e-01
ATA	Pro	1.11e-02
