### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
SpombA	TTC	F	C	0.0	0.672839506173	0.142857142857	0.0131578947368	0.684210526316	0.638655462185	0.00840336134454	1424.0	-1.74990564851	23.0	0.0	0.0
CgigaA	TTC	F	C	0.0	0.553846153846	0.0833333333333	0.00806451612903	0.927419354839	0.898550724638	0.00724637681159	2002.0	-1.85340008344	23.0	0.0	0.0
CsantA	TTT	F	C	0.0	0.602678571429	0.0769230769231	0.00917431192661	0.807339449541	0.784172661871	0.00719424460432	2220.0	-1.8225727919	21.0	0.0	0.0
CtropB	TTC	F	C	0.0	0.606896551724	0.0769230769231	0.00813008130081	0.918699186992	0.798701298701	0.00649350649351	2250.0	-1.87198088248	23.0	0.0	0.0
CtropA	TTC	F	C	0.0	0.603448275862	0.0769230769231	0.00806451612903	0.91935483871	0.805194805195	0.00649350649351	2250.0	-1.87748540486	23.0	0.0	0.0
CalaiA	TTT	F	C	0.0	0.618320610687	0.0909090909091	0.00925925925926	0.916666666667	0.760563380282	0.00704225352113	2056.0	-1.86277241517	21.0	0.0	0.0
CviswA	TTC	F	C	0.0	0.197183098592	0.0769230769231	0.015873015873	0.873015873016	0.403846153846	0.00641025641026	2249.0	-1.81862986693	23.0	0.0	0.0
CtetrA	TTC	F	C	0.0	0.72027972028	0.0769230769231	0.0117647058824	0.929411764706	0.555555555556	0.00653594771242	2249.0	-1.88421955403	23.0	0.0	0.0
CbohiA	TTT	F	C	0.0	0.631944444445	0.0833333333333	0.00884955752212	0.929203539823	0.738562091503	0.00653594771242	2250.0	-1.84279557804	21.0	0.0	0.0
LstarA	TTC	F	C	0.0	0.221698113208	0.1	0.0161290322581	0.741935483871	0.402597402597	0.00649350649351	1834.0	-1.72331815883	23.0	0.0	0.0
CsojaA	TTC	F	C	0.0	0.225806451613	0.125	0.0232558139535	0.953488372093	0.438775510204	0.0102040816327	1498.0	-1.81523855891	23.0	0.0	0.0
ScryoA	TTC	F	C	0.0	0.645569620253	0.166666666667	0.0128205128205	0.705128205128	0.672413793103	0.00862068965517	1424.0	-1.77765540871	23.0	0.0	0.0
CneerA	TTC	F	C	0.0	0.244827586207	0.0833333333333	0.0138888888889	0.972222222222	0.461538461538	0.00641025641026	2249.0	-1.84395355423	23.0	0.0	0.0
HuvarA	TTC	F	C	0.0	0.705128205128	0.166666666667	0.0175438596491	0.789473684211	0.564356435644	0.00990099009901	1361.0	-1.80348759222	23.0	0.0	0.0
CjiufA	TTC	F	C	0.0	0.243055555556	0.0833333333333	0.0131578947368	0.907894736842	0.487179487179	0.00641025641026	2231.0	-1.84490934449	23.0	0.0	0.0
CzempA	TTT	F	C	0.0	0.766343207354	0.285714285714	0.0246913580247	0.728395061728	0.675	0.0166666666667	1428.0	-1.60166270784	21.0	0.0	0.0
CmetaB	TTC	F	C	0.0	0.246478873239	0.0909090909091	0.0131578947368	0.907894736842	0.5	0.00657894736842	2250.0	-1.84776159655	23.0	0.0	0.0
CmetaC	TTC	F	C	0.0	0.246478873239	0.0909090909091	0.0131578947368	0.907894736842	0.5	0.00657894736842	2250.0	-1.84776159655	23.0	0.0	0.0
CmetaA	TTC	F	C	0.0	0.246478873239	0.0909090909091	0.0131578947368	0.907894736842	0.5	0.00657894736842	2250.0	-1.84776159655	23.0	0.0	0.0
CmetaF	TTC	F	C	0.0	0.246478873239	0.0909090909091	0.0131578947368	0.907894736842	0.5	0.00657894736842	2250.0	-1.84776159655	23.0	0.0	0.0
CfrijA	TTC	F	C	0.0	0.189655172414	0.0909090909091	0.0172413793103	0.931034482759	0.381578947368	0.00657894736842	2249.0	-1.8421961326	23.0	0.0	0.0
CmetaD	TTC	F	C	0.0	0.246478873239	0.0909090909091	0.0131578947368	0.907894736842	0.5	0.00657894736842	2250.0	-1.84776159655	23.0	0.0	0.0
CmetaE	TTC	F	C	0.0	0.246478873239	0.0909090909091	0.0131578947368	0.907894736842	0.5	0.00657894736842	2250.0	-1.84776159655	23.0	0.0	0.0
SjapoA	TTC	F	C	0.0	0.690476190476	0.166666666667	0.0133333333333	0.68	0.563909774436	0.00751879699248	1423.0	-1.75791098534	23.0	0.0	0.0
CalbiC	TTC	F	C	0.0	0.711267605634	0.0833333333333	0.0117647058824	0.952941176471	0.570469798658	0.00671140939597	2250.0	-1.86933562569	23.0	0.0	0.0
CalbiB	TTC	F	C	0.0	0.711267605634	0.0833333333333	0.0117647058824	0.952941176471	0.570469798658	0.00671140939597	2250.0	-1.86933562569	23.0	0.0	0.0
CparaA	TTC	F	C	0.0	0.175675675676	0.1	0.0238095238095	0.904761904762	0.35	0.00833333333333	1816.0	-1.79083094556	23.0	0.0	0.0
CcoryA	TTC	F	C	0.0	0.231617647059	0.0833333333333	0.0147058823529	0.911764705882	0.472222222222	0.00694444444444	2250.0	-1.84540410856	23.0	0.0	0.0
CparaC	TTC	F	C	0.0	0.181818181818	0.0909090909091	0.0178571428571	0.910714285714	0.366013071895	0.00653594771242	2250.0	-1.82766313441	23.0	0.0	0.0
CparaB	TTC	F	C	0.0	0.181818181818	0.0909090909091	0.0178571428571	0.910714285714	0.366013071895	0.00653594771242	2250.0	-1.82766313441	23.0	0.0	0.0
CparaE	TTC	F	C	0.0	0.181818181818	0.0909090909091	0.0178571428571	0.910714285714	0.366013071895	0.00653594771242	2250.0	-1.82766313441	23.0	0.0	0.0
CparaD	TTC	F	C	0.0	0.181818181818	0.0909090909091	0.0178571428571	0.910714285714	0.366013071895	0.00653594771242	2250.0	-1.82766313441	23.0	0.0	0.0
CparaF	TTC	F	C	0.0	0.181818181818	0.0909090909091	0.0178571428571	0.910714285714	0.366013071895	0.00653594771242	2250.0	-1.82766313441	23.0	0.0	0.0
CsaraA	TTC	F	C	0.0	0.158450704225	0.0909090909091	0.02	0.88	0.316455696203	0.00632911392405	2249.0	-1.79892205638	23.0	0.0	0.0
LelonA	TTC	F	C	0.0	0.667832167832	0.0769230769231	0.00943396226415	0.88679245283	0.683870967742	0.00645161290323	2249.0	-1.85506385506	23.0	0.0	0.0
CchauA	TTC	F	C	0.0	0.207407407407	0.0833333333333	0.016393442623	0.901639344262	0.429577464789	0.00704225352113	2250.0	-1.84675902172	23.0	0.0	0.0
SoctoA	TTC	F	C	0.0	0.703703703704	0.166666666667	0.0147058823529	0.691176470588	0.576271186441	0.00847457627119	1425.0	-1.73727744287	23.0	0.0	0.0
CbuenA	TTT	F	C	0.0	0.736111111111	0.0909090909091	0.0120481927711	0.903614457831	0.535483870968	0.00645161290323	2248.0	-1.82196382429	21.0	0.0	0.0
CorthB	TTC	F	C	0.0	0.22027972028	0.0833333333333	0.0147058823529	0.911764705882	0.450331125828	0.00662251655629	2250.0	-1.83910295003	23.0	0.0	0.0
CorthC	TTC	F	C	0.0	0.20979020979	0.0833333333333	0.0153846153846	0.907692307692	0.430463576159	0.00662251655629	2250.0	-1.83200375411	23.0	0.0	0.0
CorthA	TTC	F	C	0.0	0.227272727273	0.0833333333333	0.0142857142857	0.914285714286	0.46357615894	0.00662251655629	2250.0	-1.84042241126	23.0	0.0	0.0
DhansA	TTC	F	C	0.0	0.243150684931	0.0769230769231	0.0131578947368	0.921052631579	0.466257668712	0.00613496932515	2250.0	-1.87798553296	23.0	0.0	0.0
CsalmA	TTT	F	C	0.0	0.640350877193	0.0833333333333	0.00909090909091	0.736363636364	0.709677419355	0.00645161290323	2153.0	-1.75070408857	21.0	0.0	0.0
CtheaA	TTC	F	C	0.0	0.234265734266	0.0909090909091	0.0140845070423	0.929577464789	0.470198675497	0.00662251655629	2250.0	-1.86335855646	23.0	0.0	0.0
CmaltA	TTT	F	C	0.0	0.63986013986	0.0833333333333	0.00869565217391	0.886956521739	0.727848101266	0.00632911392405	2250.0	-1.85939216404	21.0	0.0	0.0
