### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction	probability
Schistosoma	AAG	K	Q	0.0	0.5625	0.25	0.0833333333333	0.5	0.6	0.05	920.0	0.430604982206	2.0	0.0	0.009
Fasciola	AAG	K	Q	0.0	3.00876592275e-05	0.25	0.181818181818	0.545454545455	0.846153846154	0.153846153846	924.0	1.13846153846	2.0	0.0	0.183
Lumbricus	AAG	K	Q	0.0	0.75	0.5	0.333333333333	0.666666666667	0.333333333333	0.222222222222	988.0	1.78082191781	2.0	0.0	0.026
Lumbricus	AAA	K	Q	0.0	0.75	0.333333333333	0.166666666667	0.833333333333	0.666666666667	0.222222222222	988.0	1.33802816901	0.0	0.0	0.412
Halocynthia	AAG	K	Q	0.0	0.666666666667	0.333333333333	0.1	0.5	0.625	0.0625	973.0	0.418032786885	2.0	0.0	0.009
Caenorhabditis	AAA	K	Q	0.0	0.590909090909	0.4	0.111111111111	0.444444444444	0.9	0.1	969.0	0.671328671329	0.0	0.0	0.462
Axinella	AAG	K	Q	0.0	0.0833333333333	1.0	0.5	0.0	0.117647058824	0.117647058824	988.0	0.52	2.0	0.0	0.256
Axinella	AAA	K	Q	0.0	0.0833333333333	0.25	0.0666666666667	0.666666666667	0.882352941176	0.117647058824	988.0	0.725714285714	0.0	0.0	0.425
Geodia	AAA	K	Q	0.0	0.607142857143	0.25	0.176470588235	0.588235294118	0.894736842105	0.157894736842	990.0	0.9675	0.0	0.0	0.291
Myxine	AAA	K	Q	0.0	0.0123942170711	0.333333333333	0.0666666666667	0.733333333333	1.0	0.0666666666667	990.0	0.928977272727	0.0	0.0	0.482
Ciona	AAG	K	Q	0.0	0.166666666667	0.333333333333	0.2	0.4	0.3125	0.0625	979.0	0.789915966387	2.0	0.0	0.055
Daphnia	AAG	K	Q	0.0	0.681818181818	0.333333333333	0.142857142857	0.857142857143	0.636363636364	0.0909090909091	989.0	1.30303030303	2.0	0.0	0.001
Homo	AAG	K	Q	0.0	0.0416666666667	1.0	1.0	0.0	0.0769230769231	0.0769230769231	988.0	2.96	2.0	0.0	0.413
